zipCode,cityName,stateName,countyName,population,populationDensity,augHi,decHi,augHiMinusDecHi,numInchesOfRain,numDaysOfRain,numSunnyDays,numInchesOfSnow,numviolentCrime,propertyCrime,medianAge,medianIncome,medianHomePrice,%Asian,%Black,%White,%Hispanic
90001,florence-graham,california,Los Angeles County,58738,16773,79,66,13,14,32,285,0,61.5,69.4,28.7,34050,383600,N/A,9.0,N/A,89.8
90033,los_angeles,california,Los Angeles County,48841,14950,87,69,18,16,32,291,0,65.2,67.9,30,27190,493900,5.2,1.4,2.7,90.1
90265,malibu,california,Los Angeles County,18119,168,87,67,20,20,36,268,0,20.0,29.2,49.4,124814,3035300,4.9,2.0,79.2,9.2
90602,whittier,california,Los Angeles County,26482,7136,87,69,18,15,27,278,0,47.4,55.6,32.4,47622,545800,3.8,1.4,16.5,76.5
90740,seal_beach,california,Orange County,24443,2784,83,67,16,13,32,278,0,21.4,29.3,58.1,53677,1022300,10.0,1.4,72.5,12.3
91030,south_pasadena,california,Los Angeles County,25940,7605,89,67,22,19,38,292,0,27.6,37.4,40,80479,1216500,29.0,2.9,41.8,20.2
91321,santa_clarita,california,Los Angeles County,34510,1333,91,64,27,18,34,286,0,19.4,29.7,35.4,57654,505900,7.5,3.7,39.1,46.4
91402,los_angeles,california,Los Angeles County,71317,19135,92,67,25,16,37,286,0,55.9,60.6,32.9,39009,500100,15.1,2.8,8.6,72.5
91731,el_monte,california,Los Angeles County,30063,7880,87,69,18,16,30,290,0,50.2,55.6,35.2,36955,514500,27.4,N/A,4.3,66.3
91786,upland,california,San Bernardino County,53339,5959,94,67,27,21,32,282,0,41.2,51.3,34.7,51105,485700,7.2,6.1,34.8,48.9
91978,spring_valley,california,San Diego County,9829,1459,85,68,17,13,37,263,0,29.6,36.3,36.7,66483,553700,5.9,10.4,46.8,31.7
92064,poway,california,San Diego County,49981,1220,89,68,21,13,42,263,0,16.3,21.5,40.1,96297,739600,12.9,N/A,63.7,18.4
92117,san_diego,california,San Diego County,55978,6371,79,65,14,12,42,263,0,25.2,33.2,38,65319,673600,9.7,1.9,59.4,24.2
92223,beaumont,california,Riverside County,52129,1200,98,63,35,23,40,271,1,24.7,31.1,36.3,64738,343600,7.2,5.7,44.0,39.7
92273,seeley,california,Imperial County,1665,239,106,69,37,3,15,264,0,58.3,66.1,33,26852,184300,N/A,N/A,9.7,85.2
92328,death_valley,california,Inyo County,320,0,101,59,42,5,24,291,0,46.5,57.2,41.8,34750,203200,2.2,6.9,67.5,9.4
92382,running_springs,california,San Bernardino County,4822,320,82,47,35,35,41,284,33,33.2,40.0,42.5,66875,221100,1.2,3.0,81.0,8.4
92536,aguanga,california,Riverside County,3013,24,96,63,33,21,46,263,1,26.0,32.4,44.2,44010,386500,N/A,N/A,76.8,20.2
92604,irvine,california,Orange County,28656,8483,83,67,16,13,36,279,0,8.4,20.8,40.1,91180,803400,34.2,1.0,46.7,12.6
92675,san_juan_capistrano,california,Orange County,36686,1051,86,67,19,14,36,279,0,21.4,25.6,42.4,72465,749400,3.3,N/A,57.4,35.8
92833,fullerton,california,Orange County,52950,7229,86,69,17,14,32,278,0,29.3,37.6,36.6,67019,595700,34.7,2.3,22.7,36.8
93022,oak_view,california,Ventura County,7147,1547,83,67,16,19,35,267,0,18.6,23.7,41.5,73433,592400,1.5,N/A,67.3,26.5
93207,pine_flat,california,Tulare County,269,5,97,58,39,10,46,272,0,40.4,48.3,58,34750,199200,1.1,N/A,93.3,N/A
93254,new_cuyama,california,Santa Barbara County,626,5,94,61,33,18,36,280,0,36.2,44.0,32.2,32750,109100,N/A,1.0,36.1,59.6
93307,bakersfield,california,Kern County,84948,612,96,57,39,7,38,272,0,55.7,75.2,27.3,34358,178100,2.1,6.1,11.2,78.6
93449,pismo_beach,california,San Luis Obispo County,8060,806,74,62,12,20,49,286,0,23.7,39.1,54.1,67500,862200,2.2,1.6,84.0,8.0
93531,keene,california,Kern County,422,12,95,57,38,12,37,272,2,10.0,15.6,39.3,66983,361100,N/A,N/A,92.7,N/A
93608,cantua_creek,california,Fresno County,973,9,95,55,40,9,36,267,0,44.4,52.4,29.9,31111,150300,N/A,N/A,2.3,97.7
93644,oakhurst,california,Madera County,8252,89,94,55,39,29,54,267,2,23.8,30.2,54.2,44223,291500,4.8,N/A,83.2,10.2
93720,fresno,california,Fresno County,46813,4720,98,56,42,13,49,267,0,20.3,56.7,38,77092,342800,12.0,2.8,57.2,24.0
93955,seaside,california,Monterey County,34614,1226,69,60,9,17,68,260,0,38.6,44.0,32,52420,547800,9.4,7.0,31.4,42.3
94074,san_gregorio,california,San Mateo County,215,12,77,59,18,31,75,260,0,22.1,46.1,27.9,153269,1596400,N/A,N/A,85.1,12.1
94132,san_francisco,california,San Francisco County,31155,10018,68,57,11,22,68,260,0,41.1,80.1,33.2,66607,1324200,43.5,7.6,28.9,14.3
94519,concord,california,Contra Costa County,19101,4353,88,56,32,18,61,261,0,27.3,37.1,39.5,67607,569400,10.2,2.2,54.5,26.6
94559,napa,california,Napa County,28089,768,83,57,26,27,69,262,0,37.0,42.0,37.5,58363,624200,1.8,1.2,53.0,40.8
94595,walnut_creek,california,Contra Costa County,17632,3277,83,57,26,23,67,260,0,16.4,26.9,66.4,58659,646700,8.5,2.4,82.1,3.7
94801,richmond,california,Contra Costa County,29974,2676,75,57,18,28,64,260,0,56.3,61.5,32.2,38856,410500,8.0,14.6,11.0,63.1
94952,petaluma,california,Sonoma County,35423,197,84,57,27,30,75,260,0,26.5,31.3,44.1,75221,820900,2.1,N/A,73.7,18.9
95033,los_gatos,california,Santa Cruz County,9805,107,82,54,28,42,70,260,0,6.5,12.1,48.4,126397,1116500,4.7,N/A,87.6,4.2
95121,san_jose,california,Santa Clara County,38909,8775,83,58,25,18,61,260,0,22.8,32.9,38.3,85514,820000,55.1,2.9,9.4,29.0
95215,stockton,california,San Joaquin County,24250,256,92,55,37,17,60,261,0,44.2,51.4,35,40753,258200,2.5,1.9,29.9,64.1
95258,woodbridge,california,San Joaquin County,3993,1239,92,55,37,19,61,261,0,19.8,24.8,51,72452,452300,4.8,2.8,65.5,24.8
95335,cold_springs,california,Tuolumne County,198,5,84,46,38,46,75,251,101,19.4,27.5,54.8,33309,238200,24.2,N/A,58.6,N/A
95377,tracy,california,San Joaquin County,32637,302,91,56,35,14,61,261,0,17.3,25.8,34.5,96860,527000,25.0,5.2,31.2,30.5
95430,duncans_mills,california,Sonoma County,6,25,78,56,22,53,70,260,0,23.0,24.3,8.2,0,629500,N/A,N/A,100.0,N/A
95466,philo,california,Mendocino County,1087,12,91,56,35,40,87,215,0,40.1,49.1,44.4,50500,918000,N/A,N/A,65.5,32.2
95537,fields_landing,california,Humboldt County,147,826,66,55,11,46,123,177,1,18.0,27.3,60.2,16537,305200,N/A,N/A,63.9,N/A
95587,piercy,california,Mendocino County,51,3.9,83,52,31,70.3,103.2,179,16.5,N/A,N/A,63.8,114542,512000,N/A,N/A,100.0,N/A
95633,garden_valley,california,El Dorado County,3760,91,91,53,38,39,70,240,2,16.6,20.8,50.6,70938,377800,1.1,1.0,89.6,6.0
95670,rancho_cordova,california,Sacramento County,54348,4304,93,55,38,20,60,265,0,38.3,44.4,36.6,55656,334400,10.6,7.5,54.1,20.8
95713,colfax,california,Placer County,9944,140,87,51,36,47,78,238,10,27.4,35.9,47.8,60720,373900,N/A,2.4,84.3,8.9
95823,sacramento,california,Sacramento County,78398,6642,92,54,38,20,63,265,0,59.3,66.6,30.7,36731,278500,24.1,20.0,13.9,32.0
95922,camptonville,california,Yuba County,526,8,88,49,39,62,82,238,23,25.5,31.9,57,24722,259600,2.7,N/A,84.0,8.7
95960,north_san_juan,california,Nevada County,726,15,87,49,38,58,79,238,22,52.2,58.7,36.8,29250,284200,N/A,N/A,88.0,N/A
96008,bella_vista,california,Shasta County,1357,37,96,53,43,58,90,249,9,21.5,27.3,52.2,53419,272200,N/A,N/A,98.0,N/A
96046,hyampom,california,Trinity County,63,0,95,49,46,48,98,240,8,15.3,29.1,7.3,29952,204300,N/A,N/A,100.0,N/A
96087,shasta,california,Shasta County,718,9,95,53,42,60,90,249,3,16.8,22.4,54.6,27727,258800,N/A,N/A,91.4,6.8
96123,ravendale,california,Lassen County,40,0,84,38,46,10,70,247,15,30.8,31.7,30.4,33333,96600,N/A,N/A,100.0,N/A
90002,los_angeles,california,Los Angeles County,52856,17262,79,66,13,14,32,285,0,65.6,68.3,27.7,30214,372900,N/A,21.2,N/A,76.4
90034,los_angeles,california,Los Angeles County,56070,18017,77,65,12,14,30,290,0,44.3,52.7,33.6,56743,1277300,18.5,9.1,40.0,27.2
90073,los_angeles,california,Los Angeles County,944,2785,78,66,12,16,31,292,0,67.0,70.2,55.9,0,617600,8.1,33.2,35.1,18.5
90266,manhattan_beach,california,Los Angeles County,35698,9070,77,65,12,14,32,263,0,15.3,24.2,43.7,142071,2461300,10.6,N/A,74.7,8.6
90603,whittier,california,Los Angeles County,20697,6331,89,70,19,14,30,278,0,16.4,23.6,40.4,87251,593800,4.6,1.1,38.4,53.7
90742,sunset_beach,california,Orange County,705,3832,79,65,14,12,36,278,0,31.1,40.7,53.1,88971,1829300,5.2,N/A,82.6,7.4
91040,los_angeles,california,Los Angeles County,20175,2459,88,66,22,20,36,290,0,26.9,32.6,46.6,70830,632300,9.0,1.7,65.1,21.4
91324,los_angeles,california,Los Angeles County,30101,6858,95,68,27,16,36,279,0,32.9,39.9,36.4,58993,618900,16.6,5.8,39.4,35.9
91403,los_angeles,california,Los Angeles County,24677,6796,92,67,25,16,36,281,0,28.2,36.7,40.3,75334,1085500,6.4,5.8,73.4,10.0
91732,el_monte,california,Los Angeles County,63557,13766,87,69,18,16,30,281,0,49.1,54.3,35.1,41485,511300,29.5,N/A,4.4,64.7
91789,walnut,california,Los Angeles County,44115,2822,90,68,22,16,33,280,0,13.8,19.2,43.5,93509,753100,60.4,2.6,13.1,21.4
91980,tecate,california,San Diego County,623,174,91,64,27,16,45,263,0,65.1,67.7,31.3,200325,591000,N/A,N/A,N/A,100.0
92065,ramona,california,San Diego County,37826,229,90,65,25,16,42,263,0,21.2,27.6,41.5,77361,520900,1.9,1.4,68.7,24.3
92118,coronado,california,San Diego County,22623,2899,76,65,11,11,38,263,0,21.8,30.2,40.8,90876,1798000,3.1,2.9,76.3,14.2
92225,blythe,california,Riverside County,21966,37,107,66,41,4,17,313,0,52.1,61.3,37.9,43638,155700,1.9,11.4,27.9,56.3
92274,oasis,california,Riverside County,17298,97,107,71,36,3,13,270,0,51.8,56.6,28.9,27890,130000,N/A,N/A,9.4,88.5
92332,essex,california,San Bernardino County,11,0,90,53,37,12,35,292,2,22.2,37.0,59.6,0,350000,N/A,N/A,100.0,N/A
92384,shoshone,california,Inyo County,17,0,104,60,44,5,16,292,0,21.5,42.1,48.6,80729,353500,N/A,N/A,100.0,N/A
92539,anza,california,Riverside County,4726,36,88,55,33,16,39,264,7,35.1,41.2,41.2,38853,208900,3.9,N/A,67.5,19.0
92606,irvine,california,Orange County,23895,4932,84,68,16,13,36,279,0,9.0,25.4,35.4,90228,884400,40.0,2.7,41.0,9.7
92676,silverado,california,Orange County,2088,31,98,67,31,12,31,279,0,14.0,18.1,51.2,84750,741500,3.8,N/A,78.6,14.0
92835,fullerton,california,Orange County,23513,3903,88,69,19,14,32,279,0,18.4,26.4,45.5,92397,783900,26.2,2.1,50.0,16.8
93023,ojai,california,Ventura County,20272,75,87,67,20,19,35,267,0,25.1,30.5,49.1,64843,718300,1.5,N/A,76.0,19.1
93208,camp_nelson,california,Tulare County,48,1,97,58,39,24,57,272,0,21.5,42.1,7.8,88750,212400,N/A,N/A,100.0,N/A
93255,onyx,california,Kern County,707,3,95,58,37,13,41,272,3,53.0,61.5,59,29030,89900,2.1,N/A,91.8,2.5
93308,oildale,california,Kern County,54042,171,96,57,39,7,38,272,0,49.2,57.5,34.1,41737,210200,1.4,2.3,69.7,22.3
93450,san_ardo,california,Monterey County,853,5,90,61,29,13,46,281,0,64.4,71.4,25.4,42083,330600,N/A,N/A,10.7,88.4
93532,elizabeth_lake,california,Los Angeles County,2857,25,94,55,39,13,35,282,2,31.2,37.8,47.3,54769,280000,1.1,1.3,70.5,24.4
93609,caruthers,california,Fresno County,5668,92,95,54,41,9,45,267,0,46.5,53.8,33.5,43322,212400,1.3,N/A,22.8,71.3
93645,o_neals,california,Madera County,239,4,94,54,40,28,56,267,1,16.8,17.7,40.5,93529,372400,N/A,N/A,100.0,N/A
93721,fresno,california,Fresno County,7182,3503,96,55,41,12,48,267,0,64.4,79.0,35.1,11922,123000,6.3,10.5,23.2,56.3
93960,soledad,california,Monterey County,26788,131,78,61,17,23,57,263,0,40.6,42.9,36.5,47098,385800,2.3,8.2,15.0,71.6
94080,south_san_francisco,california,San Mateo County,67423,6519,68,57,11,22,68,260,0,26.6,33.5,39,78378,1016100,39.4,1.8,19.0,33.8
94133,san_francisco,california,San Francisco County,26942,35685,68,57,11,22,68,260,0,52.6,83.7,43,53150,1334400,50.2,N/A,39.0,7.3
94520,concord,california,Contra Costa County,39027,3981,88,56,32,18,61,260,0,45.8,56.8,33.4,47656,503200,10.9,4.0,30.0,50.2
94560,newark,california,Alameda County,45554,3300,78,58,20,16,64,260,0,21.9,30.2,37.7,86521,896600,30.4,4.9,25.4,33.8
94596,walnut_creek,california,Contra Costa County,20881,3505,83,57,26,20,62,260,0,26.8,39.6,39.6,78856,1012900,14.4,1.4,67.8,11.4
94803,el_sobrante,california,Contra Costa County,25798,2209,78,57,21,24,64,260,0,22.3,29.3,44.2,76232,584400,22.5,11.3,34.2,25.0
94954,petaluma,california,Sonoma County,38316,618,84,57,27,30,75,260,0,24.2,28.3,40.9,81980,646700,5.5,N/A,68.6,21.3
95035,milpitas,california,Santa Clara County,75614,3234,80,58,22,16,63,260,0,21.0,29.8,36.5,98899,1043200,66.4,3.0,11.0,15.5
95122,san_jose,california,Santa Clara County,58057,12210,81,58,23,16,63,260,0,39.7,49.0,33.2,57470,711400,35.6,1.8,2.8,57.4
95219,stockton,california,San Joaquin County,29238,516,92,55,37,17,60,261,0,64.4,58.7,37.9,75309,389300,18.9,10.3,41.4,24.7
95301,atwater,california,Merced County,38675,620,93,54,39,13,55,263,0,42.8,50.1,32.1,48488,278800,5.6,4.2,37.1,49.8
95336,manteca,california,San Joaquin County,47166,1232,92,56,36,15,59,261,0,34.3,43.6,35,56885,376500,4.4,3.3,45.2,42.3
95379,tuolumne,california,Tuolumne County,3616,67,90,52,38,40,62,262,8,36.7,44.6,40.8,54792,294100,N/A,N/A,83.6,8.9
95431,eldridge,california,Sonoma County,238,3131.6,86,58,28,33.4,72.5,260,0.0,N/A,N/A,59.6,0,629500,4.2,2.9,88.7,1.3
95467,hidden_valley_lake,california,Lake County,5735,584,90,55,35,42,70,261,1,24.0,29.2,44.5,65706,312400,1.5,N/A,82.5,12.5
