zipCode,cityName,stateName,countyName,population,populationDensity,augHi,decHi,augHiMinusDecHi,numInchesOfRain,numDaysOfRain,numSunnyDays,numInchesOfSnow,numviolentCrime,propertyCrime,medianAge,medianIncome,medianHomePrice,%Asian,%Black,%White,%Hispanic
30002,avondale_estates,georgia,DeKalb County,5669,3352,87,54,33,53,109,217,2,35.6,42.1,42.5,47297,391400,4.2,33.8,55.3,3.8
30017,grayson,georgia,Gwinnett County,23949,2002,88,54,34,52,102,217,1,12.7,19.7,39.5,82435,254700,5.3,31.7,54.5,5.8
30034,decatur,georgia,DeKalb County,45229,2668,88,54,34,50,108,217,2,52.7,64.0,37.3,46815,135600,N/A,94.5,2.0,1.3
30047,lilburn,georgia,Gwinnett County,66876,2412,89,54,35,53,101,217,1,26.1,37.9,37.9,66955,222800,14.6,20.9,39.7,20.8
30067,marietta,georgia,Cobb County,46888,3167,87,54,33,53,109,217,1,40.6,65.8,33.2,49933,257400,6.3,28.2,53.0,9.5
30082,smyrna,georgia,Cobb County,28529,2718,87,54,33,53,106,217,1,31.6,40.4,36.6,70023,285700,7.3,33.2,42.6,15.2
30101,acworth,georgia,Cobb County,58333,1445,89,53,36,52,100,217,2,18.0,26.5,37.3,74094,244100,2.5,17.7,69.6,7.4
30114,canton,georgia,Cherokee County,53695,501,87,52,35,52,107,217,2,26.7,33.6,37.3,60743,264200,1.6,6.5,73.2,16.9
30126,mableton,georgia,Cobb County,39788,1921,87,54,33,53,106,217,1,28.0,37.9,36.9,66525,221000,2.3,42.3,34.8,17.1
30145,kingston,georgia,Bartow County,7223,91,90,54,36,50,100,214,1,16.3,22.8,45,61335,168100,N/A,8.5,88.4,1.8
30168,austell,georgia,Cobb County,26307,2104,87,54,33,53,106,217,1,54.6,65.0,32.9,36789,154800,N/A,61.0,15.6,22.2
30182,waco,georgia,Haralson County,2290,64,88,55,33,53,110,217,1,26.4,30.3,46.3,40913,144900,2.3,1.0,94.5,1.9
30213,fairburn,georgia,Fulton County,31239,487,89,55,34,51,106,217,2,44.2,55.2,34.5,51602,176700,N/A,76.8,14.7,7.8
30228,hampton,georgia,Henry County,40782,556,89,55,34,49,110,217,2,34.0,39.3,33.5,54875,176400,2.4,54.8,31.7,7.8
30251,luthersville,georgia,Meriwether County,2240,65,90,57,33,50,103,217,1,53.8,67.0,41.3,35294,118700,N/A,20.0,70.7,5.4
30268,palmetto,georgia,Fulton County,10425,159,89,56,33,52,108,217,2,37.0,43.4,37.9,50190,156100,N/A,37.5,45.0,16.0
30286,thomaston,georgia,Upson County,22739,117,89,58,31,49,93,215,0,44.9,55.6,40.8,33203,71000,N/A,29.4,66.6,2.6
30297,forest_park,georgia,Clayton County,28105,2561,88,54,34,50,109,217,2,64.1,74.6,30.5,30750,68300,6.7,43.1,15.5,31.6
30313,atlanta,georgia,Fulton County,11379,10251,88,54,34,51,110,217,1,62.1,78.8,21.2,39583,259100,15.5,38.3,37.4,6.1
30327,atlanta,georgia,Fulton County,23333,1390,87,54,33,52,108,217,1,37.0,50.6,45.6,147852,1012100,5.8,6.1,83.5,3.5
30340,atlanta,georgia,DeKalb County,28834,3378,87,54,33,53,107,217,1,48.8,60.0,30.8,40054,222600,12.0,16.6,24.6,44.3
30363,atlanta,georgia,Fulton County,3165,9922,87,54,33,52,110,217,1,60.1,78.7,28.7,70802,260400,21.7,28.5,40.7,6.7
30423,daisy,georgia,Evans County,150,200,91,63,28,46,104,214,0,61.8,69.3,45.4,50893,109900,N/A,32.0,60.0,6.0
30441,midville,georgia,Burke County,1746,10,91,61,30,45,90,218,0,36.2,37.8,39.6,37300,69200,N/A,24.5,72.7,1.3
30454,rockledge,georgia,Laurens County,875,24,92,60,32,47,90,219,0,39.4,65.7,35.7,38490,87600,N/A,2.2,92.9,4.9
30471,twin_city,georgia,Emanuel County,5534,38,91,61,30,47,92,218,0,42.2,46.7,35.2,28826,69700,N/A,31.1,59.8,6.6
30511,baldwin,georgia,Banks County,4091,137,86,53,33,55,103,218,1,26.6,31.9,31.1,43866,127900,N/A,2.2,68.3,26.7
30523,clarkesville,georgia,Habersham County,12288,71,86,52,34,62,116,218,2,29.2,34.4,47.9,44287,182000,N/A,2.6,93.4,2.0
30536,ellijay,georgia,Gilmer County,7960,52,86,52,34,59,116,210,4,30.8,45.3,50.8,40686,218300,N/A,N/A,92.4,4.5
30548,hoschton,georgia,Jackson County,18202,471,89,54,35,50,104,218,1,8.3,15.6,42.5,78401,340200,2.3,4.0,87.3,4.8
30562,mountain_city,georgia,Rabun County,1257,423,84,51,33,65,128,215,4,44.6,46.9,44.3,20250,79400,8.8,N/A,79.4,5.7
30575,talmo,georgia,Jackson County,1192,103,88,53,35,51,102,218,1,21.0,26.9,42.6,26213,167400,N/A,2.1,66.3,31.6
30609,athens,georgia,Clarke County,2195,95434.8,88,55,33,47.9,111.6,218,1.4,N/A,N/A,18.9,0,173900,5.8,8.5,78.9,4.2
30629,comer,georgia,Madison County,4617,62,88,54,34,47,104,218,1,36.4,41.0,40,38250,133700,4.3,16.8,74.3,N/A
30648,lexington,georgia,Oglethorpe County,3101,37,89,55,34,48,107,218,1,42.6,49.5,42.8,43271,144500,N/A,28.2,70.3,N/A
30667,stephens,georgia,Oglethorpe County,1051,13,89,56,33,47,105,218,1,27.6,33.0,44.4,39128,119000,N/A,17.8,74.6,7.5
30707,chickamauga,georgia,Walker County,15335,119,89,52,37,52,97,210,1,27.3,31.8,42.1,40746,126600,N/A,3.5,95.3,N/A
30731,menlo,georgia,Chattooga County,2293,26,88,52,36,56,119,210,3,37.0,44.1,43.5,35852,116900,2.4,1.3,92.4,N/A
30746,sugar_valley,georgia,Gordon County,1133,68,89,53,36,52,99,210,2,58.9,68.8,51,50724,128700,N/A,N/A,100.0,N/A
30803,avera,georgia,Jefferson County,1031,19,90,58,32,45,99,218,0,38.9,45.4,37.5,24375,91400,N/A,16.5,81.6,N/A
30816,keysville,georgia,Burke County,1839,14,91,59,32,46,92,218,0,22.6,25.9,41.2,45078,111800,N/A,28.2,69.9,1.9
30833,wrens,georgia,Jefferson County,3187,47,90,58,32,45,94,218,0,62.7,70.7,38.5,29282,78800,N/A,56.3,41.2,1.3
31002,adrian,georgia,Emanuel County,2997,26,92,60,32,47,90,218,0,39.3,41.1,42.5,41809,77300,N/A,9.0,89.1,N/A
31015,cordele,georgia,Crisp County,21673,100,91,60,31,47,89,219,0,50.9,64.8,37.3,35851,99500,1.3,45.2,48.6,3.0
31025,elko,georgia,Houston County,1021,16,91,60,31,47,100,219,0,14.0,30.2,51.7,67105,140900,N/A,28.7,61.8,N/A
31037,helena,georgia,Telfair County,4438,75,91,62,29,47,90,219,0,51.5,55.4,33.6,25815,57700,N/A,38.6,57.7,3.6
31050,knoxville,georgia,Crawford County,1003,46,90,59,31,46,100,219,0,39.7,45.4,37.1,49145,78000,N/A,12.9,87.1,N/A
31063,montezuma,georgia,Macon County,5102,45,91,60,31,47,99,219,0,56.8,63.9,40.3,27254,87600,1.1,50.3,36.8,9.8
31075,rentz,georgia,Laurens County,2832,52,91,60,31,47,87,219,0,37.2,44.3,40,42539,86600,N/A,16.9,65.8,3.2
31087,sparta,georgia,Hancock County,8760,19,90,58,32,46,96,218,0,56.9,59.9,45,24514,76700,N/A,72.5,24.5,1.8
31098,warner_robins,georgia,Houston County,3342,182,91,59,32,46,102,219,0,39.1,56.4,24.4,53714,143200,2.6,34.4,50.9,5.2
31220,macon,georgia,Bibb County,13950,294,91,59,32,46,102,219,0,37.5,88.7,40.4,55192,140500,3.9,32.7,57.7,4.0
31313,hinesville,georgia,Liberty County,40890,608,91,64,27,49,106,214,0,40.7,50.8,28.6,45408,138400,2.5,41.4,36.5,13.9
31326,rincon,georgia,Effingham County,20317,290,89,61,28,48,104,214,0,25.5,36.3,35.7,68539,200100,2.2,14.2,74.7,5.9
31408,garden_city,georgia,Chatham County,10947,447,89,61,28,49,102,214,0,72.4,74.0,31.9,30740,91900,2.1,45.9,29.8,21.1
