zipCode,cityName,stateName,countyName,population,populationDensity,augHi,decHi,augHiMinusDecHi,numInchesOfRain,numDaysOfRain,numSunnyDays,numInchesOfSnow,numviolentCrime,propertyCrime,medianAge,medianIncome,medianHomePrice,%Asian,%Black,%White,%Hispanic
98001,lakeland_north,washington,King County,32789,1762,76,44,32,46,165,140,5,23,31.7,38.4,72540,372400,11.4,7.4,61.1,12
98012,mill_creek,washington,Snohomish County,62039,4052,75,45,30,41,168,164,4,15.7,23.8,35.9,86886,563000,19.9,1.5,66.2,7.2
98028,kenmore,washington,King County,22115,3925,77,46,31,41,162,164,4,15.7,22,39.7,88472,655700,11.7,1.6,74.8,7.6
98039,medina,washington,King County,3217,2231,76,46,30,38,153,164,4,5,7.7,46.7,182308,2741000,19.7,N/A,70.1,3
98055,renton,washington,King County,23782,4963,77,46,31,39,160,140,5,33.1,48.4,35.5,63030,408500,25,12.4,41.5,9.6
98075,sammamish,washington,King County,24053,2538,76,45,31,53,174,153,6,5,5.7,39.9,149557,1010300,25.9,1.1,66,3.8
98107,seattle,washington,King County,24384,11099,76,46,30,38,157,164,4,33.1,78.1,35,71597,772100,6.6,1.4,80,6.1
98121,seattle,washington,King County,16466,37086,76,46,30,38,153,164,4,37,79.6,33.9,72544,547300,21.2,5.5,59.3,7.9
98195,univ_of_washington,washington,King County,52,742.9,76,46,30,37.9,156.4,164,4.1,N/A,N/A,55.4,0,611800,N/A,21.2,51.9,26.9
98221,anacortes,washington,Skagit County,21068,397,71,46,25,26,138,159,4,20.6,31.3,51.4,60811,476700,2.3,N/A,90,4.1
98235,clear_lake,washington,Skagit County,107,3452,75,45,30,42,171,160,9,47.8,53.7,52.8,0,241300,N/A,N/A,100,N/A
98247,everson,washington,Whatcom County,10545,166,74,44,30,40,164,158,7,22.6,28.6,35.6,59852,386400,N/A,N/A,68.2,25.1
98258,lake_stevens,washington,Snohomish County,33497,1161,75,45,30,45,174,162,4,20.5,26.9,35.2,77616,416300,3.1,1,79,10.5
98272,monroe,washington,Snohomish County,31098,285,77,45,32,51,178,162,3,23,31.9,35.4,80113,430600,2.2,2.3,75.9,13.8
