City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Geronimo,Texas,793,115,San Antonio-New Braunfels,2590732,96,62,34,34,72,224,0,67.6,55.6,7,16,29,42,8.06%,$56250,0%,$1034,815,$395000,2296,$172,25,46.40%,8%,36%,42%,70,26 mins,3.20%,N/A,56.40%,Guadalupe County,31.60%,63.00%,0.0%,0.0%,56.2%,43.8%,14%,Central Standard Time,794,5.9,49.90%,18,N/A,32,9.0%,0.00,22,1,0,N/A,N/A,TX-29384
Grey Forest,Texas,503,699,San Antonio-New Braunfels,2590732,96,63,33,33,73,224,0,67.9,55.9,8,13,25,46,39.40%,$71875,1.6%,$1189,865,$402800,N/A,N/A,59,76.60%,7%,34%,41%,67,25 mins,3.30%,N/A,6.40%,Bexar County,53.70%,40.40%,2.6%,0.0%,71.5%,17.6%,0.9%,Central Standard Time,794,6.3,33.70%,7,N/A,3,15.5%,0.00,17,2,1,N/A,N/A,TX-31100
Helotes,Texas,9525,1265,San Antonio-New Braunfels,2590732,96,63,33,33,73,225,0,67.9,55.9,8,9,28,40,49.51%,$114470,1.4%,$1189,865,$410000,2562,$160,17,92.10%,6%,33%,37%,66,30 mins,3.30%,N/A,26.20%,Bexar County,53.70%,40.40%,5.1%,2.7%,57.9%,31.0%,6.1%,Central Standard Time,794,6.3,41.50%,0,N/A,9,16.9%,21.73,17,2,1,20,819,TX-33146
Hill Country Village,Texas,635,342,San Antonio-New Braunfels,2590732,96,63,33,34,78,222,0,67.9,55.9,8,8,61,49,N/A,$212917,1.6%,$1107,904,$1041800,N/A,N/A,38,88.90%,7%,35%,39%,54,25 mins,3.30%,N/A,-24.70%,Bexar County,53.70%,40.40%,3.5%,0.4%,79.4%,15.9%,7.2%,Central Standard Time,794,6.3,36.50%,13,15,22,16.2%,0.00,20,2,1,270,1983,TX-33968
Hollywood Park,Texas,3343,2254,San Antonio-New Braunfels,2590732,96,63,33,34,78,222,0,67.9,55.9,8,6,40,54,61.84%,$87857,0%,$1107,904,$495000,2487,$199,42,85.60%,7%,38%,41%,54,25 mins,3.30%,N/A,9.30%,Bexar County,53.70%,40.40%,0.2%,0.2%,83.7%,14.2%,2.3%,Central Standard Time,794,6.3,24.10%,18,6,31,13.4%,0.00,20,2,1,117,910,TX-34628
Hondo,Texas,9321,938,San Antonio-New Braunfels,2590732,96,64,32,28,72,220,0,66.9,54.9,8,23,47,30,12.26%,$35305,7%,N/A,N/A,$255000,1613,$158,36,57.20%,7%,37%,45%,69,31 mins,3.30%,N/A,4.60%,Medina County,26.90%,70.10%,0.2%,8.7%,29.0%,61.4%,3.4%,Central Standard Time,794,6,55.20%,65,N/A,49,14.6%,31.77,19,1,0,380,1828,TX-34676
Jourdanton,Texas,4338,1219,San Antonio-New Braunfels,2590732,97,65,32,29,68,221,0,68.1,56.5,8,9,6,28,9.65%,$61847,10.7%,N/A,N/A,$218000,1415,$154,34,50.30%,7%,39%,44%,76,30 mins,3.80%,N/A,10.30%,Atascosa County,34.00%,63.00%,0.0%,0.1%,35.1%,62.1%,1%,Central Standard Time,794,6.1,59.40%,51,N/A,N/A,13.0%,51.03,26,1,23,22,220,TX-38116
Kingsbury,Texas,191,265,San Antonio-New Braunfels,2590732,96,62,34,34,78,227,0,67.4,55.6,7,19,35,38,N/A,$61000,0%,N/A,N/A,$415000,1693,$245,32,100.00%,7%,36%,41%,70,26 mins,3.20%,N/A,6.20%,Guadalupe County,31.60%,63.00%,0.0%,0.0%,87.4%,8.5%,0%,Central Standard Time,794,5.9,51.40%,11,N/A,N/A,13.3%,175.44,25,1,1,N/A,N/A,TX-39292
Kirby,Texas,8709,4421,San Antonio-New Braunfels,2590732,96,63,33,33,85,227,0,68.2,56.1,8,21,36,35,11.37%,$48545,15.5%,$956,803,$174000,1359,$128,41,58.30%,12%,53%,50%,45,23 mins,3.30%,N/A,5.30%,Bexar County,53.70%,40.40%,1.3%,13.1%,35.9%,48.2%,7.5%,Central Standard Time,794,6.3,57.20%,30,28,41,16.1%,1.24,21,2,2,248,1787,TX-39448
La Vernia,Texas,855,462,San Antonio-New Braunfels,2590732,97,64,33,32,66,222,0,68.3,56.4,8,15,35,41,31.97%,$49853,6.2%,N/A,N/A,$459000,2239,$205,23,52.10%,10%,40%,46%,74,29 mins,3.10%,N/A,-5.60%,Wilson County,24.70%,72.20%,0.0%,0.5%,74.5%,22.6%,7.9%,Central Standard Time,794,6,46.60%,33,N/A,39,16.8%,185.33,22,2,19,N/A,N/A,TX-41764
Lackland AFB,Texas,6537,1540,San Antonio-New Braunfels,2590732,97,63,34,32,84,224,0,68.4,56.3,N/A,19,42,20,38.14%,$58750,5.8%,$914,891,$248900,N/A,N/A,14,0.00%,7%,35%,39%,59,25 mins,3.30%,N/A,-13.80%,Bexar County,53.70%,40.40%,4.8%,15.8%,45.3%,18.3%,13.4%,Central Standard Time,794,6.3,75.70%,23,37,37,N/A,0.00,19,2,2,N/A,N/A,N/A
LaCoste,Texas,1936,2078,San Antonio-New Braunfels,2590732,96,64,32,30,81,221,0,67.3,55.6,N/A,15,28,41,14.52%,$43229,8.5%,N/A,N/A,$184800,1192,$155,43,78.50%,7%,38%,43%,73,23 mins,3.30%,N/A,-5.80%,Medina County,26.90%,70.10%,0.0%,1.1%,36.4%,59.6%,5.1%,Central Standard Time,794,6,48.90%,30,N/A,N/A,11.1%,16.50,20,1,2,N/A,N/A,TX-40108
Lake Dunlap,Texas,1546,1649,San Antonio-New Braunfels,2590732,96,62,34,34,76,224,0,67.6,55.6,7,18,33,35,16.73%,$52444,10.5%,$1318,900,$549900,2444,$225,30,68.50%,7%,38%,42%,71,26 mins,3.20%,N/A,18.00%,Guadalupe County,31.60%,63.00%,0.0%,3.0%,50.3%,42.4%,11.8%,Central Standard Time,794,5.9,47.00%,8,N/A,17,17.9%,0.00,20,1,1,N/A,N/A,TX-40522
Lake Medina Shores,Texas,1185,439,San Antonio-New Braunfels,2590732,95,62,33,34,68,224,0,65.4,53.5,N/A,22,41,54,3.91%,$21779,16.9%,N/A,N/A,$210000,1050,$200,23,41.00%,5%,33%,40%,76,37 mins,3.40%,N/A,-4.30%,Bandera County,16.90%,79.90%,0.0%,2.1%,74.4%,20.9%,6.2%,Central Standard Time,794,6,67.90%,0,N/A,N/A,14.5%,N/A,N/A,1,N/A,N/A,N/A,TX-40674
Lakehills,Texas,5116,180,San Antonio-New Braunfels,2590732,95,62,33,36,68,220,0,65.3,53.5,8,16,34,48,28.72%,$48158,13.8%,N/A,N/A,$375000,1760,$213,28,59.60%,5%,35%,41%,75,37 mins,3.40%,N/A,-2.00%,Bandera County,16.90%,79.90%,0.4%,0.2%,72.3%,21.6%,2.3%,Central Standard Time,794,6,43.90%,0,N/A,10,15.5%,51.45,15,1,0,N/A,N/A,TX-40576
Leming,Texas,599,84,San Antonio-New Braunfels,2590732,97,64,33,29,68,224,0,68.1,56.3,8,18,33,51,N/A,$31050,16%,N/A,N/A,$109700,N/A,N/A,44,47.20%,7%,37%,44%,73,30 mins,3.80%,N/A,-25.20%,Atascosa County,34.00%,63.00%,0.0%,0.0%,37.1%,62.9%,7%,Central Standard Time,794,6.1,42.80%,6,N/A,27,14.7%,29.20,26,2,25,N/A,N/A,TX-42256
