City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Augusta Springs,Virginia,143,38,Staunton-Waynesboro,124475,$17407,0.0%,33,N/A,N/A,N/A,72,37.06%,$657,81.36%,N/A,N/A,38.46%,0.0%,61.02%,Augusta County,22.50%,72.00%,0.0%,0.0%,97.9%,0.0%,0.0%,Eastern Standard Time,85,44,41,43,107,204,21,59.3,41.8,5,86,1391,4.3,3.75,VA-03608,38.1079892,-79.3352196
Churchville,Virginia,249,655,Staunton-Waynesboro,124475,$76108,78.63%,44,N/A,N/A,N/A,62,100.0%,N/A,37.87%,N/A,N/A,0.0%,0.0%,42.6%,Augusta County,22.50%,72.00%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,85,42,43,41,117,204,21,60.9,43,5,85,1391,4.3,0.38,VA-16736,38.2247718,-79.1618895
Craigsville,Virginia,960,464,Staunton-Waynesboro,124475,$20493,5.77%,50,$109000,736,$148,60,39.48%,$658,61.15%,N/A,N/A,37.81%,4.58%,46.73%,Augusta County,22.50%,72.00%,0.0%,0.0%,97.4%,1.25%,0.0%,Eastern Standard Time,85,44,41,43,107,201,21,60.5,42.6,5,86,1391,4.3,2.07,VA-19904,38.0837911,-79.3854004
Crimora,Virginia,2297,758,Staunton-Waynesboro,124475,$47292,6.17%,45,$187000,1450,$129,31,93.03%,N/A,38.2%,N/A,N/A,25.65%,5.76%,56.64%,Augusta County,22.50%,72.00%,0.0%,2.83%,97.17%,0.0%,0.0%,Eastern Standard Time,85,42,43,42,120,206,17,62.2,43.8,5,78,1391,4.3,3.03,VA-20240,38.1617635,-78.8412676
Deerfield,Virginia,228,69,Staunton-Waynesboro,124475,$50650,17.81%,30,N/A,N/A,N/A,76,81.58%,N/A,100.0%,N/A,N/A,0.0%,0.0%,97.72%,Augusta County,22.50%,72.00%,0.0%,0.0%,81.14%,0.0%,0.0%,Eastern Standard Time,80,38,42,44,124,204,36,58,40.7,5,86,1391,4.3,3.3,VA-21872,38.195461,-79.4104609
Dooms,Virginia,1303,324,Staunton-Waynesboro,124475,$48125,11.15%,39,N/A,N/A,N/A,40,80.51%,$777,40.9%,N/A,N/A,8.37%,0.0%,63.51%,Augusta County,22.50%,72.00%,0.0%,0.0%,95.24%,0.84%,2.61%,Eastern Standard Time,85,42,43,42,120,206,19,60.8,42.8,N/A,77,1391,4.3,4.02,VA-22976,38.1027576,-78.849462
Fishersville,Virginia,9164,463,Staunton-Waynesboro,124475,$66164,36.18%,40,$373000,2234,$167,23,68.15%,$1004,49.61%,N/A,N/A,11.6%,3.86%,53.72%,Augusta County,22.50%,72.00%,0.25%,7.92%,83.9%,6.54%,5.3%,Eastern Standard Time,85,42,43,41,117,206,20,61.9,43.6,5,77,1391,4.3,19.78,VA-27968,38.1049835,-78.9825981
Greenville,Virginia,1434,392,Staunton-Waynesboro,124475,$65088,3.66%,33,N/A,N/A,N/A,77,90.74%,N/A,53.81%,N/A,N/A,20.62%,0.0%,63.33%,Augusta County,22.50%,72.00%,0.0%,9.27%,88.84%,1.19%,0.84%,Eastern Standard Time,86,44,42,43,107,219,21,60.6,42.5,5,79,1391,4.3,3.66,VA-32944,38.0035974,-79.1522869
Grottoes,Virginia,2797,1371,Staunton-Waynesboro,124475,$57042,16.79%,40,$283000,1497,$189,34,79.37%,$871,44.08%,34,874,10.85%,3.62%,70.13%,Rockingham County,25.00%,69.30%,0.5%,2.47%,88.67%,5.01%,2.43%,Eastern Standard Time,85,42,43,43,119,176,17,62.8,44.3,5,79,1391,4.2,2.04,VA-33488,38.2691402,-78.8251922
Harriston,Virginia,910,576,Staunton-Waynesboro,124475,$75783,7.76%,37,N/A,N/A,N/A,23,94.84%,N/A,46.25%,N/A,N/A,0.0%,5.61%,67.98%,Augusta County,22.50%,72.00%,0.0%,2.42%,96.81%,0.77%,0.0%,Eastern Standard Time,85,42,43,43,119,204,17,60.8,42.8,5,78,1391,4.3,1.58,VA-35640,38.2120069,-78.8282834
