City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Isleton,California,495,1125,Sacramento--Roseville--Arden-Arcade,2374749,92,55,37,17,58,270,0,51.7,46.2,5,36,40,44,3.94%,$34500,14.55%,$1087,N/A,$291500,N/A,N/A,58,60.2%,5%,45%,54%,60,26 mins,3.63%,1.40%,-35.70%,Sacramento County,58.00%,33.80%,2.63%,0.0%,52.32%,40.2%,19.19%,Pacific Standard Time,25,5.2,54.20%,37,N/A,39,19.5%,150.19,N/A,1,876,824,471,CA-36882,0.44,58.69%
Kings Beach,California,2826,988,Sacramento--Roseville--Arden-Arcade,2374749,78,40,38,28,71,255,143,44.5,38.9,6,23,47,38,30.49%,$50134,15.15%,$1283,N/A,$795000,1606,$495,43,60.19%,7%,50%,42%,81,27 mins,1.5%,1.40%,-14.80%,Placer County,39.50%,51.10%,1.66%,0.0%,61.82%,35.28%,19.82%,Pacific Standard Time,25,4.8,61.10%,69,N/A,61,28.5%,2.91,0,0,3569,N/A,N/A,CA-38548,2.86,82.54%
Knights Landing,California,981,1817,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,64,265,0,51,45.4,5,26,51,39,8.47%,$37545,24.57%,$1132,N/A,$165400,N/A,N/A,51,64.12%,6%,50%,49%,38,23 mins,21.99%,0.90%,14.20%,Yolo County,66.70%,25.30%,0.0%,0.0%,9.17%,90.83%,35.47%,Pacific Standard Time,25,4.8,52.20%,30,N/A,37,19.8%,44.35,0,0,76,N/A,N/A,CA-38800,0.54,48.16%
La Riviera,California,11570,6089,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,62,269,0,51.7,46.2,N/A,21,40,34,30.44%,$70855,9.77%,$1401,N/A,$427000,1467,$291,43,56.87%,5%,44%,50%,29,25 mins,3.75%,1.40%,-4.10%,Sacramento County,58.00%,33.80%,8.73%,13.66%,50.3%,20.37%,10.7%,Pacific Standard Time,25,5.2,56.70%,41,43,48,20.4%,0.00,0,0,24,N/A,N/A,CA-40410,1.9,67.85%
Lemon Hill,California,15104,9210,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,63,265,0,51.7,46.2,N/A,29,56,30,6.0%,$41534,31.33%,$1039,N/A,$325000,1169,$278,52,31.6%,5%,47%,54%,26,26 mins,9.61%,1.40%,5.70%,Sacramento County,58.00%,33.80%,22.1%,7.32%,14.78%,45.33%,34.68%,Pacific Standard Time,25,5.2,59.20%,0,N/A,N/A,24.6%,0.00,0,1,51,N/A,N/A,CA-41142,1.64,59.83%
Lincoln,California,48150,1992,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,22,59,256,0,44.5,38.9,4,9,20,44,35.26%,$88991,6.63%,$1837,N/A,$604500,2021,$299,13,80.51%,5%,36%,50%,41,29 mins,3.13%,1.40%,22.90%,Placer County,39.50%,51.10%,6.99%,1.27%,69.43%,18.41%,12.3%,Pacific Standard Time,25,4.8,35.60%,22,N/A,49,22.4%,14.39,0,1,18,65,962,CA-41474,24.17,54.85%
Loomis,California,6802,936,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,59,250,0,44.5,38.9,4,16,27,48,31.94%,$68809,10.67%,$1459,N/A,$979000,2523,$388,35,76.59%,5%,46%,47%,41,27 mins,1.99%,1.40%,3.50%,Placer County,39.50%,51.10%,1.97%,0.56%,82.43%,10.13%,0.29%,Pacific Standard Time,25,4.8,46.10%,65,N/A,50,22.8%,19.92,N/A,0,14,N/A,N/A,CA-43140,7.27,54.55%
Madison,California,502,324,Sacramento--Roseville--Arden-Arcade,2374749,96,55,41,24,66,265,0,51,45.4,5,18,35,53,0.27%,$42985,16.53%,N/A,N/A,$226900,N/A,N/A,54,69.22%,6%,50%,48%,73,23 mins,0.0%,0.90%,47.80%,Yolo County,66.70%,25.30%,0.2%,0.2%,0.6%,99.0%,56.37%,Pacific Standard Time,25,4.8,43.00%,31,N/A,33,22.7%,0.00,0,0,556,N/A,N/A,CA-45064,1.55,32.78%
McClellan Park,California,843,207,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,60,265,0,51.7,46.2,N/A,30,51,35,22.37%,$29474,55.04%,$1158,N/A,$128600,N/A,N/A,16,0.0%,5%,45%,53%,25,26 mins,8.9%,1.40%,6.10%,Sacramento County,58.00%,33.80%,10.79%,21.23%,42.59%,19.45%,9.49%,Pacific Standard Time,25,5.2,79.40%,30,N/A,34,N/A,0.00,0,0,33,N/A,N/A,CA-44760,4.07,36.57%
Meadow Vista,California,3508,664,Sacramento--Roseville--Arden-Arcade,2374749,91,53,38,39,70,254,3,44.5,38.9,5,14,24,49,36.01%,$83627,0.95%,$1964,N/A,$767000,2427,$316,43,86.46%,4%,43%,44%,54,27 mins,4.78%,1.40%,1.10%,Placer County,39.50%,51.10%,1.34%,0.0%,87.69%,6.98%,3.16%,Pacific Standard Time,25,4.8,30.40%,40,N/A,16,22.5%,6.51,0,0,18,N/A,N/A,CA-46632,5.28,55.61%
Monument Hills,California,1354,339,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,67,265,0,51,45.4,N/A,12,24,43,53.15%,$208929,0.0%,N/A,N/A,$714000,2789,$256,15,92.84%,7%,50%,49%,49,23 mins,0.0%,0.90%,10.20%,Yolo County,66.70%,25.30%,1.7%,0.0%,73.34%,24.96%,10.86%,Pacific Standard Time,25,4.8,34.10%,0,N/A,25,17.9%,0.00,0,0,390,N/A,N/A,CA-49045,3.99,67.61%
Newcastle,California,1360,569,Sacramento--Roseville--Arden-Arcade,2374749,93,55,38,32,68,251,0,44.5,38.9,4,20,40,43,26.17%,$87050,6.03%,N/A,N/A,$1000000,2298,$435,46,95.33%,7%,46%,45%,49,28 mins,3.2%,1.40%,13.00%,Placer County,39.50%,51.10%,0.66%,0.0%,74.26%,19.78%,3.46%,Pacific Standard Time,25,4.8,55.40%,47,N/A,13,29.3%,104.25,0,0,15,N/A,N/A,CA-51000,2.39,46.54%
North Auburn,California,14446,1854,Sacramento--Roseville--Arden-Arcade,2374749,92,55,37,39,71,251,1,44.5,38.9,N/A,21,40,44,24.4%,$65884,11.24%,$1323,N/A,$550000,1779,$309,38,61.39%,6%,46%,43%,49,28 mins,2.38%,1.40%,6.60%,Placer County,39.50%,51.10%,3.27%,0.67%,69.76%,21.37%,11.34%,Pacific Standard Time,25,4.8,49.60%,23,N/A,17,21.1%,0.00,0,0,14,N/A,N/A,CA-51637,7.79,51.09%
North Highlands,California,48660,5523,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,60,262,0,51.7,46.2,4,22,43,33,13.45%,$50816,21.59%,$1201,810,$350000,1182,$296,48,46.51%,5%,48%,51%,22,26 mins,4.73%,1.40%,11.00%,Sacramento County,58.00%,33.80%,7.37%,11.2%,47.56%,28.3%,26.14%,Pacific Standard Time,25,5.2,54.40%,48,31,57,21.5%,33.84,0,0,31,N/A,N/A,CA-51924,8.81,59.91%
Orangevale,California,35030,3059,Sacramento--Roseville--Arden-Arcade,2374749,94,55,39,21,59,264,0,51.7,46.2,4,16,30,41,29.78%,$78071,8.74%,$1496,810,$499900,1649,$303,42,74.42%,6%,40%,52%,42,28 mins,5.34%,1.40%,0.80%,Sacramento County,58.00%,33.80%,2.56%,1.66%,75.14%,13.55%,8.99%,Pacific Standard Time,25,5.2,46.60%,32,N/A,41,20.2%,20.99,0,0,13,N/A,N/A,CA-54092,11.45,63.35%
Parkway,California,16282,6756,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,63,265,0,51.7,46.2,N/A,28,53,31,11.24%,$50293,21.89%,$1167,N/A,$349800,1300,$269,50,45.2%,5%,45%,52%,26,23 mins,11.82%,1.40%,14.20%,Sacramento County,58.00%,33.80%,16.5%,16.36%,17.38%,42.91%,26.53%,Pacific Standard Time,25,5.2,56.40%,64,31,84,21.0%,0.00,0,1,51,N/A,N/A,CA-55800,2.41,60.01%
Penryn,California,878,462,Sacramento--Roseville--Arden-Arcade,2374749,94,55,39,31,65,251,0,44.5,38.9,4,16,32,50,23.96%,$94091,7.4%,$1427,N/A,$635900,N/A,N/A,40,88.27%,10%,50%,46%,43,27 mins,10.88%,1.40%,25.00%,Placer County,39.50%,51.10%,1.37%,0.91%,68.56%,23.12%,8.31%,Pacific Standard Time,25,4.8,25.00%,2,N/A,N/A,27.7%,65.25,0,0,16,N/A,N/A,CA-56546,1.9,56.83%
Placerville,California,10954,1876,Sacramento--Roseville--Arden-Arcade,2374749,93,53,40,39,70,244,2,42.9,37.5,4,26,42,44,26.28%,$60334,14.99%,$1148,N/A,$544500,1903,$286,44,63.05%,7%,45%,45%,61,23 mins,4.36%,1.70%,2.90%,El Dorado County,38.30%,51.80%,0.82%,0.81%,75.55%,19.99%,6.61%,Pacific Standard Time,25,4.8,52.40%,71,N/A,32,25.9%,99.43,0,0,8,350,2526,CA-57540,5.84,57.58%
Pollock Pines,California,6480,752,Sacramento--Roseville--Arden-Arcade,2374749,91,52,39,52,79,246,42,42.9,37.5,5,20,34,46,25.41%,$56628,25.46%,$1025,N/A,$419000,1643,$255,40,75.17%,4%,51%,42%,70,34 mins,2.97%,1.70%,-1.00%,El Dorado County,38.30%,51.80%,0.88%,0.68%,87.92%,9.43%,2.9%,Pacific Standard Time,25,4.8,48.70%,49,N/A,18,25.7%,53.19,0,0,18,N/A,N/A,CA-58030,8.62,49.97%
Rancho Cordova,California,74394,2152,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,60,268,0,51.7,46.2,4,24,35,34,27.44%,$69963,11.55%,$1327,829,$429900,1551,$277,40,56.44%,6%,45%,50%,39,25 mins,7.02%,1.40%,11.80%,Sacramento County,58.00%,33.80%,13.7%,10.62%,48.99%,20.65%,24.54%,Pacific Standard Time,25,5.2,53.60%,41,33,60,21.2%,22.99,0,0,14,296,1874,CA-59444,34.57,66.62%
Rancho Murieta,California,5682,478,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,59,270,0,51.7,46.2,4,13,22,53,49.95%,$111827,3.71%,$2132,N/A,$650000,2389,$272,28,92.38%,5%,47%,52%,68,38 mins,2.76%,1.40%,-12.40%,Sacramento County,58.00%,33.80%,3.66%,4.0%,73.76%,15.54%,7.74%,Pacific Standard Time,25,5.2,30.50%,12,N/A,N/A,22.5%,0.00,0,0,11,N/A,N/A,CA-59506,11.88,54.31%
Rio Linda,California,16115,1623,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,62,262,0,51.7,46.2,4,21,40,38,13.89%,$72361,15.56%,$1322,N/A,$429000,1439,$298,46,70.27%,7%,56%,62%,32,29 mins,5.27%,1.40%,3.60%,Sacramento County,58.00%,33.80%,7.81%,1.46%,66.45%,20.3%,13.61%,Pacific Standard Time,25,5.2,51.80%,76,N/A,67,21.7%,44.91,0,0,35,N/A,N/A,CA-60942,9.93,58.63%
Rocklin,California,67070,3386,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,60,255,0,44.5,38.9,4,10,28,37,46.92%,$100664,5.68%,$1740,N/A,$650000,2218,$293,21,70.29%,6%,39%,48%,41,26 mins,4.64%,1.40%,13.70%,Placer County,39.50%,51.10%,10.66%,1.86%,67.98%,13.6%,12.25%,Pacific Standard Time,25,4.8,43.30%,32,N/A,51,22.5%,7.39,0,1,14,97,1433,CA-62364,19.81,64.77%
Rosemont,California,23755,5411,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,63,264,0,51.7,46.2,N/A,22,42,35,30.32%,$73166,13.71%,$1415,N/A,$429000,1411,$304,41,53.84%,6%,49%,57%,29,24 mins,5.77%,1.40%,3.70%,Sacramento County,58.00%,33.80%,13.38%,13.73%,43.46%,20.88%,15.4%,Pacific Standard Time,25,5.2,57.90%,40,32,57,18.6%,0.00,0,1,23,N/A,N/A,CA-62910,4.39,66.73%
Roseville,California,138860,3150,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,60,247,0,44.5,38.9,4,14,37,39,43.52%,$95519,7.5%,$1678,939,$599900,1999,$300,23,70.68%,5%,37%,48%,41,25 mins,4.96%,1.40%,14.80%,Placer County,39.50%,51.10%,11.83%,1.87%,66.44%,15.58%,13.66%,Pacific Standard Time,25,4.8,44.90%,36,20,61,21.2%,12.53,0,1,14,182,2225,CA-62938,44.08,63.86%
Sacramento,California,503482,5106,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,63,269,0,51.7,46.2,4,35,46,35,34.32%,$65847,15.68%,$1328,825,$430000,1447,$297,43,52.33%,5%,53%,60%,24,25 mins,6.67%,1.40%,6.60%,Sacramento County,58.00%,33.80%,19.29%,13.48%,31.97%,28.29%,21.33%,Pacific Standard Time,25,5.2,57.00%,45,34,68,20.4%,55.88,0,0,44,627,3182,CA-64000,98.61,64.44%
Sheridan,California,1120,44,Sacramento--Roseville--Arden-Arcade,2374749,95,54,41,21,59,251,0,44.5,38.9,4,22,44,39,23.78%,$48698,2.86%,$1302,N/A,$515000,1640,$314,47,54.64%,6%,46%,44%,44,27 mins,10.0%,1.40%,-17.20%,Placer County,39.50%,51.10%,0.0%,0.0%,82.68%,14.2%,15.0%,Pacific Standard Time,25,4.8,56.50%,19,N/A,N/A,35.3%,45.98,0,1,26,N/A,N/A,CA-71414,25.53,54.18%
Shingle Springs,California,3710,452,Sacramento--Roseville--Arden-Arcade,2374749,92,54,38,37,70,251,0,42.9,37.5,4,15,25,48,29.93%,$83700,6.74%,$1120,N/A,$799900,2373,$337,34,69.98%,7%,38%,44%,63,30 mins,0.0%,1.70%,4.40%,El Dorado County,38.30%,51.80%,2.26%,0.51%,86.23%,7.76%,5.58%,Pacific Standard Time,25,4.8,32.30%,19,N/A,23,16.0%,26.80,0,0,9,N/A,N/A,CA-71554,8.2,53.83%
South Lake Tahoe,California,22535,2211,Sacramento--Roseville--Arden-Arcade,2374749,80,43,37,23,61,249,142,42.9,37.5,5,25,35,39,27.39%,$52871,11.64%,$1092,N/A,$739000,1603,$461,47,40.38%,6%,41%,39%,82,16 mins,4.86%,1.70%,-2.00%,El Dorado County,38.30%,51.80%,6.17%,0.81%,61.72%,28.17%,19.82%,Pacific Standard Time,25,4.8,56.10%,40,N/A,65,23.6%,17.79,0,0,1999,501,2030,CA-73108,10.19,69.68%
Sunnyside-Tahoe City,California,1576,453,Sacramento--Roseville--Arden-Arcade,2374749,78,40,38,28,71,251,154,44.5,38.9,N/A,19,39,38,61.87%,$105667,4.89%,$1055,N/A,$1300000,1545,$841,44,90.08%,6%,46%,44%,87,27 mins,0.0%,1.40%,-18.40%,Placer County,39.50%,51.10%,2.47%,0.0%,90.1%,3.49%,2.66%,Pacific Standard Time,25,4.8,48.60%,28,N/A,60,28.9%,22.26,0,0,2290,N/A,N/A,CA-76015,3.48,74.56%
Tahoe Vista,California,1233,453,Sacramento--Roseville--Arden-Arcade,2374749,78,40,38,28,71,248,146,44.5,38.9,6,20,41,44,46.97%,$77159,2.6%,$1152,N/A,$829000,1543,$537,41,75.18%,11%,49%,41%,83,27 mins,0.0%,1.40%,-16.20%,Placer County,39.50%,51.10%,0.0%,0.0%,78.1%,20.76%,18.49%,Pacific Standard Time,25,4.8,35.50%,24,N/A,50,24.7%,0.00,0,0,3548,N/A,N/A,CA-77700,2.72,70.17%
Tahoma,California,1039,401,Sacramento--Roseville--Arden-Arcade,2374749,79,42,37,24,70,251,149,42.9,37.5,5,21,42,38,44.77%,$72222,16.15%,$1364,N/A,$1100000,1661,$662,43,57.65%,11%,48%,31%,81,29 mins,3.63%,1.70%,-35.00%,El Dorado County,38.30%,51.80%,3.08%,0.0%,87.58%,0.0%,4.04%,Pacific Standard Time,25,4.8,45.00%,9,N/A,N/A,24.4%,N/A,N/A,0,N/A,N/A,N/A,CA-77728,2.59,71.75%
University of California Davis,California,7221,4946,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,67,265,0,N/A,N/A,5,15,26,N/A,70.35%,$25462,N/A,N/A,N/A,$160400,N/A,N/A,24,0.50%,6%,49%,49%,48,23 mins,4.30%,0.90%,-6.30%,Yolo County,66.70%,25.30%,44.4%,2.2%,30.7%,16.2%,N/A,Pacific Standard Time,25,4.8,95.00%,49,44,93,N/A,0.00,0,1,342,N/A,N/A,N/A,1.46,N/A
Vineyard,California,39800,2123,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,61,265,0,51.7,46.2,N/A,15,28,36,28.9%,$92045,12.6%,$1641,N/A,$547000,1932,$283,16,74.43%,5%,45%,55%,46,30 mins,5.45%,1.40%,8.70%,Sacramento County,58.00%,33.80%,37.49%,7.86%,27.15%,20.5%,27.43%,Pacific Standard Time,25,5.2,43.00%,14,N/A,33,22.0%,0.00,0,1,11,N/A,N/A,CA-82852,18.75,64.74%
Walnut Grove,California,1288,126,Sacramento--Roseville--Arden-Arcade,2374749,93,55,38,19,61,265,0,51.7,46.2,5,17,34,39,32.94%,$73984,0.0%,$975,N/A,$450000,2093,$215,56,52.95%,5%,46%,53%,55,26 mins,5.71%,1.40%,-4.80%,Sacramento County,58.00%,33.80%,2.02%,0.0%,53.03%,41.85%,16.93%,Pacific Standard Time,25,5.2,29.80%,55,N/A,39,35.5%,19.12,0,1,224,N/A,N/A,CA-83374,10.2,70.56%
West Sacramento,California,53574,2495,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,20,63,260,0,51,45.4,5,26,37,34,30.66%,$73979,15.84%,$1120,N/A,$485000,1732,$280,35,57.85%,6%,49%,51%,30,24 mins,5.96%,0.90%,13.60%,Yolo County,66.70%,25.30%,11.65%,4.56%,44.47%,32.58%,24.77%,Pacific Standard Time,25,4.8,50.40%,33,24,62,21.5%,30.52,0,0,72,389,2948,CA-84816,21.47,65.14%
Wilton,California,5224,180,Sacramento--Roseville--Arden-Arcade,2374749,92,54,38,20,60,268,0,51.7,46.2,4,15,25,51,26.87%,$107411,10.6%,$1467,N/A,$949000,2414,$393,33,82.47%,3%,46%,43%,61,40 mins,4.72%,1.40%,1.80%,Sacramento County,58.00%,33.80%,6.01%,2.97%,65.91%,25.54%,5.23%,Pacific Standard Time,25,5.2,32.50%,16,N/A,29,19.9%,32.51,0,1,10,N/A,N/A,CA-85880,29.0,48.84%
Winters,California,7285,2478,Sacramento--Roseville--Arden-Arcade,2374749,96,56,40,25,66,268,0,51,45.4,5,18,27,38,25.12%,$92538,8.99%,$1572,N/A,$609000,1996,$305,35,65.63%,7%,54%,49%,70,31 mins,1.97%,0.90%,7.40%,Yolo County,66.70%,25.30%,0.03%,0.44%,51.06%,47.7%,20.14%,Pacific Standard Time,25,4.8,36.90%,83,N/A,69,21.5%,11.90,0,0,869,149,1559,CA-86034,2.94,74.97%
Woodland,California,59759,3901,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,67,269,0,51,45.4,5,26,44,36,27.89%,$71477,10.49%,$1197,N/A,$489500,1676,$292,39,53.93%,6%,45%,46%,34,22 mins,4.63%,0.90%,6.50%,Yolo County,66.70%,25.30%,7.94%,1.73%,37.06%,49.64%,23.15%,Pacific Standard Time,25,4.8,46.90%,48,28,67,20.2%,23.81,0,0,128,366,2432,CA-86328,15.32,64.24%
Yolo,California,196,143,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,67,265,0,51,45.4,5,19,38,55,13.43%,$75089,5.61%,N/A,N/A,$208300,N/A,N/A,61,94.39%,6%,49%,48%,38,23 mins,0.0%,0.90%,26.00%,Yolo County,66.70%,25.30%,0.0%,0.0%,28.57%,71.43%,14.29%,Pacific Standard Time,25,4.8,45.60%,13,N/A,31,11.1%,21.65,0,0,177,N/A,N/A,CA-86804,1.37,47.45%
