City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Clarksburg,California,366,180,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,19,63,265,0,51,45.4,5,15,30,41,21.03%,$49783,0.0%,N/A,N/A,$1300000,3735,$348,22,74.32%,6%,51%,47%,48,23 mins,15.64%,0.90%,126.10%,Yolo County,66.70%,25.30%,1.91%,0.0%,66.39%,33.61%,0.0%,Pacific Standard Time,25,4.8,28.40%,25,N/A,41,12.7%,94.79,0,1,141,N/A,N/A,CA-13784,2.03,89.67%
Clay,California,1130,167,Sacramento--Roseville--Arden-Arcade,2374749,92,55,37,19,61,265,0,51.7,46.2,4,16,31,45,23.88%,$89792,3.51%,N/A,N/A,$677500,2065,$328,33,86.73%,5%,47%,53%,61,26 mins,0.41%,1.40%,-0.30%,Sacramento County,58.00%,33.80%,3.81%,0.0%,65.66%,26.28%,16.64%,Pacific Standard Time,25,5.2,40.20%,0,N/A,22,25.1%,0.00,0,1,11,N/A,N/A,CA-13854,6.76,51.93%
Colfax,California,2258,1601,Sacramento--Roseville--Arden-Arcade,2374749,87,51,36,47,78,246,10,44.5,38.9,5,25,49,36,14.79%,$62295,13.42%,$1270,N/A,$499300,1615,$309,36,54.25%,3%,49%,38%,64,28 mins,6.22%,1.40%,23.80%,Placer County,39.50%,51.10%,0.0%,3.32%,78.92%,13.77%,0.97%,Pacific Standard Time,25,4.8,52.90%,59,N/A,31,27.6%,113.23,0,0,89,N/A,N/A,CA-14498,1.41,60.93%
Coloma,California,390,116,Sacramento--Roseville--Arden-Arcade,2374749,92,53,39,39,70,246,1,42.9,37.5,5,12,23,50,32.55%,$90250,15.64%,N/A,N/A,$388100,N/A,N/A,37,52.66%,6%,44%,41%,63,29 mins,16.87%,1.70%,37.80%,El Dorado County,38.30%,51.80%,0.0%,0.0%,96.92%,0.26%,0.0%,Pacific Standard Time,25,4.8,23.10%,0,N/A,N/A,24.8%,52.36,0,0,10,N/A,N/A,CA-14764,3.36,83.59%
Courtland,California,473,263,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,19,63,265,0,51.7,46.2,5,20,38,54,46.6%,$59302,2.11%,N/A,N/A,$428100,N/A,N/A,45,64.69%,5%,46%,52%,55,26 mins,0.0%,1.40%,34.80%,Sacramento County,58.00%,33.80%,1.69%,0.0%,54.33%,43.97%,32.98%,Pacific Standard Time,25,5.2,65.10%,25,N/A,N/A,19.8%,0.00,0,1,201,N/A,N/A,CA-16714,1.8,64.92%
Davis,California,68640,6885,Sacramento--Roseville--Arden-Arcade,2374749,94,54,40,21,66,267,0,51,45.4,5,9,36,26,74.63%,$75394,27.78%,$1659,955,$725000,1705,$425,37,43.31%,6%,36%,48%,36,21 mins,6.34%,0.90%,4.10%,Yolo County,66.70%,25.30%,23.28%,2.53%,53.91%,13.13%,20.82%,Pacific Standard Time,25,4.8,61.90%,44,34,90,16.8%,3.33,0,1,258,153,3139,CA-18100,9.97,57.34%
Diamond Springs,California,11332,681,Sacramento--Roseville--Arden-Arcade,2374749,93,54,39,38,70,248,1,42.9,37.5,4,19,36,49,22.17%,$56899,10.39%,$1419,N/A,$439000,1488,$295,38,72.55%,7%,50%,43%,62,25 mins,6.96%,1.70%,3.40%,El Dorado County,38.30%,51.80%,3.16%,0.39%,79.11%,14.77%,7.28%,Pacific Standard Time,25,4.8,47.60%,56,N/A,37,23.8%,8.87,0,0,7,N/A,N/A,CA-19220,16.64,52.66%
Dollar Point,California,909,554,Sacramento--Roseville--Arden-Arcade,2374749,78,40,38,28,71,249,154,44.5,38.9,N/A,23,46,49,46.38%,$82617,1.32%,$1123,N/A,$1100000,1748,$629,42,66.12%,6%,45%,43%,86,27 mins,0.0%,1.40%,-11.70%,Placer County,39.50%,51.10%,2.53%,8.58%,87.13%,2.53%,4.95%,Pacific Standard Time,25,4.8,58.40%,7,N/A,N/A,17.7%,0.00,0,0,2465,N/A,N/A,CA-19455,1.64,72.89%
Dunnigan,California,1391,266,Sacramento--Roseville--Arden-Arcade,2374749,95,55,40,24,64,265,0,51,45.4,5,20,39,45,25.57%,$41625,9.27%,$584,N/A,$134900,1204,$112,19,65.78%,6%,52%,48%,38,23 mins,6.09%,0.90%,37.00%,Yolo County,66.70%,25.30%,2.52%,6.61%,51.91%,40.62%,21.35%,Pacific Standard Time,25,4.8,41.40%,21,N/A,35,23.6%,89.13,0,0,402,N/A,N/A,CA-20228,5.23,46.11%
Dutch Flat,California,133,225,Sacramento--Roseville--Arden-Arcade,2374749,89,49,40,55,72,251,14,44.5,38.9,5,22,45,59,17.27%,$40625,15.79%,N/A,N/A,$259500,N/A,N/A,78,72.18%,6%,45%,44%,70,27 mins,16.67%,1.40%,7.10%,Placer County,39.50%,51.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,25,4.8,49.40%,20,N/A,5,23.8%,136.99,N/A,0,213,N/A,N/A,CA-20298,0.59,67.74%
