City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Adamsville,Alabama,4404,175,Birmingham-Hoover,1091921,91,53,38,55,114,211,1,67.7,52,6,29,94,42,15.74%,$46005,16.9%,N/A,N/A,$80300,N/A,N/A,50,62.70%,20%,28%,4%,39,28 mins,2.90%,2.00%,-4.20%,Jefferson County,51.60%,44.30%,N/A,48.23%,47.88%,N/A,0.2%,Central Standard Time,618,5.2,48.70%,16,N/A,28,18.8%,61.71,31,3,39
Alabaster,Alabama,32567,1290,Birmingham-Hoover,1091921,91,54,37,56,120,211,1,67.8,52.2,6,14,27,37,35.27%,$70173,7.1%,$922,993,$180600,N/A,N/A,24,79.20%,7%,25%,15%,39,30 mins,2.00%,2.00%,10.20%,Shelby County,22.70%,72.10%,1.61%,14.50%,73.26%,10.10%,5.9%,Central Standard Time,618,5,40.40%,9,N/A,20,16.7%,7.16,31,2,10
Allgood,Alabama,606,583,Birmingham-Hoover,1091921,90,52,38,56,98,211,1,66.9,50.7,6,31,53,33,N/A,$42159,23%,N/A,N/A,$106600,N/A,N/A,41,63.40%,8%,29%,13%,59,44 mins,2.60%,1.90%,-15.20%,Blount County,8.40%,89.30%,N/A,N/A,86.69%,52.80%,27.3%,Central Standard Time,618,5,46.60%,15,N/A,11,9.0%,0.00,27,3,5
Altoona,Alabama,861,199,Birmingham-Hoover,1091921,90,51,39,55,98,205,1,66.6,50.4,5,30,52,40,7.23%,$28646,15.7%,N/A,N/A,$97200,N/A,N/A,42,44.40%,8%,16%,3%,62,44 mins,3.30%,1.30%,16.80%,Etowah County,23.60%,73.30%,N/A,2.27%,96.04%,2.70%,1%,Central Standard Time,618,5.2,50.70%,13,N/A,20,15.0%,180.18,27,3,4
Argo,Alabama,4191,390,Birmingham-Hoover,1091921,90,53,37,56,100,210,1,67.2,51,N/A,9,18,42,N/A,$53476,2.5%,N/A,N/A,$193900,N/A,N/A,18,75.30%,4%,18%,11%,54,32 mins,2.70%,2.00%,11.20%,St. Clair County,14.60%,82.40%,N/A,4.83%,91.66%,1.70%,4.1%,Central Standard Time,618,5.2,32.00%,22,N/A,19,13.2%,N/A,N/A,2,N/A
Ashville,Alabama,2424,126,Birmingham-Hoover,1091921,91,53,38,56,99,207,1,67.2,51,5,22,34,39,10.29%,$36471,18.6%,N/A,N/A,$145000,N/A,N/A,27,67.50%,6%,19%,15%,47,31 mins,2.70%,2.00%,18.10%,St. Clair County,14.60%,82.40%,1.09%,29.71%,68.07%,1.50%,1.5%,Central Standard Time,618,5.2,49.50%,21,N/A,28,16.5%,119.57,30,2,6
Bessemer,Alabama,26697,659,Birmingham-Hoover,1091921,91,54,37,57,117,214,1,67.7,52,6,95,95,40,14.44%,$30369,23.3%,$755,950,$135900,1181,$115,55,41.00%,8%,25%,12%,35,22 mins,4.10%,2.00%,-4.10%,Jefferson County,51.60%,44.30%,N/A,72.39%,21.76%,4.70%,3.8%,Central Standard Time,618,5.2,66.20%,26,N/A,31,19.4%,36.55,30,2,30
Birmingham,Alabama,212265,1453,Birmingham-Hoover,1091921,90,54,36,56,112,213,1,67.7,52,6,75,89,35,27.39%,$31217,22.3%,$1158,978,$185000,1541,$120,54,35.50%,7%,24%,11%,26,21 mins,3.70%,2.00%,-1.90%,Jefferson County,51.60%,44.30%,1.08%,69.85%,25.81%,3.50%,3.7%,Central Standard Time,618,5.2,68.30%,35,25,31,19.0%,31.20,30,3,25
Brighton,Alabama,2848,2013,Birmingham-Hoover,1091921,91,54,37,57,117,210,1,67.7,52,6,85,67,41,13.54%,$22319,30.5%,$736,871,$58500,N/A,N/A,60,44.00%,8%,24%,12%,27,22 mins,2.90%,2.00%,-7.00%,Jefferson County,51.60%,44.30%,N/A,84.95%,6.12%,6.30%,3.6%,Central Standard Time,618,5.2,78.00%,14,N/A,8,18.4%,33.72,31,2,32
Brook Highland,Alabama,6748,2405,Birmingham-Hoover,1091921,91,54,37,57,107,210,1,67.8,52.2,N/A,28,54,32,57.04%,$63615,8.4%,$1175,1031,$390900,N/A,N/A,24,37.00%,7%,24%,15%,39,22 mins,2.10%,2.00%,3.00%,Shelby County,22.70%,72.10%,6.42%,17.80%,69.44%,9.80%,7.2%,Central Standard Time,618,5,53.60%,N/A,N/A,N/A,19.2%,0.00,29,3,15
