City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Cornish,New Hampshire,1777,42,Claremont-Lebanon,217783,81,29,52,42,137,195,74,N/A,N/A,6,6,10,50,41.91%,$75417,N/A,N/A,N/A,$219200,N/A,N/A,50,82.00%,6%,24%,7%,85,27 mins,2.20%,0.50%,3.10%,Sullivan County,45.00%,47.60%,N/A,N/A,96.52%,N/A,N/A,N/A,N/A,3.3,35.80%,1,N/A,3,N/A,0.00,17,0,3
Croydon,New Hampshire,809,22,Claremont-Lebanon,217783,79,28,51,47,134,199,70,N/A,N/A,6,8,21,44,19.90%,$71094,N/A,N/A,N/A,$225200,N/A,N/A,35,55.40%,5%,22%,6%,87,21 mins,2.20%,0.50%,12.20%,Sullivan County,45.00%,47.60%,N/A,1.16%,98.38%,N/A,N/A,N/A,N/A,3.3,48.90%,2,N/A,11,N/A,0.00,16,0,21
Dorchester,New Hampshire,347,8,Claremont-Lebanon,217783,79,27,52,43,133,194,72,N/A,N/A,6,8,20,46,26.31%,$56719,N/A,N/A,N/A,$145600,N/A,N/A,39,48.60%,8%,22%,8%,89,22 mins,2.10%,1.50%,5.50%,Grafton County,55.70%,37.10%,1.00%,N/A,94.51%,2.90%,N/A,N/A,N/A,3.1,46.50%,3,N/A,11,N/A,0.00,N/A,0,22
Easton,New Hampshire,285,9,Claremont-Lebanon,217783,78,26,52,40,156,194,78,N/A,N/A,N/A,7,19,60,N/A,$58438,N/A,N/A,N/A,$284800,N/A,N/A,36,51.10%,8%,22%,8%,91,22 mins,2.10%,1.50%,-12.30%,Grafton County,55.70%,37.10%,1.04%,N/A,96.18%,3.50%,N/A,N/A,N/A,3.1,38.00%,0,N/A,N/A,N/A,0.00,N/A,0,10
Ellsworth,New Hampshire,62,3,Claremont-Lebanon,217783,80,29,51,45,143,194,73,N/A,N/A,6,10,26,61,N/A,$38125,N/A,N/A,N/A,$161000,N/A,N/A,40,32.70%,8%,21%,7%,92,22 mins,2.10%,1.50%,-24.40%,Grafton County,55.70%,37.10%,N/A,N/A,100.00%,N/A,N/A,N/A,N/A,3.1,49.10%,3,N/A,N/A,N/A,0.00,N/A,0,24
Enfield,New Hampshire,4539,113,Claremont-Lebanon,217783,80,29,51,40,131,194,67,N/A,N/A,6,14,16,45,39.45%,$79907,9.2%,N/A,N/A,$234500,N/A,N/A,40,48.60%,8%,23%,11%,85,22 mins,2.10%,1.50%,-1.70%,Grafton County,55.70%,37.10%,N/A,N/A,99.58%,N/A,1.7%,N/A,N/A,3.1,42.40%,34,N/A,38,23.4%,0.00,N/A,0,19
Franconia,New Hampshire,1081,16,Claremont-Lebanon,217783,78,26,52,40,157,195,79,N/A,N/A,5,13,29,58,51.68%,$67639,N/A,N/A,N/A,$284200,N/A,N/A,44,36.40%,6%,19%,5%,93,29 mins,2.10%,1.50%,-15.40%,Grafton County,55.70%,37.10%,3.81%,N/A,94.60%,3.10%,N/A,N/A,N/A,3.1,34.60%,39,N/A,N/A,N/A,0.00,N/A,0,13
Goshen,New Hampshire,732,33,Claremont-Lebanon,217783,79,29,50,48,137,199,71,N/A,N/A,N/A,10,25,44,18.08%,$49167,N/A,N/A,N/A,$183300,N/A,N/A,42,51.30%,5%,22%,5%,90,28 mins,2.20%,0.50%,-19.70%,Sullivan County,45.00%,47.60%,N/A,N/A,94.73%,4.10%,N/A,N/A,N/A,3.3,54.50%,17,N/A,22,N/A,0.00,19,0,27
Grafton,New Hampshire,1177,28,Claremont-Lebanon,217783,79,28,51,48,136,199,72,N/A,N/A,6,8,21,50,27.37%,$45958,N/A,N/A,N/A,$166600,N/A,N/A,40,58.50%,9%,28%,7%,90,22 mins,2.10%,1.50%,-12.00%,Grafton County,55.70%,37.10%,N/A,N/A,95.74%,1.60%,N/A,N/A,N/A,3.1,43.70%,12,N/A,N/A,N/A,0.00,17,0,34
Grantham,New Hampshire,2941,108,Claremont-Lebanon,217783,79,28,51,47,132,199,71,N/A,N/A,6,8,10,47,66.10%,$96875,N/A,N/A,N/A,$271800,N/A,N/A,32,62.00%,5%,18%,1%,87,24 mins,2.20%,0.50%,2.40%,Sullivan County,45.00%,47.60%,N/A,N/A,98.57%,N/A,N/A,N/A,N/A,3.3,32.80%,20,N/A,N/A,N/A,0.00,17,0,25
Groton,New Hampshire,565,14,Claremont-Lebanon,217783,79,27,52,44,134,194,72,N/A,N/A,N/A,9,24,51,12.53%,$44583,N/A,N/A,N/A,$159000,N/A,N/A,37,46.40%,8%,23%,7%,89,22 mins,2.10%,1.50%,19.70%,Grafton County,55.70%,37.10%,N/A,N/A,100.00%,6.20%,N/A,N/A,N/A,3.1,49.00%,0,N/A,24,N/A,0.00,17,0,26
Hanover,New Hampshire,11428,233,Claremont-Lebanon,217783,82,29,53,39,136,194,68,N/A,N/A,6,8,21,24,82.71%,$94063,5.8%,N/A,N/A,$607500,N/A,N/A,45,53.80%,5%,27%,20%,74,13 mins,2.10%,1.50%,1.50%,Grafton County,55.70%,37.10%,11.25%,3.27%,80.28%,3.10%,17.1%,N/A,N/A,3.1,66.10%,73,N/A,80,18.0%,0.00,16,0,7
