City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Blue Diamond,Nevada,424,59,Las Vegas-Henderson-Paradise,2315963,100,54,46,8,30,292,2,38.8,27.7,7,46,29,54,42.34%,$141000,0%,N/A,N/A,$457500,N/A,N/A,35,50.50%,12%,61%,44%,89,24 mins,4.70%,3.50%,50.90%,Clark County,52.40%,41.70%,N/A,N/A,100.00%,1.20%,14.7%,Pacific Standard Time,2180,5.8,73.00%,21,N/A,19,16.2%,0.00,2,0,613
Boulder City,Nevada,15648,75,Las Vegas-Henderson-Paradise,2315963,103,55,48,5,29,290,0,43.3,31.2,7,8,19,50,29.78%,$55583,7.1%,$1009,794,$360000,1500,$240,38,56.10%,12%,59%,41%,67,24 mins,4.70%,3.50%,1.60%,Clark County,52.40%,41.70%,1.58%,1.19%,92.39%,9.00%,4.6%,Pacific Standard Time,2180,5.8,48.70%,59,N/A,64,15.1%,27.64,2,0,449
Bunkerville,Nevada,1277,30,Las Vegas-Henderson-Paradise,2315963,107,58,49,7,31,292,0,41,30.2,6,40,25,38,10.17%,$55217,11.4%,N/A,N/A,$231000,N/A,N/A,31,71.70%,12%,57%,44%,78,24 mins,4.70%,3.50%,5.20%,Clark County,52.40%,41.70%,N/A,N/A,94.73%,43.10%,6.2%,Pacific Standard Time,2180,5.8,40.40%,15,N/A,36,17.6%,26.60,1,0,121
Cal-Nev-Ari,Nevada,110,48,Las Vegas-Henderson-Paradise,2315963,97,53,44,8,28,292,0,43,31,N/A,49,30,70,10.81%,$23409,0%,N/A,N/A,$112700,N/A,N/A,29,41.40%,12%,60%,44%,85,24 mins,4.70%,3.50%,-32.90%,Clark County,52.40%,41.70%,N/A,N/A,100.00%,N/A,0%,Pacific Standard Time,2180,5.8,70.90%,4,N/A,N/A,13.8%,143.88,2,0,36
Enterprise,Nevada,155773,3043,Las Vegas-Henderson-Paradise,2315963,104,56,48,5,28,293,0,41.3,30.3,N/A,34,38,34,31.64%,$68623,5.8%,$1289,897,$385000,1934,$199,12,52.70%,13%,59%,42%,63,22 mins,4.70%,3.50%,56.50%,Clark County,52.40%,41.70%,22.77%,9.90%,53.94%,18.60%,24.7%,Pacific Standard Time,2180,5.8,49.00%,24,N/A,38,20.4%,0.08,2,0,644
Henderson,Nevada,284817,2720,Las Vegas-Henderson-Paradise,2315963,104,57,47,5,27,297,0,42.3,31.4,7,11,29,42,33.36%,$63830,5.8%,$1650,991,$409900,1906,$215,20,57.40%,12%,59%,49%,54,23 mins,4.30%,3.50%,14.30%,Clark County,52.40%,41.70%,8.25%,5.97%,75.53%,15.60%,12.8%,Pacific Standard Time,2180,5.8,47.50%,29,24,44,18.8%,11.25,2,0,611
Indian Springs,Nevada,815,45,Las Vegas-Henderson-Paradise,2315963,100,55,45,6,30,295,3,37.7,27.9,6,49,31,48,10.20%,$47109,8.1%,N/A,N/A,$117700,N/A,N/A,33,61.70%,12%,60%,42%,89,24 mins,4.70%,3.50%,4.00%,Clark County,52.40%,41.70%,N/A,9.88%,82.97%,11.80%,0%,Pacific Standard Time,2180,5.8,50.20%,22,N/A,N/A,12.8%,95.95,2,0,1839
Las Vegas,Nevada,621662,4385,Las Vegas-Henderson-Paradise,2315963,104,56,48,5,26,294,0,41.5,30.8,7,40,43,37,24.57%,$50903,11.8%,$1341,892,$344900,1733,$199,24,47.10%,13%,68%,50%,51,25 mins,4.90%,3.50%,7.20%,Clark County,52.40%,41.70%,6.86%,12.23%,61.88%,32.70%,20.8%,Pacific Standard Time,2180,5.8,54.40%,41,34,46,19.0%,22.52,1,0,696
Laughlin,Nevada,7758,88,Las Vegas-Henderson-Paradise,2315963,111,64,47,6,22,291,0,48.6,35,9,27,49,60,13.41%,$35590,7.9%,N/A,N/A,$177500,1258,$141,28,30.90%,9%,44%,25%,69,13 mins,4.70%,3.50%,12.00%,Clark County,52.40%,41.70%,2.05%,6.94%,84.16%,13.00%,8%,Pacific Standard Time,2180,5.8,57.20%,36,N/A,35,18.7%,56.89,2,0,12
Mesquite,Nevada,17467,553,Las Vegas-Henderson-Paradise,2315963,107,59,48,7,32,294,0,41.3,30.5,6,10,26,58,23.32%,$45066,4.7%,N/A,N/A,$309900,1526,$203,16,57.90%,12%,54%,40%,72,13 mins,4.70%,3.50%,19.60%,Clark County,52.40%,41.70%,2.82%,1.10%,86.25%,20.90%,10.4%,Pacific Standard Time,2180,5.8,39.90%,61,N/A,56,16.5%,33.14,1,0,126
