City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Aaronsburg (Centre Cnty),Pennsylvania,533,600,State College,199936,$67000,N/A,39,N/A,N/A,N/A,43,96.6%,N/A,42.35%,N/A,N/A,2.64%,1.98%,75.42%,Centre County,48.00%,45.60%,0.38%,0.0%,97.61%,0.25%,0.38%,Eastern Standard Time,84,33,51,43.55,129,26.7,6.5,85,1023,3.6,0.89,PA-00100,40.9042354,-77.4513143,50%,62%,42%,56%,55%,33.5,40,61,59,16,12.86,8.69,37.34%,41.54%,33.22%,13
Baileyville,Pennsylvania,113,91,State College,199936,$45833,N/A,33,N/A,N/A,N/A,52,19.54%,N/A,19.54%,N/A,N/A,19.54%,0.0%,41.38%,Centre County,48.00%,45.60%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,82,34,48,44.51,143,35.4,6.5,82,1257,3.6,1.24,PA-03792,40.7110553,-77.992373,42%,52%,29%,56%,55%,33.5,40,61,64,21,12.58,9.48,45.32%,43.41%,51.78%,25
Bellefonte,Pennsylvania,6282,3396,State College,199936,$58618,38.42%,42,$265000,1803,$147,69,57.45%,$842,49.99%,N/A,N/A,6.15%,2.44%,67.62%,Centre County,48.00%,45.60%,1.64%,3.28%,91.56%,2.92%,6.33%,Eastern Standard Time,82,34,48,43.9,140,35.4,6.5,57,927,3.6,1.85,PA-05256,40.9141222,-77.768341,50%,62%,42%,56%,55%,33.5,40,61,64,21,12.58,9.13,40.88%,40.55%,43.11%,25
Benner,Pennsylvania,9163,323,State College,199936,$55250,17.18%,N/A,N/A,N/A,N/A,31,79.70%,N/A,59.10%,N/A,N/A,N/A,3.70%,N/A,Centre County,48.00%,45.60%,N/A,21.79%,N/A,6.60%,N/A,Eastern Standard Time,82,34,48,42.41,140,35.4,6.5,81,1002,3.6,28.37,PA-05608,40.869818,-77.8153546,50%,62%,42%,56%,55%,33.5,40,61,64,21,12.49,8.71,40.88%,40.55%,43.11%,25
Blanchard,Pennsylvania,633,519,State College,199936,$82000,N/A,56,N/A,N/A,N/A,66,93.97%,N/A,49.88%,N/A,N/A,3.35%,4.41%,54.44%,Centre County,48.00%,45.60%,0.0%,0.0%,98.88%,0.0%,0.0%,Eastern Standard Time,86,35,51,41.32,136,29.0,6.5,82,519,3.6,1.41,PA-06960,41.0670016,-77.6060494,50%,62%,42%,56%,55%,33.5,40,61,62,18,12.73,8.08,38.22%,39.23%,38.67%,16
Boalsburg,Pennsylvania,4533,783,State College,199936,$107813,69.27%,43,N/A,N/A,N/A,37,79.23%,$1225,39.67%,N/A,N/A,4.7%,1.26%,65.05%,Centre County,48.00%,45.60%,2.1%,1.12%,91.28%,4.38%,6.51%,Eastern Standard Time,82,34,48,42.41,140,35.4,6.5,80,1002,3.6,5.79,PA-07368,40.7782952,-77.7733468,50%,62%,42%,56%,55%,33.5,40,61,64,21,12.49,8.71,40.88%,40.55%,43.11%,25
Boggs township (Centre Cnty),Pennsylvania,2994,58,State College,199936,$48671,N/A,N/A,N/A,N/A,N/A,44,67.10%,N/A,44.40%,N/A,N/A,N/A,3.70%,N/A,Centre County,48.00%,45.60%,N/A,N/A,N/A,1.60%,N/A,Eastern Standard Time,83,33,50,43.9,138,42.3,6.5,77,927,3.6,51.62,PA-07424,40.9908528,-77.801003,50%,62%,42%,56%,55%,33.5,40,61,54,14,12.58,9.13,44.16%,41.21%,50.11%,35
Burnside township (Centre Cnty),Pennsylvania,412,5,State College,199936,$52500,N/A,N/A,N/A,N/A,N/A,45,42.10%,N/A,37.80%,N/A,N/A,N/A,3.70%,N/A,Centre County,48.00%,45.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,33,50,45.13,148,42.3,6.5,83,1272,3.6,1.68,PA-10272,41.1291412,-77.9725059,42%,52%,29%,56%,55%,33.5,40,61,54,14,12.72,9.61,44.16%,41.21%,50.11%,35
Centre Hall,Pennsylvania,1282,2064,State College,199936,$59063,30.83%,48,N/A,N/A,N/A,72,75.96%,$884,47.06%,N/A,N/A,9.02%,5.78%,64.77%,Centre County,48.00%,45.60%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,82,34,48,43.9,140,35.4,6.5,83,927,3.6,0.62,PA-12376,40.8447964,-77.6850628,50%,62%,42%,56%,55%,33.5,40,61,64,21,12.58,9.13,40.88%,40.55%,43.11%,25
Clarence,Pennsylvania,643,389,State College,199936,$53625,7.24%,46,N/A,N/A,N/A,53,95.15%,$630,39.71%,N/A,N/A,16.78%,1.86%,63.36%,Centre County,48.00%,45.60%,0.0%,0.0%,99.74%,0.26%,0.39%,Eastern Standard Time,83,33,50,45.13,148,42.3,6.5,83,1272,3.6,2.71,PA-13768,41.0466194,-77.9506828,42%,52%,29%,56%,55%,33.5,40,61,54,14,12.72,9.61,44.16%,41.21%,50.11%,35
Coburn,Pennsylvania,132,380,State College,199936,$56250,N/A,47,N/A,N/A,N/A,78,88.04%,N/A,44.0%,N/A,N/A,6.52%,0.0%,77.78%,Centre County,48.00%,45.60%,0.0%,0.0%,97.83%,0.0%,0.0%,Eastern Standard Time,84,33,51,43.55,129,26.7,6.5,85,1023,3.6,0.35,PA-14760,40.8652963,-77.4633018,50%,62%,42%,56%,55%,33.5,40,61,59,16,12.86,8.69,37.34%,41.54%,33.22%,13
College,Pennsylvania,10134,546,State College,199936,$82643,62.35%,N/A,N/A,N/A,N/A,32,70.70%,N/A,49.00%,N/A,N/A,N/A,3.70%,N/A,Centre County,48.00%,45.60%,5.47%,2.84%,N/A,2.70%,N/A,Eastern Standard Time,82,34,48,42.41,140,35.4,6.5,74,1002,3.6,18.56,PA-15136,40.8144108,-77.8172068,50%,62%,42%,56%,55%,33.5,40,61,64,21,12.49,8.71,40.88%,40.55%,43.11%,25
Curtin,Pennsylvania,551,13,State College,199936,$50000,14.74%,N/A,N/A,N/A,N/A,40,42.40%,N/A,46.30%,N/A,N/A,N/A,3.70%,N/A,Centre County,48.00%,45.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,33,50,45.13,133,42.3,6.5,82,1272,3.6,42.38,PA-17800,41.0963723,-77.7652428,50%,62%,42%,56%,55%,33.5,40,61,54,14,12.72,9.61,44.16%,41.21%,50.11%,35
Eagleville (Centre Cnty),Pennsylvania,491,520,State College,199936,$60580,N/A,35,$355000,1868,$190,26,100.0%,N/A,55.98%,N/A,N/A,0.0%,12.06%,67.81%,Centre County,48.00%,45.60%,0.0%,0.0%,100.0%,0.0%,3.32%,Eastern Standard Time,86,35,51,41.32,137,29.0,6.5,82,519,3.6,0.95,PA-20664,41.0559873,-77.5853167,50%,62%,42%,56%,55%,33.5,40,61,62,18,12.73,8.08,38.22%,39.23%,38.67%,16
Ferguson township (Centre Cnty),Pennsylvania,18837,395,State College,199936,$61096,N/A,N/A,N/A,N/A,N/A,29,58.80%,N/A,52.40%,N/A,N/A,N/A,3.70%,N/A,Centre County,48.00%,45.60%,N/A,N/A,N/A,2.50%,N/A,Eastern Standard Time,82,34,48,44.51,141,35.4,6.5,74,1257,3.6,47.69,PA-25624,40.7431492,-77.9402817,42%,52%,29%,56%,55%,33.5,40,61,64,21,12.58,9.48,45.32%,43.41%,51.78%,25
Gregg township (Centre Cnty),Pennsylvania,2850,61,State College,199936,$46531,N/A,N/A,N/A,N/A,N/A,43,63.40%,N/A,37.60%,N/A,N/A,N/A,3.70%,N/A,Centre County,48.00%,45.60%,N/A,N/A,N/A,1.70%,N/A,Eastern Standard Time,84,33,51,43.55,139,26.7,6.5,83,1023,3.6,46.72,PA-31472,40.864762,-77.5743533,50%,62%,42%,56%,55%,33.5,40,61,59,16,12.86,8.69,37.34%,41.54%,33.22%,13
Haines,Pennsylvania,1481,26,State College,199936,$48458,16.70%,N/A,N/A,N/A,N/A,45,55.20%,N/A,34.70%,N/A,N/A,N/A,3.70%,N/A,Centre County,48.00%,45.60%,N/A,N/A,N/A,1.50%,N/A,Eastern Standard Time,84,33,51,43.55,129,26.7,6.5,85,1023,3.6,56.96,PA-31960,40.901223,-77.3625367,50%,62%,42%,56%,55%,33.5,40,61,59,16,12.86,8.69,37.34%,41.54%,33.22%,13
