City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation
Albin,Wyoming,216,1440,Cheyenne,100595,$140500,4.07%,59,N/A,N/A,N/A,42,75.46%,$863,10.86%,N/A,N/A,19.44%,42.76%,86.86%,Laramie County,28.20%,60.60%,0.0%,0.0%,69.91%,30.09%,14.35%,Mountain Standard Time,N/A,N/A,N/A,N/A,76,N/A,N/A,92,6115,4.7,0.15,WY-00825,41.4169408,-104.1015494,64%,67%,60%,47%,40%,43.5,32,52,N/A,N/A,N/A,N/A,21.92%,23.52%,17.89%
Burns,Wyoming,453,149,Cheyenne,100595,$42105,13.45%,54,N/A,N/A,N/A,62,82.12%,$1058,32.65%,N/A,N/A,2.87%,6.48%,57.55%,Laramie County,28.20%,60.60%,0.0%,0.0%,88.52%,0.0%,5.52%,Mountain Standard Time,N/A,N/A,N/A,N/A,75,N/A,N/A,92,6115,4.7,3.05,WY-11265,41.1908709,-104.3590349,64%,67%,60%,45%,39%,43.5,32,52,N/A,N/A,N/A,N/A,26.25%,33.3%,20.22%
Carpenter,Wyoming,181,754,Cheyenne,100595,$0,33.83%,50,N/A,N/A,N/A,40,100.0%,N/A,26.52%,N/A,N/A,0.0%,0.0%,100.0%,Laramie County,28.20%,60.60%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,N/A,N/A,N/A,N/A,78,N/A,N/A,92,6115,4.7,0.24,WY-12860,41.0456066,-104.3643696,64%,67%,60%,45%,39%,43.5,32,52,N/A,N/A,N/A,N/A,26.25%,33.3%,20.22%
Cheyenne,Wyoming,64099,1987,Cheyenne,100595,$68611,32.18%,38,N/A,N/A,N/A,47,74.32%,$882,46.26%,341,3099,9.09%,5.03%,66.59%,Laramie County,28.20%,60.60%,1.53%,1.68%,77.13%,15.88%,2.81%,Mountain Standard Time,N/A,N/A,N/A,N/A,92,N/A,N/A,72,6115,4.7,32.26,WY-13900,41.1349683,-104.7902456,64%,67%,60%,45%,39%,43.5,32,52,N/A,N/A,N/A,N/A,28.08%,34.18%,22.11%
Fox Farm-College,Wyoming,4105,1364,Cheyenne,100595,$48254,2.56%,29,N/A,N/A,N/A,36,56.68%,$1030,65.58%,N/A,N/A,17.42%,4.03%,65.86%,Laramie County,28.20%,60.60%,0.0%,0.12%,72.42%,20.32%,5.94%,Mountain Standard Time,N/A,N/A,N/A,N/A,92,N/A,N/A,79,6115,4.7,3.01,WY-29300,41.1105634,-104.786987,64%,67%,60%,45%,39%,43.5,32,52,N/A,N/A,N/A,N/A,26.25%,33.3%,20.22%
Hillsdale,Wyoming,139,165,Cheyenne,100595,$0,N/A,N/A,N/A,N/A,N/A,40,0.0%,N/A,0.0%,N/A,N/A,0.0%,0.0%,0.0%,Laramie County,28.20%,60.60%,0.0%,0.0%,0.0%,0.0%,0.0%,Mountain Standard Time,N/A,N/A,N/A,N/A,78,N/A,N/A,92,6115,4.7,0.84,WY-37510,41.2079769,-104.4743901,64%,67%,60%,45%,39%,43.5,32,52,N/A,N/A,N/A,N/A,26.25%,33.3%,20.22%
Pine Bluffs,Wyoming,1409,355,Cheyenne,100595,$56192,22.56%,39,N/A,N/A,N/A,56,84.4%,N/A,29.4%,170,427,12.28%,1.71%,60.75%,Laramie County,28.20%,60.60%,0.0%,0.0%,76.72%,23.28%,5.39%,Mountain Standard Time,N/A,N/A,N/A,N/A,78,N/A,N/A,92,6115,4.7,3.97,WY-61435,41.1802132,-104.0747758,64%,67%,60%,45%,39%,43.5,32,52,N/A,N/A,N/A,N/A,23.89%,30.77%,16.33%
Ranchettes,Wyoming,6384,130,Cheyenne,100595,$106513,40.04%,50,N/A,N/A,N/A,30,97.4%,$474,27.6%,N/A,N/A,2.75%,4.27%,58.17%,Laramie County,28.20%,60.60%,0.72%,0.14%,83.44%,12.41%,1.83%,Mountain Standard Time,N/A,N/A,N/A,N/A,92,N/A,N/A,87,6115,4.7,48.96,WY-63800,41.2185869,-104.7728459,64%,67%,60%,45%,39%,43.5,32,52,N/A,N/A,N/A,N/A,27.12%,32.09%,21.89%
South Greeley,Wyoming,4473,2678,Cheyenne,100595,$46548,9.54%,33,N/A,N/A,N/A,36,70.78%,$1213,47.56%,N/A,N/A,16.21%,6.73%,61.83%,Laramie County,28.20%,60.60%,0.47%,1.56%,74.51%,21.28%,3.02%,Mountain Standard Time,N/A,N/A,N/A,N/A,92,N/A,N/A,81,6115,4.7,1.67,WY-71800,41.0931325,-104.8066217,64%,67%,60%,45%,39%,43.5,32,52,N/A,N/A,N/A,N/A,28.08%,34.18%,22.11%
Warren AFB,Wyoming,2997,623,Cheyenne,100595,$63333,36.98%,22,N/A,N/A,N/A,22,0.62%,$1225,42.36%,N/A,N/A,5.94%,10.58%,91.86%,Laramie County,28.20%,60.60%,1.63%,11.54%,63.26%,18.32%,5.01%,Mountain Standard Time,N/A,N/A,N/A,N/A,92,N/A,N/A,90,6115,4.7,4.81,WY-81640,41.1487705,-104.8617734,64%,67%,60%,45%,39%,43.5,32,52,N/A,N/A,N/A,N/A,28.08%,34.18%,22.11%
