City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Arvin,California,21220,4321,Bakersfield,901362,97,57,40,7,38,272,0,46,38.8,N/A,43,39,25,2.21%,$39750,31.97%,$766,757,$239000,1342,$178,32,50.6%,7%,39%,24%,63,28 mins,9.58%,1.20%,13.60%,Kern County,40.40%,53.10%,1.55%,0.68%,3.78%,94.02%,35.89%,Pacific Standard Time,492,5.6,49.50%,35,N/A,39,22.0%,11.66,1,0,2330,898,2003,CA-02924,4.82,60.57%
Bakersfield,California,379879,2488,Bakersfield,901362,97,57,40,7,38,272,0,46,38.8,4,24,60,31,22.61%,$65687,17.22%,$1240,870,$300000,1630,$184,30,61.08%,5%,24%,29%,43,22 mins,7.6%,1.20%,12.30%,Kern County,40.40%,53.10%,7.3%,7.41%,31.35%,51.11%,19.15%,Pacific Standard Time,492,5.6,50.20%,34,27,44,20.8%,41.36,1,0,1461,455,4141,CA-03526,149.78,63.23%
Bear Valley Springs,California,5291,139,Bakersfield,901362,86,50,36,12,42,275,14,46,38.8,7,10,25,58,35.17%,$73194,9.9%,$1186,815,$425000,2014,$211,27,91.41%,7%,34%,25%,78,23 mins,5.9%,1.20%,-10.40%,Kern County,40.40%,53.10%,5.22%,0.77%,77.83%,14.0%,14.69%,Pacific Standard Time,492,5.6,38.70%,0,N/A,N/A,20.9%,1.83,1,0,3565,N/A,N/A,CA-04734,38.88,40.09%
Bodfish,California,2164,194,Bakersfield,901362,94,57,37,15,44,269,3,46,38.8,6,26,50,42,17.14%,$23051,52.77%,N/A,N/A,$149000,1284,$116,41,45.79%,7%,37%,25%,80,23 mins,20.82%,1.20%,-18.00%,Kern County,40.40%,53.10%,0.0%,0.0%,77.87%,11.69%,4.16%,Pacific Standard Time,492,5.6,46.80%,1,N/A,N/A,20.5%,98.31,N/A,0,3648,N/A,N/A,CA-07274,8.21,27.09%
Boron,California,2280,175,Bakersfield,901362,99,58,41,8,26,278,1,46,38.8,9,28,55,34,10.76%,$41736,28.68%,$643,371,$104500,1077,$97,59,50.39%,7%,35%,26%,79,23 mins,5.7%,1.20%,16.00%,Kern County,40.40%,53.10%,7.19%,3.25%,51.54%,25.48%,11.1%,Pacific Standard Time,492,5.6,58.40%,48,N/A,41,12.7%,34.71,2,0,1936,N/A,N/A,CA-07568,13.71,48.79%
Buttonwillow,California,1339,219,Bakersfield,901362,98,57,41,7,37,275,0,46,38.8,4,27,53,24,3.57%,$42548,36.59%,N/A,N/A,$144000,N/A,N/A,50,41.32%,7%,35%,26%,70,23 mins,6.48%,1.20%,-9.40%,Kern County,40.40%,53.10%,0.0%,0.45%,13.82%,85.29%,35.62%,Pacific Standard Time,492,5.6,42.90%,21,N/A,37,20.3%,22.24,0,0,310,N/A,N/A,CA-09332,6.93,58.67%
California City,California,14001,66,Bakersfield,901362,98,58,40,6,23,271,1,46,38.8,9,36,51,34,12.56%,$47575,25.33%,N/A,N/A,$237000,1549,$153,26,56.34%,11%,70%,27%,80,34 mins,17.48%,1.20%,1.70%,Kern County,40.40%,53.10%,2.57%,25.55%,31.9%,34.17%,10.42%,Pacific Standard Time,492,5.6,58.60%,48,N/A,52,16.4%,26.94,1,0,2629,579,1962,CA-09780,203.61,44.65%
Cherokee Strip,California,289,3211,Bakersfield,901362,98,57,41,7,38,274,0,46,38.8,N/A,21,39,16,0.0%,$32500,74.05%,N/A,N/A,$106200,N/A,N/A,43,26.99%,7%,34%,25%,65,23 mins,16.67%,1.20%,-38.30%,Kern County,40.40%,53.10%,0.0%,0.0%,13.84%,86.16%,50.17%,Pacific Standard Time,492,5.6,39.80%,6,N/A,40,14.0%,0.00,1,0,351,N/A,N/A,CA-12860,0.09,60.0%
China Lake Acres,California,2450,470,Bakersfield,901362,103,59,44,5,20,274,0,46,38.8,N/A,29,57,34,17.91%,$70362,20.84%,$884,915,$159000,1223,$130,41,44.24%,7%,36%,25%,84,23 mins,8.33%,1.20%,57.50%,Kern County,40.40%,53.10%,0.61%,19.27%,55.51%,16.61%,6.82%,Pacific Standard Time,492,5.6,57.00%,0,N/A,28,16.1%,0.00,1,0,33964,N/A,N/A,CA-13157,5.21,67.17%
Delano,California,52821,3588,Bakersfield,901362,99,57,42,8,39,276,0,46,38.8,4,21,42,31,7.36%,$47042,18.88%,$1001,950,$270000,1413,$191,35,60.35%,5%,39%,35%,52,18 mins,11.87%,1.20%,2.70%,Kern County,40.40%,53.10%,13.34%,4.21%,5.26%,76.87%,36.46%,Pacific Standard Time,492,5.6,54.50%,34,N/A,40,22.8%,12.07,0,0,169,386,2109,CA-18394,14.72,49.29%
