City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Chester township (Eaton Cnty),Michigan,1846,51,Lansing-East Lansing,548248,82,30,52,35,132,175,43,N/A,N/A,N/A,9,20,45,N/A,$63750,N/A,N/A,N/A,$161200,N/A,N/A,42,88.50%,5%,32%,17%,83,30 mins,4.60%,1.30%,12.20%,Eaton County,44.10%,48.80%,0.2%,1.6%,95.7%,1.4%,N/A,Eastern Standard Time,841,3.4,36.50%,0,N/A,19,N/A,N/A,N/A,2,N/A
Dallas,Michigan,2509,69,Lansing-East Lansing,548248,82,30,52,34,126,175,44,N/A,N/A,N/A,9,20,35,19.90%,$60192,N/A,N/A,N/A,$140000,N/A,N/A,49,82.50%,7%,37%,22%,83,29 mins,3.80%,1.10%,-1.00%,Clinton County,40.30%,52.90%,0.5%,0.4%,90.7%,6.2%,N/A,Eastern Standard Time,841,3.2,33.60%,0,N/A,N/A,N/A,N/A,N/A,2,N/A
Dansville,Michigan,606,603,Lansing-East Lansing,548248,83,30,53,33,123,173,38,58,39.2,9,11,25,33,21.89%,$56667,7.1%,N/A,N/A,$190000,1623,$117,53,81.50%,6%,33%,20%,78,23 mins,4.90%,1.30%,14.30%,Ingham County,59.90%,33.20%,1.8%,0.0%,87.8%,5.4%,2.2%,Eastern Standard Time,841,3.2,41.20%,37,N/A,37,19.1%,169.13,N/A,2,1
Delhi charter township,Michigan,26777,936,Lansing-East Lansing,548248,82,30,52,34,131,175,46,N/A,N/A,N/A,18,33,39,N/A,$59263,N/A,N/A,N/A,$163900,N/A,N/A,33,68.90%,6%,36%,20%,77,20 mins,3.70%,1.30%,5.70%,Ingham County,59.90%,33.20%,3.5%,6.5%,82.1%,3.8%,N/A,Eastern Standard Time,841,3.2,49.80%,2,N/A,26,N/A,0.00,6,2,1
Delta charter township,Michigan,32849,1012,Lansing-East Lansing,548248,82,30,52,34,133,175,47,N/A,N/A,N/A,18,34,40,N/A,$60169,N/A,N/A,N/A,$152200,N/A,N/A,39,59.30%,5%,32%,17%,69,18 mins,3.70%,1.30%,2.00%,Eaton County,44.10%,48.80%,5.5%,11.8%,71.2%,7.9%,N/A,Eastern Standard Time,841,3.4,47.90%,10,N/A,29,N/A,0.00,6,2,1
DeWitt,Michigan,4647,1638,Lansing-East Lansing,548248,82,30,52,33,131,172,44,57.7,39,9,9,13,35,48.41%,$74000,0%,$1192,1033,$201700,N/A,N/A,33,72.60%,6%,36%,24%,70,23 mins,3.80%,1.10%,1.20%,Clinton County,40.30%,52.90%,2.0%,2.1%,93.2%,1.5%,3.4%,Eastern Standard Time,841,3.2,37.10%,54,N/A,57,16.3%,55.05,N/A,2,1
DeWitt charter township,Michigan,14750,525,Lansing-East Lansing,548248,82,30,52,33,131,175,45,N/A,N/A,N/A,9,17,43,N/A,$60347,N/A,N/A,N/A,$205000,N/A,N/A,33,75.10%,7%,39%,23%,72,20 mins,3.80%,1.10%,4.90%,Clinton County,40.30%,52.90%,2.2%,2.7%,87.3%,6.0%,N/A,Eastern Standard Time,841,3.2,44.50%,24,0,45,N/A,0.00,6,2,1
Dimondale,Michigan,1286,1445,Lansing-East Lansing,548248,82,30,52,34,131,177,46,58.1,39.4,9,11,23,43,31.58%,$61154,2.5%,N/A,N/A,$146800,N/A,N/A,43,85.00%,1%,28%,14%,80,22 mins,4.60%,1.30%,3.50%,Eaton County,44.10%,48.80%,0.2%,1.7%,92.5%,1.8%,2%,Eastern Standard Time,841,3.4,41.70%,43,N/A,34,15.1%,216.08,6,2,1
Duplain,Michigan,2434,69,Lansing-East Lansing,548248,82,30,52,33,124,175,39,N/A,N/A,N/A,11,25,39,15.02%,$51618,N/A,N/A,N/A,$91800,N/A,N/A,70,68.80%,7%,39%,23%,84,29 mins,3.80%,1.10%,9.40%,Clinton County,40.30%,52.90%,0.0%,0.1%,85.5%,8.5%,N/A,Eastern Standard Time,841,3.2,41.60%,0,N/A,25,N/A,N/A,N/A,2,N/A
Eagle,Michigan,132,1056,Lansing-East Lansing,548248,82,30,52,34,133,177,47,57.7,39,9,9,20,35,30.91%,$52000,0%,N/A,N/A,$203700,N/A,N/A,64,89.40%,7%,34%,24%,83,23 mins,3.80%,1.10%,-34.00%,Clinton County,40.30%,52.90%,0.0%,0.0%,100.0%,0.0%,0%,Eastern Standard Time,841,3.2,50.00%,18,N/A,30,17.9%,53.76,7,1,1
Eagle township,Michigan,2694,78,Lansing-East Lansing,548248,82,30,52,34,133,175,47,N/A,N/A,N/A,9,20,48,N/A,$92969,N/A,N/A,N/A,$185600,N/A,N/A,39,89.10%,7%,37%,23%,83,27 mins,3.80%,1.10%,2.40%,Clinton County,40.30%,52.90%,0.0%,0.5%,88.7%,10.2%,N/A,Eastern Standard Time,841,3.2,41.80%,11,N/A,17,N/A,0.00,7,2,1
East Lansing,Michigan,48281,3595,Lansing-East Lansing,548248,82,30,52,33,132,174,46,57.9,39.1,9,11,24,21,71.98%,$33064,12.9%,$1326,948,$269000,2401,$112,45,31.70%,4%,32%,21%,65,15 mins,3.40%,1.30%,0.10%,Ingham County,59.90%,33.20%,12.0%,7.6%,72.0%,4.6%,15.5%,Eastern Standard Time,841,3.2,82.70%,53,N/A,77,16.4%,N/A,N/A,2,N/A
Eaton,Michigan,4083,128,Lansing-East Lansing,548248,82,30,52,35,132,175,43,N/A,N/A,9,11,20,43,22.47%,$69306,N/A,N/A,N/A,$154100,N/A,N/A,37,90.30%,5%,33%,17%,80,21 mins,4.60%,1.30%,0.50%,Eaton County,44.10%,48.80%,0.3%,1.2%,92.2%,3.5%,N/A,Eastern Standard Time,841,3.4,39.70%,0,N/A,23,N/A,N/A,N/A,2,N/A
Eaton Rapids,Michigan,5191,1472,Lansing-East Lansing,548248,82,31,51,34,131,174,46,58,39.3,9,19,23,34,17.54%,$41021,12.8%,$1033,1087,$145500,N/A,N/A,57,54.60%,4%,31%,16%,74,25 mins,4.60%,1.30%,-1.60%,Eaton County,44.10%,48.80%,0.2%,1.1%,93.0%,4.3%,0.9%,Eastern Standard Time,841,3.4,52.90%,77,N/A,50,19.0%,139.63,6,1,1
Eaton Rapids township,Michigan,4157,122,Lansing-East Lansing,548248,82,31,51,34,131,175,46,N/A,N/A,N/A,9,17,46,N/A,$70194,N/A,$1033,1087,$172600,N/A,N/A,35,91.60%,5%,34%,17%,81,28 mins,4.60%,1.30%,1.40%,Eaton County,44.10%,48.80%,0.2%,0.8%,96.7%,1.2%,N/A,Eastern Standard Time,841,3.4,35.00%,0,N/A,39,N/A,0.00,6,1,1
Edgemont Park,Michigan,2175,2617,Lansing-East Lansing,548248,82,30,52,34,133,176,47,58,39.2,N/A,12,27,42,21.44%,$50160,3.3%,$967,874,$134000,1717,$78,58,70.10%,6%,37%,20%,66,20 mins,4.90%,1.30%,-5.20%,Ingham County,59.90%,33.20%,0.0%,11.8%,76.8%,9.7%,0.8%,Eastern Standard Time,841,3.2,54.30%,36,26,50,16.8%,0.00,N/A,2,1
Elsie,Michigan,1073,940,Lansing-East Lansing,548248,82,30,52,33,124,175,39,57.7,39,9,5,9,35,9.86%,$39130,14.3%,N/A,N/A,$101800,N/A,N/A,73,58.40%,10%,39%,15%,84,31 mins,3.80%,1.10%,21.40%,Clinton County,40.30%,52.90%,0.0%,0.2%,90.7%,6.1%,1.8%,Eastern Standard Time,841,3.2,50.50%,31,N/A,37,16.5%,173.54,5,2,1
Essex,Michigan,1899,54,Lansing-East Lansing,548248,82,30,52,33,127,175,43,N/A,N/A,N/A,9,21,39,17.90%,$61964,N/A,N/A,N/A,$145400,N/A,N/A,38,82.60%,7%,37%,23%,85,29 mins,3.80%,1.10%,3.40%,Clinton County,40.30%,52.90%,0.0%,0.0%,95.2%,4.5%,N/A,Eastern Standard Time,841,3.2,35.50%,0,N/A,25,N/A,N/A,N/A,2,N/A
Fowler,Michigan,1321,1030,Lansing-East Lansing,548248,82,30,52,34,126,172,44,57.7,39,9,10,22,35,21.97%,$58516,3.6%,N/A,N/A,$153300,N/A,N/A,52,77.00%,8%,43%,22%,83,30 mins,3.80%,1.10%,6.10%,Clinton County,40.30%,52.90%,0.9%,0.8%,91.9%,3.4%,2.8%,Eastern Standard Time,841,3.2,39.40%,47,N/A,N/A,16.0%,30.28,6,2,1
Grand Ledge,Michigan,7799,2049,Lansing-East Lansing,548248,82,30,52,34,133,171,47,57.9,39.2,9,10,20,39,31.33%,$53654,6.8%,$989,933,$141300,N/A,N/A,44,63.20%,6%,34%,22%,67,19 mins,4.60%,1.30%,-0.70%,Eaton County,44.10%,48.80%,0.3%,0.7%,92.9%,3.5%,1.5%,Eastern Standard Time,841,3.4,54.60%,53,N/A,50,17.0%,N/A,N/A,2,N/A
Greenbush township (Clinton Cnty),Michigan,2047,58,Lansing-East Lansing,548248,82,30,52,33,129,175,43,N/A,N/A,N/A,9,20,46,N/A,$58529,N/A,N/A,N/A,$157500,N/A,N/A,41,82.50%,7%,38%,23%,83,25 mins,3.80%,1.10%,0.30%,Clinton County,40.30%,52.90%,0.4%,0.9%,93.4%,3.6%,N/A,Eastern Standard Time,841,3.2,31.10%,0,N/A,25,N/A,N/A,N/A,2,N/A
Hamlin township (Eaton Cnty),Michigan,3366,98,Lansing-East Lansing,548248,82,31,51,34,131,175,46,N/A,N/A,N/A,10,19,52,N/A,$60101,N/A,N/A,N/A,$159700,N/A,N/A,36,81.30%,5%,32%,17%,81,29 mins,4.60%,1.30%,1.90%,Eaton County,44.10%,48.80%,1.2%,0.5%,94.8%,1.0%,N/A,Eastern Standard Time,841,3.4,39.40%,0,N/A,24,N/A,N/A,N/A,2,N/A
Haslett,Michigan,19800,1286,Lansing-East Lansing,548248,82,30,52,33,129,174,45,58,39.1,8,18,30,40,58.97%,$57203,4.9%,$862,867,$245000,2268,$108,39,58.00%,3%,30%,18%,73,20 mins,4.90%,1.30%,0.40%,Ingham County,59.90%,33.20%,11.0%,1.9%,80.1%,4.4%,13.5%,Eastern Standard Time,841,3.2,51.20%,18,N/A,43,15.9%,8.27,6,2,1
Holt,Michigan,24912,1591,Lansing-East Lansing,548248,82,30,52,34,131,177,46,58,39.2,9,19,31,39,38.27%,$58253,6.7%,$1143,1044,$199900,1979,$101,32,67.90%,5%,37%,18%,77,20 mins,4.90%,1.30%,5.60%,Ingham County,59.90%,33.20%,2.4%,6.9%,82.3%,4.1%,6%,Eastern Standard Time,841,3.2,48.90%,17,N/A,44,18.3%,23.14,6,2,1
Hubbardston,Michigan,304,197,Lansing-East Lansing,548248,82,29,53,34,125,169,45,57.8,39,9,11,25,49,6.97%,$46250,3.6%,N/A,N/A,$89000,N/A,N/A,78,82.50%,8%,38%,27%,84,26 mins,5.00%,1.30%,-32.30%,Ionia County,30.90%,61.50%,0.0%,0.0%,93.4%,4.3%,0.9%,Eastern Standard Time,841,3.4,46.40%,24,N/A,31,12.9%,N/A,N/A,1,N/A
Ingham,Michigan,2467,76,Lansing-East Lansing,548248,82,30,52,33,124,175,39,N/A,N/A,9,10,22,43,24.48%,$69395,N/A,N/A,N/A,$158700,N/A,N/A,40,91.40%,6%,36%,20%,78,26 mins,4.90%,1.30%,4.20%,Ingham County,59.90%,33.20%,0.6%,0.0%,94.5%,2.2%,N/A,Eastern Standard Time,841,3.2,40.50%,0,N/A,25,N/A,N/A,N/A,2,N/A
Kalamo,Michigan,1898,52,Lansing-East Lansing,548248,83,31,52,36,136,175,52,N/A,N/A,N/A,11,24,40,10.93%,$54726,N/A,N/A,N/A,$167200,N/A,N/A,38,84.20%,4%,33%,17%,82,33 mins,4.60%,1.30%,-5.50%,Eaton County,44.10%,48.80%,0.0%,0.0%,96.7%,2.2%,N/A,Eastern Standard Time,841,3.4,36.20%,0,N/A,25,N/A,N/A,N/A,2,N/A
Lake Victoria,Michigan,836,1017,Lansing-East Lansing,548248,82,30,52,32,126,175,44,57.7,39,8,10,22,50,N/A,$63438,0%,N/A,N/A,$210700,N/A,N/A,37,93.60%,7%,39%,23%,83,23 mins,3.80%,1.10%,-5.80%,Clinton County,40.30%,52.90%,0.0%,1.2%,97.5%,1.3%,0.9%,Eastern Standard Time,841,3.2,44.90%,0,N/A,25,16.9%,48.43,6,2,1
Lansing,Michigan,115222,2942,Lansing-East Lansing,548248,82,30,52,33,132,175,46,57.9,39.1,9,55,45,32,26.15%,$35675,21.1%,$964,846,$117500,1678,$70,58,44.90%,7%,40%,8%,68,19 mins,6.90%,1.30%,-0.40%,Ingham County,59.90%,33.20%,3.7%,21.0%,55.1%,12.2%,8.2%,Eastern Standard Time,841,3.2,64.40%,43,34,59,18.3%,N/A,N/A,2,N/A
Lansing charter township,Michigan,8188,1660,Lansing-East Lansing,548248,82,30,52,34,133,175,47,N/A,N/A,N/A,36,52,31,N/A,$40313,N/A,N/A,N/A,$113100,N/A,N/A,56,50.00%,6%,37%,19%,66,16 mins,4.90%,1.30%,-0.30%,Ingham County,59.90%,33.20%,1.4%,15.9%,65.1%,14.1%,N/A,Eastern Standard Time,841,3.2,63.10%,32,29,41,N/A,0.00,6,2,1
Lebanon,Michigan,554,16,Lansing-East Lansing,548248,82,30,52,34,126,175,44,N/A,N/A,N/A,9,19,43,N/A,$67500,N/A,N/A,N/A,$166600,N/A,N/A,61,81.70%,7%,38%,22%,85,31 mins,3.80%,1.10%,-8.10%,Clinton County,40.30%,52.90%,1.1%,0.0%,96.9%,2.0%,N/A,Eastern Standard Time,841,3.2,32.80%,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A
Leroy township (Ingham Cnty),Michigan,3574,105,Lansing-East Lansing,548248,83,30,53,32,124,175,39,N/A,N/A,N/A,11,21,38,N/A,$51406,N/A,N/A,N/A,$169800,N/A,N/A,40,79.30%,6%,37%,20%,79,28 mins,4.90%,1.30%,0.50%,Ingham County,59.90%,33.20%,0.0%,0.0%,97.1%,1.3%,N/A,Eastern Standard Time,841,3.2,39.80%,1,N/A,27,N/A,N/A,N/A,2,N/A
