City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Ovid township (Clinton Cnty),Michigan,3822,107,Lansing-East Lansing,548248,82,30,52,33,127,175,42,N/A,N/A,N/A,12,23,43,N/A,$50833,N/A,N/A,N/A,$102400,N/A,N/A,51,91.10%,7%,37%,22%,83,25 mins,3.80%,1.10%,1.30%,Clinton County,40.30%,52.90%,0.0%,0.5%,96.2%,2.8%,N/A,Eastern Standard Time,841,3.2,47.00%,0,N/A,25,N/A,N/A,N/A,2,N/A
Potterville,Michigan,2647,1516,Lansing-East Lansing,548248,82,30,52,35,132,173,43,57.9,39.4,9,6,18,36,19.27%,$49073,10.1%,N/A,N/A,$140500,N/A,N/A,26,65.00%,3%,30%,16%,80,24 mins,4.60%,1.30%,3.60%,Eaton County,44.10%,48.80%,0.0%,0.7%,91.7%,5.7%,0%,Eastern Standard Time,841,3.4,50.80%,41,N/A,39,17.8%,42.57,6,2,1
Riley township (Clinton Cnty),Michigan,2091,59,Lansing-East Lansing,548248,82,30,52,33,130,175,43,N/A,N/A,N/A,8,17,43,N/A,$73214,N/A,N/A,N/A,$183300,N/A,N/A,39,94.50%,7%,37%,23%,81,27 mins,3.80%,1.10%,5.90%,Clinton County,40.30%,52.90%,1.1%,0.0%,97.6%,1.2%,N/A,Eastern Standard Time,841,3.2,30.40%,0,N/A,25,N/A,N/A,N/A,2,N/A
Roxand,Michigan,1915,53,Lansing-East Lansing,548248,82,30,52,34,133,175,46,N/A,N/A,N/A,11,24,42,15.19%,$57426,N/A,N/A,N/A,$121300,N/A,N/A,59,78.20%,5%,32%,18%,82,27 mins,4.60%,1.30%,3.90%,Eaton County,44.10%,48.80%,0.0%,0.0%,95.8%,0.7%,N/A,Eastern Standard Time,841,3.4,38.50%,0,N/A,25,N/A,N/A,N/A,2,N/A
St. Johns,Michigan,7894,1956,Lansing-East Lansing,548248,82,30,52,33,129,173,43,57.6,38.9,N/A,11,22,38,N/A,$40331,8.4%,N/A,N/A,$147000,N/A,N/A,53,64.10%,7%,37%,23%,67,22 mins,3.80%,1.10%,-0.30%,Clinton County,40.30%,52.90%,1.0%,1.2%,92.9%,3.6%,1.8%,Eastern Standard Time,841,3.2,50.90%,59,N/A,44,19.6%,70.98,5,2,1
Stockbridge,Michigan,1293,860,Lansing-East Lansing,548248,82,30,52,33,120,178,36,58,39.2,8,17,26,42,20.80%,$48274,11.3%,N/A,N/A,$165000,1231,$134,68,58.20%,7%,40%,22%,79,29 mins,4.90%,1.30%,17.90%,Ingham County,59.90%,33.20%,0.0%,0.0%,94.4%,4.2%,2.3%,Eastern Standard Time,841,3.2,46.00%,50,N/A,52,18.0%,244.79,6,2,0
Stockbridge township,Michigan,3941,111,Lansing-East Lansing,548248,82,30,52,33,120,175,36,N/A,N/A,N/A,11,22,44,N/A,$49732,N/A,N/A,N/A,$163700,N/A,N/A,42,77.30%,6%,38%,19%,79,34 mins,4.90%,1.30%,3.10%,Ingham County,59.90%,33.20%,1.1%,0.0%,92.7%,4.2%,N/A,Eastern Standard Time,841,3.2,42.00%,0,N/A,25,N/A,0.00,6,2,0
Sunfield,Michigan,512,675,Lansing-East Lansing,548248,82,30,52,36,133,178,51,58.1,39.4,9,13,28,34,12.03%,$44125,10.4%,N/A,N/A,$128600,N/A,N/A,54,67.10%,7%,38%,23%,83,28 mins,4.60%,1.30%,-31.30%,Eaton County,44.10%,48.80%,0.8%,1.2%,89.3%,7.8%,2.2%,Eastern Standard Time,841,3.4,44.80%,17,N/A,27,18.0%,173.78,6,2,1
Sunfield township,Michigan,1972,55,Lansing-East Lansing,548248,82,30,52,35,133,175,51,N/A,N/A,N/A,11,23,40,N/A,$57888,N/A,N/A,N/A,$126900,N/A,N/A,46,80.40%,5%,32%,18%,83,28 mins,4.60%,1.30%,-16.60%,Eaton County,44.10%,48.80%,0.2%,0.3%,93.9%,4.3%,N/A,Eastern Standard Time,841,3.4,37.80%,0,N/A,25,N/A,0.00,6,2,1
Vermontville,Michigan,809,639,Lansing-East Lansing,548248,83,31,52,36,135,177,51,58.1,39.4,9,15,33,31,10.82%,$37763,22.1%,N/A,N/A,$103800,N/A,N/A,74,59.90%,0%,30%,13%,83,28 mins,4.60%,1.30%,16.90%,Eaton County,44.10%,48.80%,0.0%,0.0%,92.2%,2.8%,0.4%,Eastern Standard Time,841,3.4,53.10%,25,N/A,34,18.3%,441.60,7,2,1
