City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Arcola,Mississippi,296,1345,Greenville,106541,$23269,6.74%,36,N/A,N/A,N/A,40,90.54%,$475,68.04%,N/A,N/A,39.19%,19.18%,33.95%,Washington County,67.60%,31.20%,0.0%,87.16%,12.84%,0.0%,0.0%,N/A,93,53,40,56.83,0.4,6.1,65,99,5.7,0.22,MS-01820,33.2705404,-90.8800018,59%,66%,50%,57%,57%,66.4,54,70,71,34,11.87,16.19,27.51%,23.63%,32.33%,0
Greenville,Mississippi,29854,1110,Greenville,106541,$29013,19.79%,37,$205000,1898,$108,51,44.32%,$720,62.62%,N/A,N/A,34.58%,11.31%,54.09%,Washington County,67.60%,31.20%,0.95%,83.35%,14.55%,0.48%,0.98%,N/A,93,54,39,50.08,0.4,6.1,54,117,5.7,26.9,MS-29180,33.3850381,-91.0514271,59%,66%,50%,57%,57%,66.4,54,70,71,35,10.11,14.29,27.51%,23.63%,32.33%,0
Hollandale,Mississippi,1980,892,Greenville,106541,$35357,14.37%,42,N/A,N/A,N/A,46,41.92%,$612,63.15%,N/A,N/A,32.3%,13.06%,54.5%,Washington County,67.60%,31.20%,0.0%,86.46%,13.43%,0.0%,0.0%,N/A,93,53,40,56.83,0.4,6.1,64,99,5.7,2.22,MS-32900,33.1761055,-90.8528984,59%,66%,50%,57%,57%,66.4,54,70,71,34,11.87,16.19,27.51%,23.63%,32.33%,0
Leland,Mississippi,3866,1080,Greenville,106541,$41465,31.21%,40,N/A,N/A,N/A,49,60.17%,$631,57.18%,N/A,N/A,21.93%,9.07%,61.45%,Washington County,67.60%,31.20%,0.31%,67.82%,24.08%,4.01%,1.32%,N/A,93,53,40,57.23,2.0,6.1,60,117,5.7,3.58,MS-40280,33.4051279,-90.8909281,59%,66%,50%,57%,57%,66.4,54,70,71,34,11.55,16.56,27.51%,23.63%,32.33%,0
Metcalfe,Mississippi,953,953,Greenville,106541,$25972,16.37%,23,N/A,N/A,N/A,46,61.07%,$418,79.34%,N/A,N/A,25.5%,12.47%,46.61%,Washington County,67.60%,31.20%,0.0%,99.9%,0.0%,0.0%,0.0%,N/A,93,54,39,50.08,2.0,6.1,62,117,5.7,1.0,MS-46880,33.4505902,-91.001831,59%,66%,50%,57%,57%,66.4,54,70,71,35,10.11,14.29,27.51%,23.63%,32.33%,0
Adams township (Darke Cnty),Ohio,3467,93,Greenville,106541,$52577,N/A,N/A,N/A,N/A,N/A,65,74.30%,N/A,35.30%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,40.36,26.3,8.3,79,912,3.8,37.28,OH-00254,40.1338074,-84.4913418,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.53,8.46,36.36%,36.81%,35.44%,23
Allen township (Darke Cnty),Ohio,1322,46,Greenville,106541,$48155,N/A,N/A,N/A,N/A,N/A,50,71.30%,N/A,39.90%,N/A,N/A,N/A,4.00%,N/A,Darke County,17.50%,78.20%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,40.52,29.3,8.3,82,876,3.8,28.74,OH-01294,40.3083566,-84.6641025,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.93,8.34,29.37%,28.46%,30.78%,16
Ansonia,Ohio,1126,1425,Greenville,106541,$47639,10.68%,35,$52000,4333,$12,59,63.59%,$634,39.23%,N/A,N/A,22.13%,5.39%,67.02%,Darke County,17.50%,78.20%,0.0%,0.18%,93.96%,5.86%,0.36%,N/A,85,36,49,42.38,29.3,8.3,80,915,3.8,0.79,OH-02120,40.2141145,-84.6343979,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.34,8.7,35.48%,33.63%,37.0%,16
Arcanum,Ohio,2457,1935,Greenville,106541,$51360,16.34%,36,$146000,1197,$122,57,70.74%,$747,40.93%,0,448,7.33%,2.04%,64.67%,Darke County,17.50%,78.20%,0.0%,1.95%,92.63%,1.99%,0.16%,N/A,85,36,49,42.33,26.3,8.3,78,930,3.8,1.27,OH-02330,39.9923084,-84.5543227,53%,66%,41%,60%,55%,38.6,41,61,64,20,11.87,9.06,35.48%,33.63%,37.0%,23
Bradford,Ohio,1987,2394,Greenville,106541,$46500,8.55%,41,$128000,1123,$114,77,66.03%,$736,49.26%,N/A,N/A,14.85%,6.1%,63.5%,Miami County,24.70%,69.80%,0.0%,0.0%,97.03%,0.0%,0.3%,N/A,85,37,48,40.36,26.3,8.3,78,912,3.6,0.83,OH-08084,40.1318198,-84.4292735,53%,66%,41%,60%,55%,38.6,41,61,65,21,11.53,8.46,36.36%,36.81%,35.44%,23
