City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Daytona Beach,Florida,65339,995,Deltona-Daytona Beach-Ormond Beach,513594,90,68,22,51,119,230,0,72.6,61.8,7,63,85,40,23.10%,$28164,17.2%,$1285,894,$215000,1242,$173,41,35.40%,7%,67%,25%,67,19 mins,4.70%,2.00%,3.90%,Volusia County,41.40%,54.30%,2.74%,33.63%,57.97%,7.70%,9.5%,Eastern Standard Time,31,6.4,66.60%,37,29,52,18.3%,0.33,82,2,0
Daytona Beach Shores,Florida,4393,4833,Deltona-Daytona Beach-Ormond Beach,513594,90,68,22,50,119,233,0,72.5,61.7,7,30,56,65,43.00%,$43077,3.6%,$1114,799,$399000,1400,$285,28,30.80%,6%,44%,20%,77,30 mins,3.70%,2.00%,1.30%,Volusia County,41.40%,54.30%,1.34%,2.68%,93.42%,2.30%,12.5%,Eastern Standard Time,31,6.4,45.80%,23,27,44,24.3%,0.00,79,2,0
De Leon Springs,Florida,2627,988,Deltona-Daytona Beach-Ormond Beach,513594,91,69,22,54,115,233,0,72.3,60.8,5,23,43,40,18.77%,$50154,18.9%,$961,864,$176100,N/A,N/A,37,67.10%,4%,75%,29%,63,25 mins,3.70%,2.00%,-30.10%,Volusia County,41.40%,54.30%,N/A,3.91%,78.56%,51.00%,16.4%,Eastern Standard Time,31,6.4,42.70%,35,N/A,54,20.2%,0.00,81,2,0
DeBary,Florida,20079,1059,Deltona-Daytona Beach-Ormond Beach,513594,92,70,22,54,120,229,0,72.3,61.6,6,24,46,49,27.53%,$52258,6.2%,$1412,1021,$316500,1929,$164,28,72.60%,6%,54%,27%,58,28 mins,3.70%,2.00%,5.30%,Volusia County,41.40%,54.30%,1.93%,5.54%,90.68%,11.10%,7.2%,Eastern Standard Time,31,6.4,44.40%,15,N/A,38,17.8%,0.00,79,3,1
DeLand,Florida,30315,1611,Deltona-Daytona Beach-Ormond Beach,513594,92,70,22,55,120,232,0,72.2,60.8,5,23,61,41,28.83%,$37417,12.7%,$1063,868,$309900,2038,$152,29,51.10%,6%,63%,26%,54,21 mins,4.20%,2.00%,14.60%,Volusia County,41.40%,54.30%,1.78%,17.26%,75.53%,15.80%,8.2%,Eastern Standard Time,31,6.4,55.00%,35,N/A,51,18.6%,7.71,80,3,1
DeLand Southwest,Florida,960,1538,Deltona-Daytona Beach-Ormond Beach,513594,92,70,22,55,120,227,0,72.5,61.7,N/A,31,50,40,21.30%,$20369,26.4%,$961,864,$104000,N/A,N/A,39,34.80%,7%,65%,27%,55,25 mins,3.70%,2.00%,2.90%,Volusia County,41.40%,54.30%,9.10%,43.12%,39.11%,3.80%,18%,Eastern Standard Time,31,6.4,65.50%,28,N/A,62,19.1%,0.00,80,3,1
Deltona,Florida,88005,2361,Deltona-Daytona Beach-Ormond Beach,513594,92,70,22,54,120,227,0,72.3,61.7,6,28,52,39,16.19%,$44046,10.2%,N/A,N/A,$244000,1515,$161,29,69.80%,8%,80%,34%,62,32 mins,3.90%,2.00%,4.60%,Volusia County,41.40%,54.30%,1.61%,12.53%,74.58%,33.00%,8.8%,Eastern Standard Time,31,6.4,49.40%,15,N/A,32,21.5%,0.47,81,3,1
Edgewater,Florida,21620,964,Deltona-Daytona Beach-Ormond Beach,513594,90,68,22,50,116,234,0,72.8,62.7,7,10,30,50,15.41%,$43942,7.4%,$1181,764,$275000,1608,$171,31,71.10%,7%,66%,31%,71,26 mins,3.70%,2.00%,3.60%,Volusia County,41.40%,54.30%,N/A,2.33%,91.94%,4.70%,3.9%,Eastern Standard Time,31,6.4,47.50%,15,N/A,43,17.2%,0.00,82,2,1
Flagler Beach,Florida,4888,1364,Deltona-Daytona Beach-Ormond Beach,513594,90,67,23,52,110,225,0,72.6,61.4,7,18,33,59,35.22%,$49570,4.9%,N/A,N/A,$468700,1616,$290,35,51.30%,6%,61%,31%,76,23 mins,4.00%,1.90%,1.90%,Flagler County,38.00%,58.40%,N/A,3.80%,93.98%,5.30%,5.7%,Eastern Standard Time,31,5.4,38.60%,43,N/A,60,21.4%,N/A,N/A,2,N/A
Glencoe,Florida,1853,504,Deltona-Daytona Beach-Ormond Beach,513594,90,68,22,50,119,227,0,72.5,61.7,N/A,19,37,43,18.53%,$45915,4.9%,$1181,764,$467000,1782,$262,34,61.10%,6%,68%,28%,72,25 mins,3.70%,2.00%,-33.40%,Volusia County,41.40%,54.30%,N/A,N/A,100.00%,5.60%,6.3%,Eastern Standard Time,31,6.4,50.00%,1,N/A,N/A,16.7%,0.00,N/A,2,1
