City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Anthony,Texas,5503,861,El Paso,784031,$38000,11.75%,36,$252000,2049,$123,27,75.28%,$837,48.72%,278,1707,23.32%,3.95%,45.52%,El Paso County,68.50%,25.70%,0.21%,2.44%,11.94%,83.13%,24.28%,Mountain Standard Time,97,57,40,9.26,43,2.0,N/A,62,3456,6.6,6.39,TX-03432,31.9875335,-106.5933687,83%,85%,80%,27%,26%,35.3,35,51,66,29,4.24,1.31,12.55%,20.88%,10.33%,0
Butterfield,Texas,4,1,El Paso,784031,$2499,N/A,50,N/A,N/A,N/A,25,78.33%,$934,90.0%,N/A,N/A,78.33%,36.36%,39.29%,El Paso County,68.50%,25.70%,0.0%,0.0%,13.33%,86.67%,43.33%,Mountain Standard Time,99,59,40,9.37,44,3.0,N/A,82,3663,6.6,3.22,TX-11626,31.8426259,-106.0821941,83%,85%,80%,27%,26%,35.3,35,51,72,34,4.28,1.3,12.36%,21.76%,9.56%,0
Canutillo,Texas,5075,1854,El Paso,784031,$33657,15.23%,34,$285000,1307,$218,33,78.13%,$732,43.8%,N/A,N/A,27.8%,2.44%,50.81%,El Paso County,68.50%,25.70%,3.02%,0.08%,4.83%,92.07%,28.7%,Mountain Standard Time,97,57,40,9.64,43,2.0,N/A,71,3444,6.6,2.75,TX-12508,31.9185281,-106.6006496,83%,85%,80%,27%,26%,35.3,35,51,66,29,4.33,1.28,12.55%,20.88%,10.33%,0
Clint,Texas,918,467,El Paso,784031,$35938,14.77%,39,$439000,2005,$219,48,70.47%,$825,48.88%,N/A,N/A,28.93%,2.99%,43.98%,El Paso County,68.50%,25.70%,0.7%,0.7%,15.18%,84.12%,14.9%,Mountain Standard Time,96,59,37,9.22,43,3.0,N/A,69,3585,6.6,1.96,TX-15544,31.5900693,-106.2288653,83%,85%,80%,27%,26%,35.3,35,51,62,27,4.25,1.36,11.29%,19.12%,8.56%,0
Dell City,Texas,376,226,El Paso,784031,$25938,N/A,39,N/A,N/A,N/A,40,33.74%,$934,57.69%,N/A,N/A,7.98%,5.88%,49.04%,Hudspeth County,37.20%,57.70%,0.0%,0.0%,16.56%,83.44%,31.29%,Mountain Standard Time,100,61,39,10.85,41,3.8,N/A,80,3417,7.1,1.67,TX-19708,31.934889,-105.1998157,83%,85%,80%,27%,26%,35.3,35,51,61,25,4.83,1.22,10.11%,18.57%,6.44%,0
El Paso,Texas,678266,2635,El Paso,784031,$48866,25.09%,33,$227000,1681,$135,38,62.6%,$857,52.19%,352,1511,18.83%,6.25%,62.17%,El Paso County,68.50%,25.70%,1.41%,3.43%,12.59%,81.49%,22.95%,Mountain Standard Time,99,59,40,10.15,43,3.0,N/A,66,3810,6.6,258.41,TX-24000,31.8476418,-106.4299948,83%,85%,80%,27%,26%,35.3,35,51,72,34,4.29,1.66,14.03%,22.31%,12.22%,0
Fabens,Texas,6203,1434,El Paso,784031,$29171,3.39%,37,$450000,4018,$112,36,71.01%,$551,51.57%,N/A,N/A,30.79%,4.5%,50.66%,El Paso County,68.50%,25.70%,1.9%,0.34%,2.67%,95.09%,37.67%,Mountain Standard Time,96,59,37,8.3,44,3.0,N/A,75,3222,6.6,4.33,TX-25032,31.5134893,-106.1520818,83%,85%,80%,27%,26%,35.3,35,51,62,27,4.18,0.95,11.29%,19.12%,8.56%,0
Fort Bliss,Texas,10188,1639,El Paso,784031,$54159,32.49%,23,N/A,N/A,N/A,16,0.0%,$1402,56.67%,N/A,N/A,9.74%,6.42%,84.81%,El Paso County,68.50%,25.70%,3.56%,16.74%,43.43%,26.56%,5.96%,Mountain Standard Time,99,59,40,9.09,45,3.0,N/A,67,3582,6.6,17.92,TX-26664,31.8396502,-106.3746974,83%,85%,80%,27%,26%,35.3,35,51,72,34,4.25,1.18,12.36%,21.76%,9.56%,0
Fort Hancock,Texas,1466,77,El Paso,784031,$29236,1.92%,26,N/A,N/A,N/A,37,74.97%,$650,45.42%,N/A,N/A,38.49%,0.0%,52.45%,Hudspeth County,37.20%,57.70%,0.0%,0.0%,9.17%,90.83%,38.33%,Mountain Standard Time,98,60,38,8.84,40,3.0,N/A,80,3255,7.1,18.95,TX-26724,31.2836817,-105.8445425,83%,85%,80%,27%,26%,35.3,35,51,65,26,4.25,1.17,10.11%,18.57%,6.44%,0
Homestead Meadows North,Texas,5397,346,El Paso,784031,$46655,20.06%,37,$385000,3031,$127,27,86.94%,$731,43.34%,N/A,N/A,27.53%,11.75%,55.87%,El Paso County,68.50%,25.70%,0.43%,0.12%,13.24%,85.67%,33.41%,Mountain Standard Time,99,59,40,9.37,44,3.0,N/A,74,3663,6.6,15.59,TX-34671,31.8483281,-106.1706867,83%,85%,80%,27%,26%,35.3,35,51,72,34,4.28,1.3,12.36%,21.76%,9.56%,0
