City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in)
Alpine,Utah,10509,1320,Provo-Orem,663181,$123450,58.25%,34,$716000,2797,$256,24,89.61%,$2896,33.66%,N/A,N/A,6.4%,2.17%,60.21%,Utah County,14.00%,50.20%,0.89%,0.13%,93.81%,2.36%,2.62%,Mountain Standard Time,N/A,N/A,N/A,20.9,93,70,8.4,83,4227,4.5,7.96,UT-00540,40.4629371,-111.7724374,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.44,6.89
American Fork,Utah,31636,2825,Provo-Orem,663181,$78690,38.92%,28,$481000,2056,$234,29,76.45%,$1256,38.96%,N/A,N/A,6.22%,4.02%,66.5%,Utah County,14.00%,50.20%,1.12%,0.32%,85.38%,8.69%,5.34%,Mountain Standard Time,N/A,N/A,N/A,17.07,80,34,8.4,77,4227,4.5,11.2,UT-01310,40.3782963,-111.7952717,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,5.14
Benjamin,Utah,886,104,Provo-Orem,663181,$83438,32.92%,41,N/A,N/A,N/A,39,87.02%,$950,27.91%,N/A,N/A,7.56%,0.0%,57.67%,Utah County,14.00%,50.20%,0.0%,0.0%,93.68%,6.32%,0.45%,Mountain Standard Time,N/A,N/A,N/A,19.43,94,51,8.4,87,4227,4.5,8.54,UT-04720,40.0968662,-111.7289695,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.24,6.16
Cedar Fort,Utah,212,10,Provo-Orem,663181,$86250,3.4%,44,N/A,N/A,N/A,30,88.68%,$813,39.41%,N/A,N/A,5.66%,1.14%,53.99%,Utah County,14.00%,50.20%,0.0%,0.94%,99.06%,0.0%,0.0%,Mountain Standard Time,N/A,N/A,N/A,15.74,85,38,8.4,89,4227,4.5,21.38,UT-11430,40.341397,-112.1085576,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.26,4.71
Cedar Hills,Utah,10190,3733,Provo-Orem,663181,$107440,52.81%,25,$634000,3337,$190,18,87.9%,$1776,35.91%,N/A,N/A,5.24%,2.52%,65.27%,Utah County,14.00%,50.20%,0.95%,0.11%,91.96%,6.1%,3.05%,Mountain Standard Time,N/A,N/A,N/A,17.07,85,42,8.4,82,4227,4.5,2.73,UT-11440,40.4166575,-111.7638323,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,5.14
Eagle Mountain,Utah,35431,703,Provo-Orem,663181,$87094,35.42%,19,$472000,2511,$188,13,92.05%,$1634,29.02%,N/A,N/A,6.38%,3.54%,75.43%,Utah County,14.00%,50.20%,0.21%,0.36%,85.44%,10.19%,4.08%,Mountain Standard Time,N/A,N/A,N/A,15.74,86,46,8.4,86,4227,4.5,50.43,UT-20810,40.3137289,-112.0114247,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.26,4.71
Elberta,Utah,318,286,Provo-Orem,663181,$50708,0.0%,30,N/A,N/A,N/A,29,100.0%,N/A,36.07%,N/A,N/A,0.0%,0.0%,71.58%,Utah County,14.00%,50.20%,0.0%,0.0%,85.85%,0.0%,0.0%,Mountain Standard Time,N/A,N/A,N/A,19.62,81,48,8.4,93,4227,4.5,1.11,UT-22210,39.95579,-111.9569232,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,6.36
Elk Ridge,Utah,3994,1416,Provo-Orem,663181,$103875,36.55%,27,N/A,N/A,N/A,17,97.32%,$1429,27.09%,N/A,N/A,2.36%,4.07%,63.41%,Utah County,14.00%,50.20%,0.48%,0.0%,92.61%,3.78%,1.9%,Mountain Standard Time,N/A,N/A,N/A,24.89,89,51,8.4,93,4227,4.5,2.82,UT-22370,40.009871,-111.6774837,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,3.89,8.74
Eureka,Utah,630,426,Provo-Orem,663181,$58750,16.71%,47,N/A,N/A,N/A,69,95.56%,N/A,54.76%,N/A,N/A,24.32%,13.73%,53.48%,Juab County,10.50%,67.00%,0.0%,0.0%,94.13%,4.76%,2.06%,Mountain Standard Time,N/A,N/A,N/A,23.7,65,83,8.4,96,4227,4.5,1.48,UT-24080,39.9587906,-112.114941,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.39,9.35
Fairfield,Utah,81,3,Provo-Orem,663181,$81667,3.13%,49,N/A,N/A,N/A,46,100.0%,N/A,30.0%,N/A,N/A,1.27%,0.0%,60.0%,Utah County,14.00%,50.20%,0.0%,0.0%,85.19%,14.81%,6.17%,Mountain Standard Time,N/A,N/A,N/A,15.74,85,38,8.4,89,4227,4.5,26.09,UT-24410,40.2461867,-112.0842506,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.26,4.71
Genola,Utah,1601,116,Provo-Orem,663181,$96786,19.93%,31,N/A,N/A,N/A,28,93.2%,$838,32.32%,N/A,N/A,6.39%,3.0%,65.92%,Utah County,14.00%,50.20%,0.0%,0.62%,93.0%,4.37%,2.5%,Mountain Standard Time,N/A,N/A,N/A,19.62,80,51,8.4,93,4227,4.5,13.76,UT-28810,40.0117586,-111.8464534,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,6.36
Goshen,Utah,929,1119,Provo-Orem,663181,$81118,14.71%,31,N/A,N/A,N/A,43,78.15%,$1040,36.61%,N/A,N/A,9.04%,0.0%,70.93%,Utah County,14.00%,50.20%,0.22%,0.0%,79.12%,16.68%,5.92%,Mountain Standard Time,N/A,N/A,N/A,19.62,80,46,8.4,93,4227,4.5,0.83,UT-30130,39.9511141,-111.9008264,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.56,6.36
Highland,Utah,19012,2185,Provo-Orem,663181,$146177,62.29%,24,$905000,3635,$249,16,92.01%,$2039,33.5%,N/A,N/A,1.67%,2.8%,66.84%,Utah County,14.00%,50.20%,0.76%,1.76%,94.17%,1.15%,1.71%,Mountain Standard Time,N/A,N/A,N/A,18.85,80,34,8.4,80,4227,4.5,8.7,UT-35190,40.4275494,-111.7956946,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.61,5.42
Lake Shore,Utah,1020,149,Provo-Orem,663181,$81313,43.87%,24,N/A,N/A,N/A,24,53.13%,N/A,39.2%,N/A,N/A,0.0%,17.13%,70.01%,Utah County,14.00%,50.20%,0.0%,1.47%,97.75%,0.0%,1.57%,Mountain Standard Time,N/A,N/A,N/A,19.43,95,51,8.4,84,4227,4.5,6.86,UT-42230,40.1294421,-111.7361806,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.24,6.16
Lehi,Utah,66980,2383,Provo-Orem,663181,$101429,45.3%,26,$515000,2320,$222,16,82.25%,$1510,32.76%,N/A,N/A,5.75%,4.0%,72.79%,Utah County,14.00%,50.20%,1.66%,0.43%,85.58%,8.6%,6.06%,Mountain Standard Time,N/A,N/A,N/A,18.85,80,33,8.4,81,4227,4.5,28.11,UT-44320,40.4135495,-111.8724722,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,2.61,5.42
Levan,Utah,878,1084,Provo-Orem,663181,$55833,10.78%,31,N/A,N/A,N/A,41,82.57%,$687,40.96%,N/A,N/A,9.0%,10.24%,60.52%,Juab County,10.50%,67.00%,0.0%,0.0%,92.6%,7.4%,3.87%,Mountain Standard Time,N/A,N/A,N/A,12.87,80,45,8.4,96,4227,4.5,0.81,UT-44650,39.5561402,-111.8606121,66%,83%,47%,43%,23%,39.0,33,44,N/A,N/A,1.79,3.82
