City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Allerton,Illinois,267,393,Danville,125951,$60208,13.57%,43,N/A,N/A,N/A,59,82.4%,$581,40.64%,N/A,N/A,9.43%,5.97%,63.51%,Vermilion County,32.60%,61.90%,0.75%,9.36%,84.64%,3.37%,1.12%,Central Standard Time,84,33,51,41.89,25.7,6.9,83,624,3.7,0.68,IL-00880,39.9161389,-87.9352579,51%,64%,41%,60%,57%,41.0,42,63,64,18,12.29,7.95,34.11%,31.54%,35.33%,23,87
Alvan,Illinois,267,338,Danville,125951,$58056,5.29%,41,N/A,N/A,N/A,62,74.16%,N/A,40.61%,N/A,N/A,14.23%,0.87%,50.22%,Vermilion County,32.60%,61.90%,0.0%,0.0%,99.25%,0.37%,0.0%,Central Standard Time,85,34,51,42.51,18.5,N/A,83,624,3.7,0.79,IL-01242,40.3070286,-87.606903,51%,64%,41%,60%,57%,41.0,42,63,65,18,12.18,8.07,35.34%,34.51%,33.67%,16,89
Belgium,Illinois,383,891,Danville,125951,$41667,7.04%,42,N/A,N/A,N/A,58,67.62%,$606,59.43%,0,0,18.78%,7.53%,58.49%,Vermilion County,32.60%,61.90%,1.04%,0.0%,98.17%,0.52%,1.04%,Central Standard Time,85,36,49,43.43,18.5,6.9,77,618,3.7,0.43,IL-04689,40.0607596,-87.6328294,51%,64%,41%,60%,57%,41.0,42,63,65,20,12.85,8.3,32.88%,31.65%,32.22%,16,89
Bismarck,Illinois,536,724,Danville,125951,$58393,20.83%,45,N/A,N/A,N/A,63,90.49%,$700,45.43%,N/A,N/A,16.1%,9.33%,53.57%,Vermilion County,32.60%,61.90%,2.43%,0.0%,94.59%,2.61%,1.31%,Central Standard Time,85,36,49,42.51,18.5,N/A,82,624,3.7,0.74,IL-06184,40.2594345,-87.6112602,51%,64%,41%,60%,57%,41.0,42,63,65,20,12.18,8.07,35.34%,34.51%,33.67%,16,89
Blount,Illinois,3358,65,Danville,125951,$64257,29.83%,N/A,N/A,N/A,N/A,42,79.70%,N/A,43.90%,N/A,N/A,N/A,5.40%,N/A,Vermilion County,32.60%,61.90%,2.07%,1.71%,N/A,N/A,N/A,Central Standard Time,85,36,49,42.51,18.5,N/A,79,624,3.7,51.66,IL-06678,40.214719,-87.7001794,51%,64%,41%,60%,57%,41.0,42,63,65,20,12.18,8.07,35.34%,34.51%,33.67%,16,89
Butler township,Illinois,971,1618,Danville,125951,$46339,N/A,N/A,N/A,N/A,N/A,78,71.10%,N/A,51.20%,N/A,N/A,N/A,5.40%,N/A,Vermilion County,32.60%,61.90%,N/A,N/A,N/A,8.40%,N/A,Central Standard Time,85,34,51,42.0,25.7,N/A,84,648,3.7,0.6,IL-10162,40.4293255,-87.8473303,54%,65%,46%,61%,58%,47.8,40,62,65,18,12.69,7.4,30.55%,30.22%,30.44%,23,89
Carroll,Illinois,453,12,Danville,125951,$62841,28.22%,N/A,N/A,N/A,N/A,56,82.20%,N/A,43.80%,N/A,N/A,N/A,5.40%,N/A,Vermilion County,32.60%,61.90%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,84,33,51,41.51,18.5,6.9,83,615,3.7,37.75,IL-11449,39.928278,-87.7438737,51%,64%,41%,60%,57%,41.0,42,63,64,18,13.44,7.46,34.11%,31.54%,35.33%,16,87
Catlin,Illinois,1972,2320,Danville,125951,$49861,24.36%,44,N/A,N/A,N/A,55,79.21%,$742,51.95%,51,824,9.66%,2.41%,64.49%,Vermilion County,32.60%,61.90%,0.0%,0.0%,96.81%,2.84%,2.84%,Central Standard Time,85,36,49,43.43,18.5,6.9,81,618,3.7,0.85,IL-11774,40.0675661,-87.7079078,51%,64%,41%,60%,57%,41.0,42,63,65,20,12.85,8.3,36.16%,33.74%,36.22%,16,89
Catlin township,Illinois,1972,2320,Danville,125951,$49861,24.36%,44,N/A,N/A,N/A,55,79.21%,$742,51.95%,51,824,9.66%,2.41%,64.49%,Vermilion County,32.60%,61.90%,0.0%,0.0%,96.81%,2.84%,2.84%,Central Standard Time,85,36,49,43.43,18.5,6.9,81,618,3.7,0.85,IL-11774,40.0675661,-87.7079078,51%,64%,41%,60%,57%,41.0,42,63,65,20,12.85,8.3,36.16%,33.74%,36.22%,16,89
Danville,Illinois,30969,1734,Danville,125951,$37328,17.29%,38,N/A,N/A,N/A,75,58.8%,$680,64.08%,1749,4470,29.58%,6.8%,50.0%,Vermilion County,32.60%,61.90%,1.38%,32.49%,56.5%,7.11%,3.06%,Central Standard Time,85,36,49,43.44,18.5,6.9,68,606,3.7,17.86,IL-18563,40.142551,-87.6111464,51%,64%,41%,60%,57%,41.0,42,63,65,20,13.22,8.1,36.16%,33.74%,36.22%,16,89
Danville township,Illinois,30969,1734,Danville,125951,$37328,17.29%,38,N/A,N/A,N/A,75,58.8%,$680,64.08%,1749,4470,29.58%,6.8%,50.0%,Vermilion County,32.60%,61.90%,1.38%,32.49%,56.5%,7.11%,3.06%,Central Standard Time,85,36,49,43.44,18.5,6.9,69,606,3.7,17.86,IL-18563,40.142551,-87.6111464,51%,64%,41%,60%,57%,41.0,42,63,65,20,13.22,8.1,36.16%,33.74%,36.22%,16,89
