City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Bath township (Greene Cnty),Ohio,40261,1075,Dayton,809248,$43278,N/A,N/A,N/A,N/A,N/A,49,41.10%,N/A,58.60%,N/A,N/A,N/A,4.30%,N/A,Greene County,34.90%,58.50%,3.8%,8.4%,78.8%,3.9%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,129,N/A,8.3,60,757,3.6,37.45,OH-04220,39.8108403,-84.0175969,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23
Beavercreek,Ohio,47343,1780,Dayton,809248,$94632,51.84%,41,$275000,2083,$132,40,77.21%,$1229,40.23%,N/A,N/A,7.23%,2.48%,63.58%,Greene County,34.90%,58.50%,6.13%,2.82%,82.21%,3.37%,7.12%,Eastern Standard Time,N/A,N/A,N/A,N/A,125,N/A,8.3,61,757,3.6,26.59,OH-04720,39.7309696,-84.0623818,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23
Beavercreek township,Ohio,47343,1780,Dayton,809248,$94632,51.84%,41,$275000,2083,$132,40,77.21%,$1229,40.23%,N/A,N/A,7.23%,2.48%,63.58%,Greene County,34.90%,58.50%,6.13%,2.82%,82.21%,3.37%,7.12%,Eastern Standard Time,N/A,N/A,N/A,N/A,124,N/A,8.3,62,757,3.6,26.59,OH-04720,39.7309696,-84.0623818,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23
Bellbrook,Ohio,7277,2318,Dayton,809248,$87104,50.78%,41,$238000,1545,$154,50,78.08%,$984,32.69%,N/A,N/A,3.95%,0.51%,68.57%,Greene County,34.90%,58.50%,4.75%,1.62%,91.88%,1.33%,6.31%,Eastern Standard Time,N/A,N/A,N/A,N/A,118,N/A,8.3,60,757,3.6,3.14,OH-05102,39.638351,-84.086288,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23
Bethel township (Miami Cnty),Ohio,4919,3440,Dayton,809248,$65474,N/A,N/A,$242000,1391,$174,45,80.50%,N/A,37.40%,N/A,N/A,N/A,4.00%,N/A,Miami County,24.70%,69.80%,0.0%,0.0%,96.9%,1.6%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,131,N/A,8.3,67,757,3.6,1.43,OH-06110,39.928062,-84.1012936,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23
Bowersville,Ohio,376,2212,Dayton,809248,$37450,14.23%,39,N/A,N/A,N/A,78,57.45%,$875,43.82%,N/A,N/A,12.77%,0.0%,57.61%,Greene County,34.90%,58.50%,0.0%,1.06%,95.48%,0.0%,0.53%,Eastern Standard Time,N/A,N/A,N/A,N/A,116,N/A,7.6,76,757,3.6,0.17,OH-07930,39.5807868,-83.7233257,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22
Brookville,Ohio,6255,1633,Dayton,809248,$47485,19.59%,46,$168000,1292,$130,49,71.73%,$832,44.42%,N/A,N/A,9.0%,4.07%,51.42%,Montgomery County,47.00%,47.70%,4.56%,0.46%,91.06%,1.07%,3.15%,Eastern Standard Time,N/A,N/A,N/A,N/A,130,N/A,8.3,70,757,3.8,3.83,OH-09358,39.8392856,-84.4175631,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23
Brown township (Miami Cnty),Ohio,1512,50,Dayton,809248,$54706,N/A,N/A,N/A,N/A,N/A,78,72.20%,N/A,41.50%,N/A,N/A,N/A,4.00%,N/A,Miami County,24.70%,69.80%,0.0%,0.0%,97.7%,2.0%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,124,N/A,7.6,75,757,3.6,30.24,OH-09498,40.150861,-84.0831778,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23
Butler township (Montgomery Cnty),Ohio,7840,7193,Dayton,809248,$74170,N/A,N/A,N/A,N/A,N/A,47,82.30%,N/A,36.10%,N/A,N/A,N/A,4.70%,N/A,Montgomery County,47.00%,47.70%,1.0%,2.6%,95.6%,0.2%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,131,N/A,8.3,61,757,3.8,1.09,OH-10618,39.8744491,-84.2399545,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23
Caesarscreek,Ohio,967,35,Dayton,809248,$75521,17.97%,N/A,N/A,N/A,N/A,42,73.00%,N/A,31.00%,N/A,N/A,N/A,4.30%,N/A,Greene County,34.90%,58.50%,0.0%,0.3%,98.1%,1.2%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,117,N/A,8.3,76,757,3.6,27.63,OH-10856,39.5931958,-83.8605119,53%,66%,41%,60%,55%,38.6,41,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22
