City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Alexandria,Alabama,4185,376,Anniston-Oxford-Jacksonville,113469,$85126,18.18%,41,$185000,1568,$118,34,96.34%,$772,43.26%,N/A,N/A,2.44%,1.84%,60.93%,Calhoun County,27.70%,68.70%,0.02%,7.93%,82.99%,0.0%,0.36%,Central Standard Time,90,53,37,52,109,210,1,67,50.9,5,52,630,5.5,11.14,AL-01180
Anniston,Alabama,21518,470,Anniston-Oxford-Jacksonville,113469,$41366,20.94%,41,$149000,1840,$81,55,57.98%,$734,57.2%,N/A,N/A,21.29%,7.96%,52.57%,Calhoun County,27.70%,68.70%,0.83%,52.32%,41.33%,3.81%,1.87%,Central Standard Time,90,53,37,52,114,208,1,67,50.9,5,40,630,5.5,45.83,AL-01852
Choccolocco,Alabama,3246,279,Anniston-Oxford-Jacksonville,113469,$86250,36.48%,39,$283000,1952,$145,22,80.28%,$1183,28.11%,N/A,N/A,2.37%,1.33%,52.84%,Calhoun County,27.70%,68.70%,1.29%,9.4%,88.35%,0.0%,1.63%,Central Standard Time,89,53,36,52,115,210,1,67,50.9,5,56,630,5.5,11.65,AL-14728
Glencoe,Alabama,5125,302,Anniston-Oxford-Jacksonville,113469,$61514,23.05%,45,$224000,1915,$117,35,83.45%,$617,35.92%,N/A,N/A,5.07%,3.29%,49.95%,Etowah County,23.60%,73.30%,0.08%,2.3%,94.22%,0.6%,1.09%,Central Standard Time,90,52,38,52,107,208,0,66.6,50.4,5,51,630,5.2,16.99,AL-29992
Hobson City,Alabama,777,740,Anniston-Oxford-Jacksonville,113469,$50145,12.95%,44,N/A,N/A,N/A,51,72.84%,$477,55.05%,N/A,N/A,21.98%,14.36%,59.49%,Calhoun County,27.70%,68.70%,0.0%,86.49%,6.95%,0.0%,0.0%,Central Standard Time,90,53,37,52,114,210,1,67,50.9,N/A,39,630,5.5,1.05,AL-35152
Jacksonville,Alabama,12796,1173,Anniston-Oxford-Jacksonville,113469,$41530,31.51%,29,$259000,2376,$109,34,52.67%,$634,69.0%,N/A,N/A,26.08%,9.41%,59.43%,Calhoun County,27.70%,68.70%,0.99%,24.83%,69.79%,4.3%,2.33%,Central Standard Time,90,53,37,52,109,209,1,67,50.9,5,51,630,5.5,10.91,AL-38272
Nances Creek,Alabama,380,65,Anniston-Oxford-Jacksonville,113469,$102892,37.4%,49,N/A,N/A,N/A,56,92.63%,N/A,42.29%,N/A,N/A,21.32%,18.1%,75.27%,Calhoun County,27.70%,68.70%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,90,52,38,52,111,210,1,67,50.9,N/A,56,630,5.5,5.81,AL-53232
Ohatchee,Alabama,1358,231,Anniston-Oxford-Jacksonville,113469,$50750,16.63%,43,$38000,1652,$23,31,78.94%,$875,35.66%,N/A,N/A,14.36%,12.2%,52.14%,Calhoun County,27.70%,68.70%,0.0%,2.95%,93.52%,0.96%,0.59%,Central Standard Time,90,53,37,52,109,212,1,67,50.9,5,52,630,5.5,5.88,AL-56472
Oxford,Alabama,21282,669,Anniston-Oxford-Jacksonville,113469,$63156,22.89%,37,$167000,1621,$103,33,71.44%,$807,46.69%,N/A,N/A,9.18%,3.43%,64.01%,Calhoun County,27.70%,68.70%,2.53%,14.31%,72.85%,7.89%,5.97%,Central Standard Time,90,54,36,52,113,213,1,67,50.9,5,47,630,5.5,31.82,AL-57576
Piedmont,Alabama,4549,463,Anniston-Oxford-Jacksonville,113469,$43570,14.82%,46,$175000,1174,$149,58,62.08%,$651,54.57%,N/A,N/A,18.05%,7.39%,50.56%,Calhoun County,27.70%,68.70%,0.26%,13.7%,78.63%,6.07%,0.33%,Central Standard Time,90,52,38,52,113,212,1,67,50.9,5,56,630,5.5,9.82,AL-59640
