City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Beverly,Illinois,785,21,Quincy,115155,$65078,N/A,70,N/A,N/A,N/A,42,64.55%,N/A,12.73%,N/A,N/A,0.0%,0.0%,10.91%,Adams County,23.80%,70.50%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,87,37,50,41.75,103,28.1,N/A,80,594,3.8,1.38,IL-05729,39.7945545,-90.9900191,57%,67%,49%,58%,55%,46.9,44,65,65,18,13.57,6.54,29.18%,31.1%,22.44%,10
Burton township (Adams Cnty),Illinois,908,24,Quincy,115155,$69635,N/A,61,N/A,N/A,N/A,45,100.0%,N/A,34.15%,N/A,N/A,0.0%,0.0%,34.15%,Adams County,23.80%,70.50%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,87,36,51,36.76,103,28.1,N/A,80,702,3.8,0.33,IL-10006,39.90795,-91.2492481,57%,68%,48%,60%,59%,52.3,43,64,67,19,12.85,4.86,29.18%,31.1%,22.44%,10
Camp Point,Illinois,1116,984,Quincy,115155,$52794,13.93%,37,N/A,N/A,N/A,64,82.48%,$563,50.12%,N/A,N/A,5.93%,3.51%,67.38%,Adams County,23.80%,70.50%,0.35%,0.0%,98.34%,0.0%,0.87%,N/A,87,36,51,36.76,96,28.1,N/A,82,702,3.8,1.13,IL-10877,40.0382537,-91.0664582,54%,65%,46%,61%,58%,47.8,40,62,67,19,12.85,4.86,29.18%,31.1%,22.44%,10
Camp Point township,Illinois,1690,45,Quincy,115155,$52794,N/A,37,N/A,N/A,N/A,64,82.48%,$563,50.12%,N/A,N/A,5.93%,3.51%,67.38%,Adams County,23.80%,70.50%,0.35%,0.0%,98.34%,0.0%,0.87%,N/A,87,36,51,36.76,96,28.1,N/A,82,702,3.8,1.13,IL-10877,40.0382537,-91.0664582,54%,65%,46%,61%,58%,47.8,40,62,67,19,12.85,4.86,29.18%,31.1%,22.44%,10
Clayton,Illinois,661,748,Quincy,115155,$44583,9.84%,44,$40000,1600,$25,55,74.19%,$417,52.31%,N/A,N/A,21.37%,0.68%,60.2%,Adams County,23.80%,70.50%,0.0%,0.0%,98.63%,1.03%,0.0%,N/A,87,36,51,36.76,92,28.1,N/A,82,702,3.8,0.88,IL-14767,40.0300946,-90.9580309,54%,65%,46%,61%,58%,47.8,40,62,67,19,12.85,4.86,29.18%,31.1%,22.44%,10
Clayton township (Adams Cnty),Illinois,893,24,Quincy,115155,$44583,N/A,44,$40000,1600,$25,55,74.19%,$417,52.31%,N/A,N/A,21.37%,0.68%,60.2%,Adams County,23.80%,70.50%,0.0%,0.0%,98.63%,1.03%,0.0%,N/A,87,36,51,36.76,92,28.1,N/A,82,702,3.8,0.88,IL-14767,40.0300946,-90.9580309,54%,65%,46%,61%,58%,47.8,40,62,67,19,12.85,4.86,29.18%,31.1%,22.44%,10
Coatsburg,Illinois,179,1356,Quincy,115155,$55714,8.63%,36,N/A,N/A,N/A,56,81.11%,$940,57.05%,N/A,N/A,3.37%,5.93%,79.73%,Adams County,23.80%,70.50%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,87,36,51,36.76,100,28.1,N/A,80,702,3.8,0.13,IL-15261,40.0324558,-91.1603712,54%,65%,46%,61%,58%,47.8,40,62,67,19,12.85,4.86,29.18%,31.1%,22.44%,10
Columbus,Illinois,59,269,Quincy,115155,$63750,28.35%,36,N/A,N/A,N/A,42,77.5%,$813,35.94%,N/A,N/A,6.25%,0.0%,73.44%,Adams County,23.80%,70.50%,0.0%,0.0%,98.75%,0.0%,0.0%,N/A,87,36,51,36.76,97,28.1,N/A,79,702,3.8,0.22,IL-15846,39.9882225,-91.1456348,57%,68%,48%,60%,59%,52.3,43,64,67,19,12.85,4.86,29.18%,31.1%,22.44%,10
Columbus township,Illinois,418,11,Quincy,115155,$63750,N/A,36,N/A,N/A,N/A,42,77.5%,$813,35.94%,N/A,N/A,6.25%,0.0%,73.44%,Adams County,23.80%,70.50%,0.0%,0.0%,98.75%,0.0%,0.0%,N/A,87,36,51,36.76,96,28.1,N/A,80,702,3.8,0.22,IL-15846,39.9882225,-91.1456348,57%,68%,48%,60%,59%,52.3,43,64,67,19,12.85,4.86,29.18%,31.1%,22.44%,10
Concord township (Adams Cnty),Illinois,115,3,Quincy,115155,$18214,N/A,N/A,N/A,N/A,N/A,64,51.20%,N/A,9.60%,N/A,N/A,N/A,3.50%,N/A,Adams County,23.80%,70.50%,N/A,N/A,N/A,N/A,N/A,N/A,87,36,51,36.76,92,28.1,N/A,80,702,3.8,0.25,IL-16015,39.9747143,-90.9724468,54%,65%,46%,61%,58%,47.8,40,62,67,19,12.85,4.86,29.18%,31.1%,22.44%,10
