City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Auburn,Michigan,1934,1831,Bay City,102387,82,29,53,32,124,169,41,57.2,38.5,8,5,18,43,26.31%,$58625,2.4%,N/A,N/A,$118600,N/A,N/A,51,61.30%,5%,23%,8%,80,21 mins,5.50%,0.30%,-11.40%,Bay County,40.60%,53.20%,N/A,N/A,98.44%,3.50%,1.5%,Eastern Standard Time,595,3.3,54.80%,54,N/A,45,16.2%,77.95,4,1,0
Bangor charter township,Michigan,14248,1010,Bay City,102387,82,29,53,32,118,170,41,N/A,N/A,N/A,21,33,43,N/A,$44636,N/A,N/A,N/A,$104800,N/A,N/A,48,67.50%,6%,21%,9%,73,21 mins,5.50%,0.30%,-3.80%,Bay County,40.60%,53.20%,N/A,N/A,N/A,2.10%,N/A,Eastern Standard Time,595,3.3,50.00%,16,N/A,48,N/A,0.00,5,1,0
Bay City,Michigan,33736,3319,Bay City,102387,82,29,53,32,118,170,41,57.4,38.7,9,33,42,37,16.17%,$36179,19.1%,N/A,N/A,$59200,N/A,N/A,74,60.40%,6%,23%,8%,65,19 mins,7.10%,0.30%,-4.30%,Bay County,40.60%,53.20%,N/A,3.25%,91.76%,8.90%,1.8%,Eastern Standard Time,595,3.3,59.80%,51,N/A,59,18.5%,117.87,N/A,1,0
Beaver township (Bay Cnty),Michigan,2822,80,Bay City,102387,82,29,53,32,124,170,41,N/A,N/A,N/A,10,21,40,N/A,$52539,N/A,N/A,N/A,$117100,N/A,N/A,44,87.80%,6%,23%,7%,83,26 mins,5.50%,0.30%,-2.20%,Bay County,40.60%,53.20%,N/A,N/A,N/A,2.50%,N/A,Eastern Standard Time,595,3.3,40.00%,0,N/A,25,N/A,N/A,N/A,1,N/A
Essexville,Michigan,3375,2606,Bay City,102387,82,29,53,32,118,171,41,57.2,38.5,9,12,25,40,23.51%,$52277,13.2%,N/A,N/A,$84200,N/A,N/A,66,84.20%,5%,23%,7%,72,21 mins,5.50%,0.30%,-4.20%,Bay County,40.60%,53.20%,N/A,1.08%,97.41%,4.70%,0.6%,Eastern Standard Time,595,3.3,53.70%,23,N/A,N/A,17.8%,51.77,5,1,0
Frankenlust,Michigan,3525,167,Bay City,102387,82,29,53,32,119,170,41,N/A,N/A,N/A,11,21,45,39.50%,$68375,N/A,N/A,N/A,$135500,N/A,N/A,28,65.80%,6%,23%,7%,80,19 mins,5.50%,0.30%,4.50%,Bay County,40.60%,53.20%,3.91%,1.94%,92.73%,1.40%,N/A,Eastern Standard Time,595,3.3,38.60%,10,N/A,25,N/A,N/A,N/A,1,N/A
Fraser township,Michigan,3116,96,Bay City,102387,82,29,53,32,122,170,41,N/A,N/A,N/A,11,22,54,N/A,$48203,N/A,N/A,N/A,$107400,N/A,N/A,54,94.10%,6%,23%,7%,85,28 mins,5.50%,0.30%,-3.30%,Bay County,40.60%,53.20%,N/A,N/A,N/A,2.00%,N/A,Eastern Standard Time,595,3.3,42.40%,0,N/A,26,N/A,0.00,N/A,1,0
Garfield township (Bay Cnty),Michigan,1890,53,Bay City,102387,82,29,53,32,122,170,41,N/A,N/A,N/A,10,22,38,N/A,$47614,N/A,N/A,N/A,$93200,N/A,N/A,43,88.70%,5%,23%,7%,85,33 mins,5.50%,0.30%,-1.70%,Bay County,40.60%,53.20%,N/A,N/A,N/A,2.80%,N/A,Eastern Standard Time,595,3.3,41.40%,0,N/A,27,N/A,N/A,N/A,1,N/A
Gibson,Michigan,1140,32,Bay City,102387,82,29,53,32,115,170,44,N/A,N/A,N/A,11,23,42,10.75%,$49306,N/A,N/A,N/A,$81500,N/A,N/A,43,74.90%,6%,22%,7%,87,27 mins,5.50%,0.30%,-3.70%,Bay County,40.60%,53.20%,N/A,N/A,96.44%,2.60%,N/A,Eastern Standard Time,595,3.3,41.00%,0,N/A,25,N/A,N/A,N/A,1,N/A
Hampton charter township,Michigan,9484,347,Bay City,102387,82,29,53,32,118,170,41,N/A,N/A,N/A,11,30,47,N/A,$48000,N/A,N/A,N/A,$103200,N/A,N/A,43,57.90%,6%,22%,8%,79,21 mins,5.50%,0.30%,-2.30%,Bay County,40.60%,53.20%,N/A,N/A,N/A,4.90%,N/A,Eastern Standard Time,595,3.3,52.80%,0,N/A,25,N/A,0.00,5,1,0
