City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F)
Buhl,Idaho,4462,2373,Twin Falls,112989,$41926,12.52%,36,$265000,1568,$169,53,70.7%,$664,50.78%,360,1261,14.17%,3.97%,62.26%,Twin Falls County,20.90%,66.40%,0.0%,0.2%,72.93%,26.8%,9.97%,Mountain Standard Time,90,36,54,10,67,18,7.6,74,3734,4.1,1.88,ID-10810,42.5983628,-114.7595364,63%,81%,38%,42%,23%,14.1,33,42,56,20
Castleford,Idaho,181,1810,Twin Falls,112989,$35000,6.48%,30,N/A,N/A,N/A,49,48.07%,$819,46.46%,N/A,N/A,21.55%,7.89%,60.8%,Twin Falls County,20.90%,66.40%,0.0%,0.0%,58.01%,41.99%,13.26%,Mountain Standard Time,90,36,54,10,70,18,7.6,91,3734,4.1,0.1,ID-13240,42.5205687,-114.8718057,63%,81%,38%,42%,23%,14.1,33,42,56,20
Eden,Idaho,374,1206,Twin Falls,112989,$28750,6.39%,31,N/A,N/A,N/A,58,39.84%,$693,54.44%,N/A,N/A,26.34%,13.25%,59.45%,Jerome County,19.70%,68.80%,4.01%,0.0%,57.49%,42.51%,8.29%,Mountain Standard Time,90,36,54,11,75,18,7.6,90,3734,4,0.31,ID-24310,42.6053086,-114.2090868,62%,79%,43%,45%,25%,23.0,29,41,57,19
Filer,Idaho,2845,2789,Twin Falls,112989,$41250,15.37%,35,$203000,1187,$171,42,69.24%,$792,52.11%,N/A,N/A,19.82%,4.17%,53.87%,Twin Falls County,20.90%,66.40%,0.0%,0.53%,86.89%,11.56%,4.53%,Mountain Standard Time,90,37,53,10,74,18,7.6,88,3734,4.1,1.02,ID-27730,42.5678897,-114.6114715,63%,81%,38%,42%,23%,14.1,33,42,59,21
Hansen,Idaho,1327,3791,Twin Falls,112989,$38313,8.42%,35,N/A,N/A,N/A,48,65.41%,$765,36.84%,N/A,N/A,21.26%,0.71%,64.53%,Twin Falls County,20.90%,66.40%,0.3%,0.0%,65.64%,30.14%,7.16%,Mountain Standard Time,90,36,54,11,75,19,7.6,88,3734,4.1,0.35,ID-34930,42.5313651,-114.3011772,62%,79%,43%,45%,25%,23.0,29,41,57,19
Hazelton,Idaho,899,2497,Twin Falls,112989,$38971,7.55%,38,N/A,N/A,N/A,42,69.3%,$522,36.74%,N/A,N/A,19.02%,6.21%,63.02%,Jerome County,19.70%,68.80%,0.0%,0.0%,42.16%,50.28%,29.59%,Mountain Standard Time,90,36,54,11,76,21,7.6,90,3734,4,0.36,ID-36730,42.5952312,-114.1365445,62%,79%,43%,45%,25%,23.0,29,41,57,19
Hollister,Idaho,309,289,Twin Falls,112989,$41250,6.37%,43,$275000,1486,$185,29,67.96%,$889,53.2%,N/A,N/A,18.12%,5.3%,60.89%,Twin Falls County,20.90%,66.40%,0.65%,0.0%,36.57%,62.78%,28.48%,Mountain Standard Time,90,37,53,10,79,18,7.6,95,3734,4.1,1.07,ID-38080,42.352911,-114.5838462,62%,79%,43%,45%,25%,23.0,29,41,59,21
Jerome,Idaho,11824,2089,Twin Falls,112989,$47389,11.07%,30,$310000,1455,$213,44,61.72%,$771,52.85%,352,1317,23.1%,3.82%,69.53%,Jerome County,19.70%,68.80%,1.3%,0.29%,60.39%,36.92%,15.36%,Mountain Standard Time,93,36,57,10,74,18,7.6,74,3734,4,5.66,ID-41320,42.7178763,-114.5159527,62%,79%,43%,45%,25%,23.0,29,41,60,20
Kimberly,Idaho,3977,2104,Twin Falls,112989,$65652,16.81%,33,$470000,2338,$201,42,84.94%,$829,35.26%,123,641,16.17%,1.54%,71.56%,Twin Falls County,20.90%,66.40%,0.0%,0.0%,66.28%,32.59%,8.12%,Mountain Standard Time,90,37,53,11,76,19,7.6,88,3734,4.1,1.89,ID-43570,42.5342995,-114.3699308,62%,79%,43%,45%,25%,23.0,29,41,59,21
Murtaugh,Idaho,97,422,Twin Falls,112989,$59583,7.35%,50,$375000,2500,$150,61,100.0%,N/A,45.65%,N/A,N/A,3.09%,0.0%,69.77%,Twin Falls County,20.90%,66.40%,9.28%,0.0%,78.35%,6.19%,8.25%,Mountain Standard Time,90,36,54,11,77,21,7.6,95,3734,4.1,0.23,ID-55900,42.4918113,-114.1626435,62%,79%,43%,45%,25%,23.0,29,41,57,19
Twin Falls,Idaho,49819,2573,Twin Falls,112989,$50839,23.36%,34,$309000,1392,$222,41,66.93%,$841,44.18%,398,2049,14.34%,2.87%,65.56%,Twin Falls County,20.90%,66.40%,2.88%,1.27%,76.77%,15.1%,10.54%,Mountain Standard Time,90,37,53,10,79,18,7.6,58,3734,4.1,19.36,ID-82810,42.5645239,-114.4613215,62%,79%,43%,45%,25%,23.0,29,41,59,21
