City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Cold Springs,Nevada,10704,1222,Reno,406476,$73829,17.79%,33,$432000,1582,$273,17,89.78%,$1407,37.58%,N/A,N/A,7.93%,4.54%,65.76%,Washoe County,46.40%,45.10%,2.7%,1.73%,66.71%,25.23%,6.31%,Pacific Standard Time,91,44,47,11.32,33.3,6.4,86,4665,5.1,8.76,NV-14090,39.6926434,-119.977299,81%,92%,65%,31%,19%,15.0,29,38,57,22,1.24,5.33,16.16%,8.24%,23.11%,17
Crystal Bay,Nevada,179,398,Reno,406476,$230227,89.94%,70,N/A,N/A,N/A,40,70.95%,N/A,6.15%,N/A,N/A,0.0%,0.0%,30.17%,Washoe County,46.40%,45.10%,0.0%,0.0%,100.0%,0.0%,15.64%,Pacific Standard Time,77,41,36,32.47,160.1,6.4,83,5811,5.1,0.45,NV-16700,39.2315143,-120.001637,81%,92%,65%,31%,19%,15.0,29,38,51,24,0.98,15.49,22.96%,4.29%,35.0%,34
Empire,Nevada,103,20,Reno,406476,$0,0.0%,19,N/A,N/A,N/A,34,0.0%,N/A,87.18%,N/A,N/A,0.0%,0.0%,64.1%,Washoe County,46.40%,45.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,96,42,54,9.06,3.0,6.4,90,3615,5.1,5.13,NV-23700,40.5759168,-119.3430733,81%,92%,65%,31%,19%,15.0,29,38,63,22,1.07,3.47,11.07%,4.84%,15.0%,0
Golden Valley,Nevada,1085,301,Reno,406476,$85341,18.59%,64,N/A,N/A,N/A,39,95.53%,N/A,24.68%,N/A,N/A,14.29%,6.59%,46.22%,Washoe County,46.40%,45.10%,2.12%,0.0%,75.12%,10.51%,2.03%,Pacific Standard Time,91,44,47,10.07,29.3,6.4,75,4665,5.1,3.61,NV-28860,39.6177511,-119.8231232,81%,92%,65%,31%,19%,15.0,29,38,57,22,1.13,4.43,14.08%,6.59%,21.11%,15
Incline Village,Nevada,9160,426,Reno,406476,$117905,58.42%,50,$1495000,1985,$753,41,68.5%,$1523,36.47%,N/A,N/A,6.95%,3.42%,65.53%,Washoe County,46.40%,45.10%,1.45%,0.66%,76.12%,18.53%,12.1%,Pacific Standard Time,77,41,36,52.31,104.4,6.4,81,5811,5.1,21.51,NV-35100,39.2639427,-119.9454569,81%,92%,65%,31%,19%,15.0,29,38,51,24,1.17,26.73,24.88%,6.26%,36.78%,29
Lemmon Valley,Nevada,5183,325,Reno,406476,$71649,13.12%,42,$389000,1263,$308,44,89.52%,$1367,41.07%,N/A,N/A,4.99%,4.08%,68.8%,Washoe County,46.40%,45.10%,0.0%,0.71%,78.95%,18.81%,8.93%,Pacific Standard Time,91,44,47,11.32,29.3,6.4,75,4665,5.1,15.93,NV-41800,39.6878829,-119.8363897,81%,92%,65%,31%,19%,15.0,29,38,57,22,1.24,5.33,16.16%,8.24%,23.11%,15
Mogul,Nevada,1308,902,Reno,406476,$107132,46.61%,55,N/A,N/A,N/A,37,96.25%,N/A,34.79%,N/A,N/A,4.2%,2.25%,65.11%,Washoe County,46.40%,45.10%,0.92%,0.0%,96.25%,2.83%,3.52%,Pacific Standard Time,86,42,44,11.05,33.3,6.4,85,4449,5.1,1.45,NV-48000,39.5163494,-119.9229928,81%,92%,65%,31%,19%,15.0,29,38,54,22,1.1,5.21,22.99%,8.35%,32.89%,17
Nixon,Nevada,325,51,Reno,406476,$53750,8.88%,38,N/A,N/A,N/A,37,68.31%,$509,76.79%,N/A,N/A,30.46%,23.61%,51.43%,Washoe County,46.40%,45.10%,0.0%,4.92%,4.92%,7.69%,0.0%,Pacific Standard Time,89,44,45,9.6,29.3,6.4,91,3921,5.1,6.33,NV-51200,39.8280156,-119.3589525,81%,92%,65%,31%,19%,15.0,29,38,66,30,1.23,3.45,16.16%,8.24%,23.11%,15
Reno,Nevada,250903,2307,Reno,406476,$61860,34.85%,36,$520000,1705,$305,32,49.87%,$1107,55.02%,N/A,N/A,12.62%,5.32%,68.18%,Washoe County,46.40%,45.10%,7.2%,3.18%,60.33%,24.02%,16.36%,Pacific Standard Time,93,45,48,9.23,33.3,6.4,62,4482,5.1,108.77,NV-60600,39.549696,-119.8482529,81%,92%,65%,31%,19%,15.0,29,38,62,26,1.0,4.17,15.21%,7.36%,23.11%,17
Spanish Springs,Nevada,15820,285,Reno,406476,$101456,28.84%,46,$571000,1923,$297,20,84.23%,$1643,34.43%,N/A,N/A,5.95%,3.95%,62.92%,Washoe County,46.40%,45.10%,1.68%,2.21%,82.38%,9.47%,4.43%,Pacific Standard Time,93,45,48,9.73,29.3,6.4,77,4104,5.1,55.55,NV-68350,39.6567636,-119.669461,81%,92%,65%,31%,19%,15.0,29,38,56,21,1.15,4.2,14.08%,6.59%,21.11%,15
Sparks,Nevada,102895,2824,Reno,406476,$67187,23.36%,38,$499000,1815,$275,30,58.89%,$1244,48.42%,N/A,N/A,9.2%,5.82%,67.78%,Washoe County,46.40%,45.10%,5.57%,2.0%,56.41%,32.09%,15.74%,Pacific Standard Time,93,46,47,9.44,29.3,6.4,58,3984,5.1,36.44,NV-68400,39.5736151,-119.7161217,81%,92%,65%,31%,19%,15.0,29,38,56,24,1.16,4.24,14.08%,6.59%,21.11%,15
Sun Valley,Nevada,21179,1448,Reno,406476,$56503,6.9%,34,$390000,1408,$277,32,68.6%,$988,50.35%,N/A,N/A,15.23%,4.97%,64.82%,Washoe County,46.40%,45.10%,1.44%,1.27%,44.37%,47.06%,17.38%,Pacific Standard Time,93,45,48,10.07,29.3,6.4,71,4665,5.1,14.63,NV-71600,39.6103561,-119.7770336,81%,92%,65%,31%,19%,15.0,29,38,62,26,1.13,4.43,14.08%,6.59%,21.11%,15
