City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Arroyo Colorado Estates,Texas,670,620,Brownsville-Harlingen,350069,$52813,4.31%,28,N/A,N/A,N/A,28,91.79%,$878,49.6%,N/A,N/A,10.6%,0.0%,41.04%,Cameron County,64.50%,32.00%,0.0%,0.0%,6.27%,93.73%,22.39%,Central Standard Time,98,72,26,25.06,0.1,N/A,85,30,6.5,1.08,TX-04174,26.1863911,-97.6113719,59%,77%,42%,60%,56%,26.8,64,73,76,49,7.46,3.14,20.47%,18.79%,20.89%,0,118
Arroyo Gardens,Texas,198,50,Brownsville-Harlingen,350069,$65517,0.0%,49,N/A,N/A,N/A,20,100.0%,N/A,43.65%,N/A,N/A,0.0%,0.0%,37.57%,Cameron County,64.50%,32.00%,0.0%,0.0%,0.0%,100.0%,33.84%,Central Standard Time,98,72,26,30.51,0.1,N/A,87,33,6.5,3.94,TX-04176,26.2051756,-97.5021032,59%,77%,42%,60%,56%,26.8,64,73,76,49,11.25,4.55,22.63%,18.68%,25.0%,0,118
Bayview,Texas,662,171,Brownsville-Harlingen,350069,$101818,51.76%,47,$449000,2401,$187,25,95.62%,$1375,31.94%,N/A,N/A,3.21%,15.84%,73.9%,Cameron County,64.50%,32.00%,0.0%,0.0%,44.41%,34.44%,6.5%,Central Standard Time,94,70,24,23.17,0.1,N/A,88,18,6.5,3.88,TX-06140,26.1328861,-97.3973374,59%,77%,42%,60%,56%,26.8,64,73,78,52,6.26,3.32,18.47%,14.84%,20.89%,0,107
Bixby,Texas,604,385,Brownsville-Harlingen,350069,$31620,4.89%,38,N/A,N/A,N/A,43,55.3%,$310,30.54%,N/A,N/A,35.1%,0.0%,35.97%,Cameron County,64.50%,32.00%,0.0%,0.0%,2.48%,97.52%,30.63%,Central Standard Time,97,71,26,27.75,0.1,N/A,83,48,6.5,1.57,TX-08410,26.1399295,-97.8561662,59%,77%,42%,60%,56%,26.8,64,73,77,47,11.31,3.16,20.47%,18.79%,20.89%,0,115
Bluetown,Texas,562,192,Brownsville-Harlingen,350069,$29286,0.0%,33,N/A,N/A,N/A,48,63.88%,$878,47.06%,N/A,N/A,35.23%,3.64%,29.49%,Cameron County,64.50%,32.00%,0.0%,0.0%,5.34%,94.66%,37.37%,Central Standard Time,97,71,26,27.75,0.1,N/A,83,48,6.5,2.93,TX-08908,26.0733988,-97.8198618,59%,77%,42%,60%,56%,26.8,64,73,77,47,11.31,3.16,20.47%,18.79%,20.89%,0,115
Brownsville,Texas,182230,1385,Brownsville-Harlingen,350069,$40924,19.74%,31,$220000,1594,$138,28,62.3%,$754,48.61%,420,2468,27.46%,6.06%,56.74%,Cameron County,64.50%,32.00%,0.62%,0.38%,4.82%,94.11%,28.03%,Central Standard Time,95,70,25,29.36,0.1,N/A,77,30,6.5,131.53,TX-10768,25.997542,-97.4579961,59%,77%,42%,60%,56%,26.8,64,73,77,50,9.9,4.36,22.63%,18.68%,25.0%,0,110
Cameron Park,Texas,5716,10393,Brownsville-Harlingen,350069,$31948,5.26%,28,N/A,N/A,N/A,26,68.75%,$694,46.5%,N/A,N/A,39.63%,8.39%,52.04%,Cameron County,64.50%,32.00%,0.0%,0.0%,0.75%,99.25%,30.84%,Central Standard Time,95,70,25,29.36,0.1,N/A,76,30,6.5,0.55,TX-12045,25.9706027,-97.4774329,59%,77%,42%,60%,56%,26.8,64,73,77,50,9.9,4.36,21.07%,18.57%,21.44%,0,110
Chula Vista (Cameron Cnty),Texas,135,750,Brownsville-Harlingen,350069,$13977,0.0%,48,N/A,N/A,N/A,16,0.0%,N/A,0.0%,N/A,N/A,48.89%,0.0%,52.88%,Cameron County,64.50%,32.00%,0.0%,0.0%,0.0%,100.0%,51.11%,Central Standard Time,94,70,24,30.51,0.1,N/A,90,33,6.5,0.18,TX-14880,26.0738456,-97.4397229,59%,77%,42%,60%,56%,26.8,64,73,78,52,11.25,4.55,22.63%,18.68%,25.0%,0,107
Combes,Texas,3016,943,Brownsville-Harlingen,350069,$40030,10.04%,38,N/A,N/A,N/A,35,74.6%,$727,55.03%,N/A,N/A,18.44%,5.39%,58.39%,Cameron County,64.50%,32.00%,2.45%,1.82%,10.44%,86.87%,19.1%,Central Standard Time,98,71,27,28.08,0.1,N/A,81,39,6.5,3.2,TX-16204,26.2447858,-97.7256769,59%,77%,42%,60%,56%,26.8,64,73,77,50,9.58,3.77,20.47%,18.79%,20.89%,0,118
Del Mar Heights,Texas,163,370,Brownsville-Harlingen,350069,$30513,32.43%,10,N/A,N/A,N/A,39,100.0%,$948,0.0%,N/A,N/A,17.79%,0.0%,32.43%,Cameron County,64.50%,32.00%,0.0%,0.0%,0.0%,100.0%,17.79%,Central Standard Time,94,70,24,30.51,0.1,N/A,90,33,6.5,0.44,TX-19714,26.0566237,-97.4236094,59%,77%,42%,60%,56%,26.8,64,73,78,52,11.25,4.55,22.63%,18.68%,25.0%,0,107
