City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Albion,Michigan,8263,1874,Battle Creek,133580,$25197,18.21%,N/A,$120000,1558,$77,72,46.90%,N/A,68.20%,945,3533,25.5%,5.20%,N/A,Calhoun County,41.00%,53.50%,0.3%,31.4%,55.5%,8.0%,1%,Eastern Standard Time,82,30,52,35,127,43,8.1,75,830,3.2,4.41,MI-01000,42.2004594,-84.7716873,50%,66%,39%,62%,56%,33.6,38,58
Albion township,Michigan,1039,236,Battle Creek,133580,$48125,N/A,N/A,$120000,1558,$77,57,76.80%,N/A,36.80%,945,3533,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.8%,0.6%,95.4%,1.7%,N/A,Eastern Standard Time,82,30,52,36,129,44,8.1,82,830,3.2,4.41,MI-01000,42.2004594,-84.7716873,50%,66%,39%,62%,56%,33.6,38,58
Athens,Michigan,1045,1035,Battle Creek,133580,$54063,8.78%,38,$205000,1847,$111,70,75.5%,$950,57.55%,N/A,N/A,12.18%,1.26%,64.32%,Calhoun County,41.00%,53.50%,0.0%,0.57%,93.68%,0.67%,0.0%,Eastern Standard Time,82,31,51,36,140,53,N/A,81,830,3.2,1.01,MI-03880,42.0865872,-85.2355652,50%,66%,39%,62%,56%,33.6,38,58
Athens township,Michigan,1045,1035,Battle Creek,133580,$54063,8.78%,38,$205000,1847,$111,70,75.5%,$950,57.55%,N/A,N/A,12.18%,1.26%,64.32%,Calhoun County,41.00%,53.50%,0.0%,0.57%,93.68%,0.67%,0.0%,Eastern Standard Time,83,31,52,36,140,53,N/A,81,830,3.2,1.01,MI-03880,42.0865872,-85.2355652,50%,66%,39%,62%,56%,33.6,38,58
Battle Creek,Michigan,51084,1199,Battle Creek,133580,$42285,21.09%,37,$167000,1505,$111,63,66.34%,$770,60.51%,937,3248,22.66%,6.6%,61.3%,Calhoun County,41.00%,53.50%,3.73%,17.34%,64.1%,7.92%,6.6%,Eastern Standard Time,84,32,52,36,135,53,8.1,65,830,3.2,42.59,MI-05920,42.2985419,-85.2296642,50%,66%,39%,62%,56%,33.6,38,58
Bedford charter township,Michigan,9464,325,Battle Creek,133580,$49020,N/A,N/A,N/A,N/A,N/A,54,81.50%,N/A,49.80%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.0%,7.5%,87.2%,2.2%,N/A,Eastern Standard Time,84,32,52,36,139,57,8.1,75,830,3.2,29.12,MI-06720,42.3840899,-85.2407302,50%,66%,39%,62%,56%,33.6,38,58
Brownlee Park,Michigan,1964,972,Battle Creek,133580,$33750,3.43%,37,$130000,1066,$122,61,77.78%,$712,63.8%,N/A,N/A,31.26%,3.12%,54.8%,Calhoun County,41.00%,53.50%,0.0%,10.69%,86.1%,0.81%,0.0%,Eastern Standard Time,84,32,52,36,133,51,8.1,70,830,3.2,2.02,MI-11200,42.3257103,-85.1356584,50%,66%,39%,62%,56%,33.6,38,58
Burlington,Michigan,299,393,Battle Creek,133580,$51250,12.63%,38,$105000,1544,$68,68,73.91%,$725,41.46%,N/A,N/A,16.72%,5.44%,61.0%,Calhoun County,41.00%,53.50%,0.0%,0.0%,95.65%,0.0%,0.0%,Eastern Standard Time,83,31,52,36,132,51,N/A,81,830,3.2,0.76,MI-11800,42.1047004,-85.0776004,50%,66%,39%,62%,56%,33.6,38,58
Burlington township (Calhoun Cnty),Michigan,299,393,Battle Creek,133580,$51250,12.63%,38,$105000,1544,$68,68,73.91%,$725,41.46%,N/A,N/A,16.72%,5.44%,61.0%,Calhoun County,41.00%,53.50%,0.0%,0.0%,95.65%,0.0%,0.0%,Eastern Standard Time,83,31,52,36,133,51,N/A,81,830,3.2,0.76,MI-11800,42.1047004,-85.0776004,50%,66%,39%,62%,56%,33.6,38,58
Clarence,Michigan,1997,61,Battle Creek,133580,$45197,20.93%,N/A,N/A,N/A,N/A,45,66.50%,N/A,41.90%,N/A,N/A,N/A,5.20%,N/A,Calhoun County,41.00%,53.50%,0.3%,0.2%,94.6%,3.1%,N/A,Eastern Standard Time,82,31,51,35,128,44,8.1,82,830,3.2,32.74,MI-15960,42.3779988,-84.7738956,50%,66%,39%,62%,56%,33.6,38,58
