City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Berthoud,Colorado,6018,481,Fort Collins,296362,$86501,32.85%,37,$585000,2427,$241,22,85.14%,$1565,35.77%,N/A,N/A,2.98%,5.03%,71.86%,Larimer County,47.50%,42.60%,0.68%,0.05%,87.85%,8.98%,3.7%,Mountain Standard Time,89,42,47,16.24,81,49.4,8.0,72,4650,4.7,12.93,CO-06255,40.3069248,-105.0796153,69%,71%,70%,43%,36%,41.1,29,47,56,12,4.29,2.27,22.14%,27.58%,16.22%,27
Estes Park,Colorado,6248,905,Fort Collins,296362,$54925,48.73%,62,$825000,2317,$356,30,65.77%,$888,38.9%,156,905,8.18%,5.41%,49.41%,Larimer County,47.50%,42.60%,0.0%,0.0%,88.13%,11.09%,9.33%,Mountain Standard Time,80,36,44,18.02,114,107.4,8.0,92,7143,4.7,6.82,CO-25115,40.3656455,-105.5080185,69%,71%,70%,43%,36%,41.1,29,47,49,16,5.52,2.45,31.26%,40.33%,26.56%,55
Fort Collins,Colorado,159150,2807,Fort Collins,296362,$70528,55.46%,30,$538000,2000,$269,29,57.79%,$1373,59.56%,217,2172,15.91%,5.98%,70.45%,Larimer County,47.50%,42.60%,3.38%,1.52%,78.95%,12.26%,6.86%,Mountain Standard Time,88,43,45,15.79,90,51.8,8.0,61,4575,4.7,57.21,CO-27425,40.547627,-105.065643,64%,67%,60%,45%,39%,41.1,29,47,59,17,4.47,1.83,24.08%,32.53%,16.11%,23
Johnstown,Colorado,14386,1045,Fort Collins,296362,$115069,34.96%,35,$530000,2912,$182,14,90.53%,$1484,33.2%,109,1871,4.95%,5.82%,76.2%,Weld County,34.30%,56.60%,4.94%,0.44%,79.44%,14.31%,6.42%,Mountain Standard Time,89,42,47,14.64,81,58.0,8.0,72,4539,5.2,13.79,CO-39855,40.3459931,-104.9711892,69%,71%,70%,43%,36%,41.1,29,47,56,12,4.16,1.92,22.14%,27.58%,16.22%,23
Laporte,Colorado,2357,385,Fort Collins,296362,$65275,35.19%,47,$890000,2880,$309,46,74.03%,$856,41.07%,N/A,N/A,11.66%,3.54%,63.79%,Larimer County,47.50%,42.60%,1.26%,0.0%,81.51%,13.7%,6.31%,Mountain Standard Time,88,43,45,16.39,81,55.0,8.0,82,4674,4.7,6.12,CO-43220,40.6385058,-105.1443479,64%,67%,60%,45%,39%,41.1,29,47,59,17,4.58,1.82,24.96%,31.98%,16.78%,26
Loveland,Colorado,74125,2165,Fort Collins,296362,$72515,36.74%,40,$500000,2193,$228,29,65.43%,$1330,47.32%,281,1992,7.9%,4.27%,65.36%,Larimer County,47.50%,42.60%,1.05%,0.54%,84.06%,12.11%,3.29%,Mountain Standard Time,89,42,47,15.3,88,58.0,8.0,65,4557,4.7,34.42,CO-46465,40.4165798,-105.0622861,69%,71%,70%,43%,36%,41.1,29,47,56,12,4.31,1.85,22.14%,27.58%,16.22%,23
Red Feather Lakes,Colorado,329,36,Fort Collins,296362,$63894,N/A,66,$310000,1092,$284,56,100.0%,N/A,38.59%,N/A,N/A,2.03%,0.0%,55.66%,Larimer County,47.50%,42.60%,0.0%,0.0%,90.86%,6.43%,0.0%,Mountain Standard Time,78,35,43,17.34,95,78.7,8.0,96,6696,4.7,9.12,CO-63320,40.8071331,-105.5864282,64%,67%,60%,45%,39%,41.1,29,47,48,14,5.2,2.0,35.37%,19.12%,46.33%,28
Timnath,Colorado,2422,408,Fort Collins,296362,$137333,N/A,35,$733000,3187,$230,7,94.78%,$2536,23.33%,39,1969,5.06%,2.2%,70.18%,Larimer County,47.50%,42.60%,3.29%,0.0%,90.87%,4.07%,7.15%,Mountain Standard Time,88,41,47,14.16,90,48.6,8.0,71,4497,4.7,6.57,CO-77510,40.5337764,-104.9623023,64%,67%,60%,45%,39%,41.1,29,47,59,15,4.58,1.09,21.15%,26.26%,13.44%,21
Wellington,Colorado,7941,2317,Fort Collins,296362,$89100,35.34%,32,$435000,2514,$173,15,85.94%,$2114,38.58%,N/A,N/A,10.02%,4.67%,69.58%,Larimer County,47.50%,42.60%,0.38%,1.53%,86.48%,10.53%,3.09%,Mountain Standard Time,88,41,47,13.64,83,48.6,8.0,87,4812,4.7,3.63,CO-83230,40.6999938,-105.0053405,64%,67%,60%,45%,39%,41.1,29,47,59,15,4.73,0.76,22.77%,30.88%,14.67%,21
Windsor,Colorado,23386,951,Fort Collins,296362,$103933,45.02%,41,$610000,2947,$207,16,84.2%,$1397,35.96%,N/A,N/A,3.91%,5.27%,68.92%,Weld County,34.30%,56.60%,1.98%,0.37%,86.67%,8.54%,3.29%,Mountain Standard Time,89,42,47,15.2,85,58.0,8.0,69,4527,5.2,25.63,CO-85485,40.4467431,-104.9540712,69%,71%,70%,43%,36%,41.1,29,47,56,12,4.37,1.81,24.6%,30.55%,18.0%,23
