City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Burket,Indiana,180,2571,Warsaw,109529,$40294,1.34%,54,N/A,N/A,N/A,78,97.78%,N/A,45.22%,N/A,N/A,12.22%,0.0%,73.89%,Kosciusko County,19.50%,73.80%,0.0%,0.0%,95.56%,4.44%,5.0%,N/A,84,33,51,40.07,30.8,N/A,83,777,3.7,0.07,IN-09226,41.1548974,-85.9687308,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.76,7.42,38.99%,36.48%,40.22%,21,86
Clay township (Kosciusko Cnty),Indiana,1621,3002,Warsaw,109529,$58165,N/A,N/A,N/A,N/A,N/A,38,70.60%,N/A,38.20%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,3.80%,N/A,N/A,84,33,51,40.07,30.8,N/A,83,777,3.7,0.54,IN-13114,41.1387179,-85.8531164,60%,75%,47%,61%,55%,36.1,40,60,62,17,12.76,7.42,38.99%,36.48%,40.22%,21,86
Claypool,Indiana,529,2204,Warsaw,109529,$41667,8.13%,35,N/A,N/A,N/A,66,61.25%,$610,57.01%,N/A,N/A,19.47%,8.06%,66.42%,Kosciusko County,19.50%,73.80%,0.95%,0.76%,88.47%,6.24%,1.32%,N/A,84,33,51,40.07,30.8,N/A,83,777,3.7,0.24,IN-13312,41.1305561,-85.8824818,60%,75%,47%,61%,55%,36.1,40,60,62,17,12.76,7.42,38.99%,36.48%,40.22%,21,86
Etna,Indiana,1298,64,Warsaw,109529,$53015,10.38%,N/A,N/A,N/A,N/A,51,85.50%,N/A,41.10%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,4.30%,N/A,N/A,84,33,51,39.86,30.8,N/A,83,744,3.7,20.28,IN-21466,41.2973939,-86.0285269,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.6,7.67,38.99%,36.48%,40.22%,21,86
Etna Green,Indiana,565,1130,Warsaw,109529,$56042,4.44%,37,N/A,N/A,N/A,62,79.02%,$743,57.89%,N/A,N/A,6.42%,5.18%,69.34%,Kosciusko County,19.50%,73.80%,0.0%,0.0%,95.04%,3.36%,0.0%,N/A,84,33,51,39.86,30.8,N/A,83,744,3.7,0.5,IN-21502,41.2755914,-86.0459836,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.6,7.67,38.99%,36.48%,40.22%,21,86
Franklin township (Kosciusko Cnty),Indiana,1215,87,Warsaw,109529,$61125,N/A,N/A,$237000,1549,$153,47,86.90%,N/A,45.00%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,1.10%,N/A,N/A,84,33,51,40.07,30.8,N/A,83,777,3.7,14.04,IN-25486,41.1192371,-86.0262021,60%,75%,47%,61%,56%,41.1,40,60,63,18,12.76,7.42,38.99%,36.48%,40.22%,21,86
Harrison township (Kosciusko Cnty),Indiana,3592,86,Warsaw,109529,$49091,N/A,N/A,N/A,N/A,N/A,40,75.30%,N/A,36.10%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,2.30%,N/A,N/A,84,33,51,40.07,30.8,N/A,81,777,3.7,41.77,IN-31882,41.2154347,-85.9796895,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.76,7.42,38.99%,36.48%,40.22%,21,86
Jackson township (Kosciusko Cnty),Indiana,1415,49,Warsaw,109529,$58942,N/A,N/A,N/A,N/A,N/A,37,78.00%,N/A,31.30%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,1.00%,N/A,N/A,83,33,50,42.04,30.3,8.3,83,696,3.7,28.88,IN-37170,41.0810731,-85.7409722,60%,75%,47%,61%,55%,36.1,40,60,62,17,13.02,7.75,37.62%,33.41%,42.11%,18,85
Jefferson township (Kosciusko Cnty),Indiana,1687,54,Warsaw,109529,$54526,N/A,N/A,N/A,N/A,N/A,28,65.40%,N/A,33.10%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,9.50%,N/A,N/A,84,33,51,40.62,51.2,N/A,82,765,3.7,31.24,IN-38052,41.3964109,-85.9382121,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.51,7.47,41.59%,36.81%,48.56%,38,86
Lake township (Kosciusko Cnty),Indiana,1771,449,Warsaw,109529,$42625,N/A,N/A,$250000,2119,$118,63,58.00%,N/A,46.80%,N/A,N/A,N/A,3.20%,N/A,Kosciusko County,19.50%,73.80%,N/A,N/A,N/A,1.10%,N/A,N/A,83,33,50,42.04,30.3,N/A,82,696,3.7,3.94,IN-40950,41.0723661,-85.8521044,60%,75%,47%,61%,55%,36.1,40,60,62,17,13.02,7.75,37.62%,33.41%,42.11%,18,85
Leesburg,Indiana,774,2977,Warsaw,109529,$88333,10.35%,31,$210000,1489,$141,58,83.85%,$778,41.67%,N/A,N/A,6.38%,1.0%,74.4%,Kosciusko County,19.50%,73.80%,1.94%,0.0%,89.79%,6.07%,4.91%,N/A,84,33,51,39.86,47.3,N/A,83,744,3.7,0.26,IN-42678,41.3306928,-85.848984,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.6,7.67,40.77%,36.15%,45.89%,38,86
Mentone,Indiana,1199,2067,Warsaw,109529,$54000,10.23%,35,$146000,1553,$94,59,69.81%,$726,46.26%,N/A,N/A,7.51%,3.47%,65.23%,Kosciusko County,19.50%,73.80%,0.0%,0.0%,94.83%,4.67%,1.58%,N/A,84,33,51,40.07,30.8,N/A,82,777,3.7,0.58,IN-48402,41.1740538,-86.0382254,60%,75%,47%,61%,56%,41.1,40,60,62,17,12.76,7.42,38.99%,36.48%,40.22%,21,86
