City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents
Epsom,New Hampshire,4652,136,Concord,152622,82,31,51,44,128,199,58,N/A,N/A,7,11,19,45,32.48%,$71852,N/A,N/A,N/A,$257600,N/A,N/A,36,73.60%,6%,24%,10%,80,32 mins,2.10%,1.40%,2.50%,Merrimack County,48.10%,45.00%,0.5%,0.0%,96.4%,0.0%,N/A,N/A,N/A,3.2,41.50%,19,N/A,14,N/A,0.00,N/A,1,47,62,544
Franklin,New Hampshire,8491,310,Concord,152622,81,30,51,46,134,200,62,56.2,35.6,6,18,25,44,17.65%,$42742,8.8%,N/A,N/A,$185700,N/A,N/A,65,56.40%,7%,28%,10%,83,27 mins,2.10%,1.40%,-1.10%,Merrimack County,48.10%,45.00%,0.2%,0.4%,95.1%,3.1%,2.1%,N/A,N/A,3.2,56.60%,70,N/A,35,22.5%,35.30,N/A,1,42,N/A,N/A
Henniker,New Hampshire,4893,111,Concord,152622,81,31,50,45,133,199,67,N/A,N/A,6,11,20,31,45.15%,$65867,0%,N/A,N/A,$259100,N/A,N/A,42,67.40%,8%,30%,12%,85,26 mins,2.10%,1.40%,1.30%,Merrimack County,48.10%,45.00%,0.3%,2.1%,95.1%,1.8%,2.9%,N/A,N/A,3.2,47.90%,46,N/A,47,20.2%,0.00,22,1,39,239,898
Hill,New Hampshire,946,35,Concord,152622,80,29,51,44,130,199,76,N/A,N/A,6,6,5,52,25.84%,$60250,N/A,N/A,N/A,$180300,N/A,N/A,39,67.80%,7%,26%,11%,89,41 mins,2.10%,1.40%,-23.60%,Merrimack County,48.10%,45.00%,0.0%,0.0%,99.4%,0.0%,N/A,N/A,N/A,3.2,37.80%,3,N/A,N/A,N/A,0.00,20,0,39,N/A,N/A
Hooksett,New Hampshire,13987,383,Concord,152622,82,32,50,42,125,199,57,N/A,N/A,7,9,33,40,38.46%,$82725,3.3%,N/A,N/A,$277800,N/A,N/A,33,74.90%,5%,25%,14%,70,25 mins,2.10%,1.40%,4.90%,Merrimack County,48.10%,45.00%,0.8%,0.8%,93.1%,3.2%,4.3%,N/A,N/A,3.2,44.30%,17,N/A,15,22.8%,0.00,25,1,48,82,1113
Hopkinton,New Hampshire,5614,129,Concord,152622,81,30,51,46,133,199,62,N/A,N/A,6,11,15,48,50.78%,$87545,N/A,N/A,N/A,$275200,N/A,N/A,44,80.90%,5%,24%,10%,81,23 mins,2.10%,1.40%,-0.60%,Merrimack County,48.10%,45.00%,0.0%,0.7%,96.9%,0.0%,N/A,N/A,N/A,3.2,35.20%,11,N/A,21,N/A,0.00,21,1,44,17,347
Loudon,New Hampshire,5403,115,Concord,152622,81,30,51,45,134,199,61,N/A,N/A,6,11,23,48,19.66%,$68503,13.8%,N/A,N/A,$256600,N/A,N/A,34,79.80%,3%,23%,12%,81,25 mins,2.10%,1.40%,3.10%,Merrimack County,48.10%,45.00%,0.0%,0.0%,98.0%,0.0%,0%,N/A,N/A,3.2,39.00%,27,N/A,18,16.4%,0.00,25,1,46,70,759
New London,New Hampshire,4525,201,Concord,152622,79,28,51,50,138,199,71,N/A,N/A,6,6,14,44,62.29%,$67500,15.7%,N/A,N/A,$355600,N/A,N/A,40,54.70%,6%,21%,4%,88,22 mins,2.10%,1.40%,2.30%,Merrimack County,48.10%,45.00%,2.4%,1.8%,90.7%,3.9%,7.3%,N/A,N/A,3.2,58.10%,40,N/A,39,25.3%,0.00,18,0,38,N/A,N/A
Newbury,New Hampshire,1892,53,Concord,152622,79,29,50,49,134,199,73,N/A,N/A,6,7,12,54,59.62%,$64107,N/A,N/A,N/A,$322500,N/A,N/A,37,48.70%,9%,27%,10%,88,29 mins,2.10%,1.40%,-7.30%,Merrimack County,48.10%,45.00%,0.8%,0.0%,96.7%,0.7%,N/A,N/A,N/A,3.2,32.00%,15,N/A,3,N/A,0.00,19,1,33,0,668
Northfield,New Hampshire,4820,167,Concord,152622,81,30,51,46,134,199,62,N/A,N/A,6,13,30,41,20.41%,$65368,N/A,N/A,N/A,$226300,N/A,N/A,39,71.20%,11%,28%,13%,79,26 mins,2.10%,1.40%,-0.80%,Merrimack County,48.10%,45.00%,2.6%,1.8%,90.9%,1.2%,N/A,N/A,N/A,3.2,46.40%,47,N/A,N/A,N/A,0.00,22,1,42,141,1356
Pembroke,New Hampshire,7137,313,Concord,152622,82,32,50,42,128,199,58,N/A,N/A,7,12,20,41,27.61%,$67264,N/A,N/A,N/A,$265600,N/A,N/A,41,72.10%,7%,30%,12%,75,33 mins,2.10%,1.40%,-0.50%,Merrimack County,48.10%,45.00%,1.8%,0.3%,92.8%,3.4%,N/A,N/A,N/A,3.2,42.40%,11,N/A,28,N/A,0.00,25,1,49,165,814
Pittsfield,New Hampshire,4091,172,Concord,152622,81,30,51,46,134,199,58,N/A,N/A,6,19,24,39,18.01%,$48672,16.4%,N/A,N/A,$220500,N/A,N/A,45,59.10%,9%,34%,11%,84,37 mins,2.10%,1.40%,-1.20%,Merrimack County,48.10%,45.00%,1.6%,0.0%,95.1%,3.0%,2.7%,N/A,N/A,3.2,48.90%,52,N/A,49,25.5%,0.00,27,1,48,362,507
Salisbury,New Hampshire,1262,32,Concord,152622,80,29,51,48,132,199,73,N/A,N/A,6,7,18,49,28.11%,$67208,N/A,N/A,N/A,$232600,N/A,N/A,38,81.50%,9%,30%,11%,87,32 mins,2.10%,1.40%,0.70%,Merrimack County,48.10%,45.00%,0.5%,0.0%,96.9%,0.2%,N/A,N/A,N/A,3.2,34.10%,20,N/A,28,N/A,0.00,21,1,43,N/A,N/A
South Hooksett,New Hampshire,5927,1109,Concord,152622,82,32,50,42,125,197,57,56.1,35.7,N/A,8,19,37,36.96%,$88850,2.3%,N/A,N/A,$286400,N/A,N/A,36,82.60%,7%,27%,10%,68,22 mins,2.10%,1.40%,9.30%,Merrimack County,48.10%,45.00%,0.2%,0.7%,92.5%,5.9%,6.2%,N/A,N/A,3.2,47.00%,28,N/A,29,19.9%,0.00,26,1,47,N/A,N/A
Suncook,New Hampshire,5272,1416,Concord,152622,82,32,50,42,128,195,58,56.1,35.7,7,10,23,39,20.67%,$43780,10.8%,N/A,N/A,$216700,N/A,N/A,57,61.70%,6%,26%,13%,76,31 mins,2.10%,1.40%,-9.20%,Merrimack County,48.10%,45.00%,2.5%,0.6%,93.0%,1.7%,8.1%,N/A,N/A,3.2,47.10%,53,N/A,30,19.7%,51.35,25,1,48,N/A,N/A
Sutton,New Hampshire,1932,46,Concord,152622,79,29,50,48,135,199,71,N/A,N/A,N/A,7,18,45,45.91%,$68295,N/A,N/A,N/A,$254900,N/A,N/A,38,65.90%,7%,22%,10%,88,27 mins,2.10%,1.40%,19.40%,Merrimack County,48.10%,45.00%,0.8%,0.8%,95.2%,1.1%,N/A,N/A,N/A,3.2,36.60%,3,N/A,N/A,N/A,0.00,18,1,37,N/A,N/A
Warner,New Hampshire,2887,52,Concord,152622,80,30,50,49,134,199,68,N/A,N/A,6,9,14,46,34.97%,$73348,0%,N/A,N/A,$242300,N/A,N/A,39,53.50%,6%,28%,10%,85,32 mins,2.10%,1.40%,0.80%,Merrimack County,48.10%,45.00%,0.0%,1.1%,96.3%,1.4%,2.7%,N/A,N/A,3.2,46.00%,4,N/A,10,23.1%,0.00,22,1,42,33,1151
Webster,New Hampshire,1872,67,Concord,152622,81,30,51,45,134,199,62,N/A,N/A,6,5,21,45,29.52%,$66042,N/A,N/A,N/A,$248600,N/A,N/A,39,80.10%,6%,26%,9%,85,32 mins,2.10%,1.40%,1.10%,Merrimack County,48.10%,45.00%,0.0%,0.0%,96.1%,0.4%,N/A,N/A,N/A,3.2,39.40%,5,N/A,N/A,N/A,0.00,23,1,44,152,1223
Wilmot,New Hampshire,1477,50,Concord,152622,79,28,51,47,133,199,71,N/A,N/A,6,7,18,51,57.61%,$66125,N/A,N/A,N/A,$263400,N/A,N/A,39,68.60%,5%,21%,11%,89,30 mins,2.10%,1.40%,18.10%,Merrimack County,48.10%,45.00%,1.3%,0.9%,96.7%,0.1%,N/A,N/A,N/A,3.2,38.10%,3,N/A,7,N/A,0.00,18,0,41,N/A,N/A
