City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Accord,New York,555,163,Kingston,223315,$100107,30.0%,51,$953000,2914,$327,40,72.23%,$786,23.94%,N/A,N/A,3.6%,5.07%,75.11%,Ulster County,52.30%,41.30%,6.31%,3.78%,89.55%,0.18%,0.18%,Eastern Standard Time,83,34,49,53.81,51.4,7.9,87,1140,3.6,3.4,NY-00155,41.7971446,-74.2319527,50%,58%,45%,57%,55%,22.7,37,58,65,20,15.72,12.54,36.9%,40.44%,36.0%,20
Clintondale,New York,1768,276,Kingston,223315,$52446,37.47%,42,$310000,1606,$193,48,67.8%,$978,37.65%,N/A,N/A,3.17%,0.0%,57.77%,Ulster County,52.30%,41.30%,4.47%,1.7%,80.26%,9.84%,12.95%,Eastern Standard Time,84,35,49,53.81,51.4,7.9,77,231,3.6,6.41,NY-16452,41.6924216,-74.0428741,50%,58%,45%,59%,60%,20.9,41,61,64,19,15.72,12.54,36.9%,40.44%,36.0%,20
Cragsmoor,New York,442,101,Kingston,223315,$101699,52.34%,30,N/A,N/A,N/A,76,100.0%,N/A,63.07%,N/A,N/A,5.43%,0.0%,82.39%,Ulster County,52.30%,41.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,80,33,47,53.96,51.4,7.0,86,492,3.6,4.36,NY-18762,41.6654843,-74.3911679,50%,62%,42%,53%,51%,25.9,41,61,59,14,16.17,12.1,38.66%,43.63%,35.78%,20
Denning,New York,535,5,Kingston,223315,$71000,40.42%,N/A,N/A,N/A,N/A,46,32.00%,N/A,35.60%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,N/A,N/A,N/A,4.30%,N/A,Eastern Standard Time,80,31,49,61.72,51.4,7.9,94,969,3.6,107.0,NY-20247,41.9522365,-74.4871495,50%,58%,45%,57%,55%,22.7,37,58,58,14,17.78,13.7,36.22%,39.45%,34.22%,20
East Kingston,New York,422,630,Kingston,223315,$31919,16.76%,48,N/A,N/A,N/A,78,35.55%,$1138,86.81%,N/A,N/A,30.33%,27.96%,76.65%,Ulster County,52.30%,41.30%,0.0%,29.62%,44.31%,12.32%,9.24%,Eastern Standard Time,84,35,49,48.31,51.4,7.9,64,111,3.6,0.67,NY-22370,41.9523992,-73.9703324,50%,58%,45%,57%,55%,22.7,37,58,64,19,14.57,11.18,36.9%,40.44%,36.0%,20
Ellenville,New York,4024,463,Kingston,223315,$44974,18.57%,36,$289000,1680,$172,67,55.89%,$885,55.59%,N/A,N/A,24.53%,0.75%,55.2%,Ulster County,52.30%,41.30%,4.45%,10.91%,46.67%,34.49%,14.36%,Eastern Standard Time,83,34,49,53.96,51.4,7.9,83,492,3.6,8.69,NY-23965,41.700852,-74.3609417,50%,58%,45%,53%,51%,25.9,41,61,65,20,16.17,12.1,36.9%,40.44%,36.0%,20
Esopus,New York,8886,238,Kingston,223315,$66995,30.67%,N/A,$330000,1441,$229,52,66.40%,N/A,52.40%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,N/A,1.22%,N/A,5.70%,N/A,Eastern Standard Time,84,35,49,48.31,51.4,7.9,73,111,3.6,37.34,NY-24691,41.842592,-73.9936371,50%,58%,45%,57%,55%,22.7,37,58,64,19,14.57,11.18,36.9%,40.44%,36.0%,20
Gardiner,New York,1275,330,Kingston,223315,$90381,26.22%,36,$571000,1586,$360,55,34.59%,$1110,54.34%,N/A,N/A,3.22%,5.02%,78.35%,Ulster County,52.30%,41.30%,0.0%,0.0%,42.67%,0.0%,0.0%,Eastern Standard Time,83,34,49,53.81,51.4,7.9,82,1140,3.6,3.86,NY-28244,41.679518,-74.147896,50%,58%,45%,59%,60%,20.9,41,61,65,20,15.72,12.54,36.9%,40.44%,36.0%,20
Glasco,New York,2141,1322,Kingston,223315,$39908,20.23%,42,$270000,1492,$181,26,52.2%,$1225,63.79%,N/A,N/A,17.66%,3.04%,67.52%,Ulster County,52.30%,41.30%,0.0%,0.51%,81.36%,15.27%,6.91%,Eastern Standard Time,78,31,47,64.9,51.4,7.9,68,1926,3.6,1.62,NY-29014,42.0454844,-73.9476459,50%,58%,45%,57%,55%,22.7,37,58,54,12,22.49,13.42,37.64%,39.23%,40.22%,20
Hardenburgh,New York,233,3,Kingston,223315,$37500,N/A,N/A,N/A,N/A,N/A,45,21.70%,N/A,36.50%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,3.56%,N/A,N/A,N/A,N/A,Eastern Standard Time,80,31,49,61.72,51.4,7.9,94,969,3.6,77.67,NY-32116,42.0470869,-74.6087258,50%,58%,45%,57%,55%,22.7,37,58,58,14,17.78,13.7,36.22%,39.45%,34.22%,20
High Falls,New York,415,246,Kingston,223315,$51600,34.58%,50,$380000,1407,$270,67,82.44%,N/A,48.36%,N/A,N/A,13.66%,25.29%,71.51%,Ulster County,52.30%,41.30%,3.86%,0.48%,93.25%,2.41%,3.86%,Eastern Standard Time,83,34,49,48.31,51.4,7.9,81,111,3.6,1.69,NY-34451,41.8254992,-74.120252,50%,58%,45%,57%,55%,22.7,37,58,65,20,14.57,11.18,36.9%,40.44%,36.0%,20
Highland,New York,6019,1115,Kingston,223315,$77083,44.17%,42,$368000,1728,$213,40,59.56%,$1460,55.97%,N/A,N/A,8.03%,3.14%,64.54%,Ulster County,52.30%,41.30%,1.84%,6.41%,76.26%,11.4%,6.03%,Eastern Standard Time,84,35,49,47.13,51.4,7.9,68,231,3.6,5.4,NY-34484,41.7208038,-73.9624379,50%,58%,45%,59%,60%,20.9,41,61,64,19,14.21,10.47,36.36%,41.76%,34.0%,20
Hillside,New York,742,905,Kingston,223315,$109432,55.85%,56,$405000,1784,$227,53,94.74%,$1284,46.31%,N/A,N/A,2.56%,8.39%,66.61%,Ulster County,52.30%,41.30%,0.0%,1.75%,88.54%,7.01%,4.72%,Eastern Standard Time,83,34,49,48.31,51.4,7.9,73,111,3.6,0.82,NY-34786,41.9176559,-74.0336672,50%,58%,45%,57%,55%,22.7,37,58,65,20,14.57,11.18,36.9%,40.44%,36.0%,20
Hurley,New York,3529,643,Kingston,223315,$87000,40.16%,47,$249000,1102,$226,62,93.52%,$1362,39.84%,N/A,N/A,3.5%,2.16%,61.27%,Ulster County,52.30%,41.30%,0.68%,6.26%,84.02%,7.54%,4.59%,Eastern Standard Time,83,34,49,48.31,51.4,7.9,82,111,3.6,5.49,NY-37132,41.9122785,-74.0590642,50%,58%,45%,57%,55%,22.7,37,58,65,20,14.57,11.18,36.9%,40.44%,36.0%,20
Kerhonkson,New York,2200,386,Kingston,223315,$65872,23.15%,31,$385000,1944,$198,64,58.59%,$808,56.69%,N/A,N/A,14.32%,9.25%,67.45%,Ulster County,52.30%,41.30%,0.0%,0.68%,71.0%,7.64%,15.5%,Eastern Standard Time,83,34,49,53.81,51.4,7.9,87,1140,3.6,5.7,NY-39397,41.7777065,-74.2954149,50%,58%,45%,57%,55%,22.7,37,58,65,20,15.72,12.54,36.9%,40.44%,36.0%,20
Kingston,New York,23419,3131,Kingston,223315,$41719,26.82%,N/A,$328000,1426,$230,78,40.30%,$1284,59.40%,N/A,N/A,13.5%,3.70%,N/A,Ulster County,52.30%,41.30%,3.11%,15.63%,N/A,14.10%,12.4%,Eastern Standard Time,83,34,49,48.31,51.4,7.9,45,111,3.6,7.48,NY-39738,41.9847128,-74.0463663,50%,58%,45%,57%,55%,22.7,37,58,65,20,14.57,11.18,36.9%,40.44%,36.0%,20
Kingston town,New York,1055,141,Kingston,223315,$52266,N/A,N/A,$328000,1426,$230,40,75.90%,N/A,44.60%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,N/A,N/A,N/A,4.60%,N/A,Eastern Standard Time,83,34,49,48.31,51.4,7.9,79,111,3.6,7.48,NY-39738,41.9847128,-74.0463663,50%,58%,45%,57%,55%,22.7,37,58,65,20,14.57,11.18,36.9%,40.44%,36.0%,20
Lake Katrine,New York,2536,1112,Kingston,223315,$46372,22.76%,56,$265000,943,$281,51,58.71%,$1035,68.2%,N/A,N/A,7.44%,6.03%,39.19%,Ulster County,52.30%,41.30%,0.79%,3.9%,77.17%,11.2%,6.94%,Eastern Standard Time,83,34,49,48.31,51.4,7.9,70,111,3.6,2.28,NY-40585,41.9862245,-73.9892808,50%,58%,45%,57%,55%,22.7,37,58,65,20,14.57,11.18,36.9%,40.44%,36.0%,20
Lloyd,New York,10571,338,Kingston,223315,$64597,33.17%,N/A,$374000,1764,$212,43,59.10%,N/A,50.00%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,1.06%,5.76%,N/A,13.30%,N/A,Eastern Standard Time,84,35,49,47.13,51.4,7.9,72,231,3.6,31.28,NY-42994,41.7286439,-73.9961247,50%,58%,45%,59%,60%,20.9,41,61,64,19,14.21,10.47,36.9%,40.44%,36.0%,20
Malden-on-Hudson,New York,345,690,Kingston,223315,$49345,32.5%,81,N/A,N/A,N/A,78,64.93%,N/A,6.56%,N/A,N/A,0.0%,0.0%,34.38%,Ulster County,52.30%,41.30%,0.0%,0.0%,67.83%,26.96%,73.62%,Eastern Standard Time,78,31,47,64.9,51.4,7.9,85,1926,3.6,0.5,NY-44677,42.0932269,-73.9364748,50%,58%,45%,57%,55%,22.7,37,58,54,12,22.49,13.42,37.64%,39.23%,40.22%,20
Marbletown,New York,5543,102,Kingston,223315,$64838,45.66%,N/A,$683000,1951,$350,52,62.50%,N/A,45.30%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,4.53%,5.88%,N/A,4.00%,N/A,Eastern Standard Time,83,34,49,48.31,51.4,7.9,84,111,3.6,54.34,NY-45458,41.869912,-74.1627997,50%,58%,45%,57%,55%,22.7,37,58,65,20,14.57,11.18,36.9%,40.44%,36.0%,20
Marlboro,New York,3720,745,Kingston,223315,$84297,37.66%,48,$550000,2227,$247,47,71.29%,$1020,48.16%,N/A,N/A,8.28%,1.75%,57.72%,Ulster County,52.30%,41.30%,0.32%,2.42%,82.1%,8.95%,4.01%,Eastern Standard Time,86,37,49,46.72,51.4,7.8,72,156,3.6,4.99,NY-45700,41.6046874,-73.9773126,58%,63%,57%,59%,60%,20.9,41,61,63,19,13.83,9.92,36.36%,41.76%,34.0%,20
Marlborough,New York,8727,357,Kingston,223315,$63940,30.52%,N/A,$360000,1739,$207,45,63.50%,N/A,45.80%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,1.30%,2.98%,N/A,5.90%,N/A,Eastern Standard Time,86,37,49,46.72,51.4,7.8,73,156,3.6,24.45,NY-45722,41.6337355,-73.9903745,58%,63%,57%,59%,60%,20.9,41,61,63,19,13.83,9.92,36.36%,41.76%,34.0%,20
Milton (Ulster Cnty),New York,1447,605,Kingston,223315,$80294,29.6%,48,$334000,1637,$204,42,65.12%,$1839,42.15%,N/A,N/A,0.7%,2.59%,74.28%,Ulster County,52.30%,41.30%,0.0%,2.14%,91.15%,6.63%,1.94%,Eastern Standard Time,86,37,49,47.13,51.4,7.8,70,219,3.6,2.39,NY-47554,41.657066,-73.9661306,58%,63%,57%,59%,60%,20.9,41,61,63,19,14.21,10.47,36.36%,41.76%,34.0%,20
Napanoch,New York,1045,726,Kingston,223315,$67384,18.14%,48,$309000,1424,$217,57,91.77%,N/A,46.26%,N/A,N/A,1.63%,0.0%,57.16%,Ulster County,52.30%,41.30%,0.86%,0.0%,78.56%,16.17%,5.84%,Eastern Standard Time,83,34,49,53.81,51.4,7.9,87,1140,3.6,1.44,NY-49418,41.7528887,-74.3723788,50%,58%,45%,57%,55%,22.7,37,58,65,20,15.72,12.54,36.9%,40.44%,36.0%,20
New Paltz,New York,7169,4073,Kingston,223315,$46528,69.31%,22,$442000,1700,$260,47,30.76%,$1313,85.1%,N/A,N/A,31.07%,11.7%,49.61%,Ulster County,52.30%,41.30%,6.26%,6.61%,74.18%,13.14%,8.58%,Eastern Standard Time,83,34,49,53.81,51.4,7.9,74,1140,3.6,1.76,NY-50551,41.7494767,-74.0809123,50%,58%,45%,59%,60%,20.9,41,61,65,20,15.72,12.54,36.9%,40.44%,36.0%,20
Olive,New York,4333,74,Kingston,223315,$58594,40.88%,N/A,$576000,2043,$282,48,58.70%,N/A,46.60%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,3.49%,N/A,N/A,5.50%,N/A,Eastern Standard Time,83,34,49,61.72,51.4,7.9,90,969,3.6,58.55,NY-54749,41.9469524,-74.2631016,50%,58%,45%,57%,55%,22.7,37,58,65,20,17.78,13.7,36.9%,40.44%,36.0%,20
Phoenicia,New York,353,767,Kingston,223315,$55552,35.29%,61,$365000,961,$380,78,72.52%,$1154,37.11%,N/A,N/A,9.35%,5.37%,58.07%,Ulster County,52.30%,41.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,78,31,47,61.72,51.4,7.9,93,969,3.6,0.46,NY-57650,42.0824523,-74.3097975,50%,58%,45%,57%,55%,22.7,37,58,54,12,17.78,13.7,36.9%,40.44%,36.0%,20
Pine Hill,New York,274,132,Kingston,223315,$46964,54.66%,57,$168000,1018,$165,67,94.89%,N/A,43.41%,N/A,N/A,13.87%,2.8%,55.43%,Ulster County,52.30%,41.30%,35.77%,0.0%,58.76%,2.19%,25.55%,Eastern Standard Time,78,31,47,61.72,51.4,7.9,94,969,3.6,2.08,NY-58057,42.1377365,-74.4809398,50%,58%,45%,57%,55%,22.7,37,58,54,12,17.78,13.7,50.63%,47.03%,59.78%,20
Plattekill,New York,1409,509,Kingston,223315,$64375,20.8%,33,$313000,2204,$142,33,49.89%,$1529,41.71%,N/A,N/A,13.27%,1.22%,80.49%,Ulster County,52.30%,41.30%,0.0%,6.81%,40.38%,46.56%,2.98%,Eastern Standard Time,86,37,49,46.72,51.4,7.8,77,156,3.6,2.77,NY-58541,41.6208592,-74.0609385,58%,63%,57%,59%,60%,20.9,41,61,63,19,13.83,9.92,36.36%,41.76%,34.0%,20
Port Ewen,New York,3334,1595,Kingston,223315,$62368,22.59%,49,$330000,1441,$229,40,75.08%,$1136,56.78%,N/A,N/A,8.64%,1.1%,59.09%,Ulster County,52.30%,41.30%,0.0%,0.39%,80.26%,6.72%,4.56%,Eastern Standard Time,84,35,49,48.31,51.4,7.9,67,111,3.6,2.09,NY-59311,41.9042313,-73.977775,50%,58%,45%,57%,55%,22.7,37,58,64,19,14.57,11.18,36.9%,40.44%,36.0%,20
Rochester town,New York,7254,203,Kingston,223315,$66935,N/A,N/A,$300000,1695,$177,39,51.50%,N/A,50.90%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,N/A,N/A,N/A,4.80%,N/A,Eastern Standard Time,83,34,49,53.81,51.4,7.9,87,1140,3.6,35.77,NY-63011,41.8122694,-74.2797608,50%,58%,45%,57%,55%,22.7,37,58,65,20,15.72,12.54,36.9%,40.44%,36.0%,20
Rosendale,New York,1092,560,Kingston,223315,$53182,25.15%,49,$263000,1271,$207,53,68.58%,$980,52.54%,N/A,N/A,7.6%,2.59%,68.62%,Ulster County,52.30%,41.30%,2.47%,2.56%,85.26%,4.03%,4.95%,Eastern Standard Time,83,34,49,48.31,51.4,7.9,80,111,3.6,1.95,NY-63725,41.850582,-74.0737073,50%,58%,45%,57%,55%,22.7,37,58,65,20,14.57,11.18,36.9%,40.44%,36.0%,20
Rosendale Hamlet,New York,1212,638,Kingston,223315,$60486,25.32%,N/A,$214000,1176,$182,64,52.60%,N/A,56.80%,N/A,N/A,7.6%,3.70%,N/A,Ulster County,52.30%,41.30%,2.18%,3.63%,N/A,1.60%,4%,Eastern Standard Time,N/A,N/A,N/A,N/A,N/A,N/A,79,N/A,3.6,1.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saugerties,New York,3827,2150,Kingston,223315,$48185,25.82%,44,$378000,1651,$229,56,64.73%,$958,59.71%,N/A,N/A,7.32%,4.17%,57.91%,Ulster County,52.30%,41.30%,0.47%,0.76%,82.73%,7.58%,5.7%,Eastern Standard Time,78,31,47,64.9,51.4,7.9,74,1926,3.6,1.78,NY-65288,42.0750335,-73.9483909,50%,58%,45%,57%,55%,22.7,37,58,54,12,22.49,13.42,37.64%,39.23%,40.22%,20
Saugerties South,New York,2104,1966,Kingston,223315,$64167,29.85%,50,$246000,1323,$186,57,63.54%,$1157,52.76%,N/A,N/A,7.7%,3.6%,62.55%,Ulster County,52.30%,41.30%,0.0%,4.13%,86.36%,1.85%,3.9%,Eastern Standard Time,78,31,47,64.9,51.4,7.9,68,1926,3.6,1.07,NY-65310,42.060663,-73.9522532,50%,58%,45%,57%,55%,22.7,37,58,54,12,22.49,13.42,37.64%,39.23%,40.22%,20
Shandaken,New York,2847,24,Kingston,223315,$52762,30.27%,N/A,$285000,1223,$233,62,37.20%,N/A,50.80%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,N/A,N/A,N/A,4.70%,N/A,Eastern Standard Time,78,31,47,61.72,51.4,7.9,93,969,3.6,118.63,NY-66597,42.0689959,-74.3896083,50%,58%,45%,57%,55%,22.7,37,58,54,12,17.78,13.7,36.9%,40.44%,36.0%,20
Shawangunk,New York,14095,251,Kingston,223315,$86531,23.12%,N/A,$400000,1942,$206,45,67.20%,N/A,40.10%,N/A,N/A,N/A,3.70%,N/A,Ulster County,52.30%,41.30%,1.99%,8.89%,N/A,13.30%,N/A,Eastern Standard Time,84,36,48,42.08,51.4,7.9,80,333,3.6,56.16,NY-66674,41.6335133,-74.265408,50%,58%,45%,53%,51%,25.9,41,61,62,19,13.52,8.46,38.66%,43.63%,35.78%,20
Shokan,New York,1355,348,Kingston,223315,$63241,27.24%,42,$375000,1359,$276,48,90.48%,N/A,46.82%,N/A,N/A,9.23%,11.7%,60.05%,Ulster County,52.30%,41.30%,2.66%,0.0%,93.06%,0.0%,7.16%,Eastern Standard Time,83,34,49,61.72,51.4,7.9,90,969,3.6,3.89,NY-67081,41.980914,-74.2129616,50%,58%,45%,57%,55%,22.7,37,58,65,20,17.78,13.7,36.9%,40.44%,36.0%,20
Stone Ridge,New York,2528,425,Kingston,223315,$59821,46.78%,38,$430000,2108,$204,38,72.64%,$1649,58.12%,N/A,N/A,10.76%,5.85%,69.19%,Ulster County,52.30%,41.30%,14.0%,12.03%,71.2%,2.77%,12.34%,Eastern Standard Time,83,34,49,53.81,51.4,7.9,84,1140,3.6,5.95,NY-71597,41.8435626,-74.1518268,50%,58%,45%,57%,55%,22.7,37,58,65,20,15.72,12.54,36.9%,40.44%,36.0%,20
Tillson,New York,1838,782,Kingston,223315,$93750,33.11%,52,$425000,1864,$228,55,89.61%,$1322,36.47%,N/A,N/A,3.05%,1.44%,79.35%,Ulster County,52.30%,41.30%,1.09%,5.44%,65.02%,4.79%,27.86%,Eastern Standard Time,83,34,49,48.31,51.4,7.9,80,111,3.6,2.35,NY-73902,41.8315618,-74.0695544,50%,58%,45%,57%,55%,22.7,37,58,65,20,14.57,11.18,36.9%,40.44%,36.0%,20
