City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Allenspark,Colorado,826,69,Boulder,328713,$125048,57.74%,51,$425000,1471,$289,70,80.26%,$1318,48.55%,N/A,N/A,5.45%,1.1%,71.84%,Boulder County,70.30%,22.00%,0.61%,0.24%,88.38%,5.33%,6.05%,Mountain Standard Time,68,28,40,43,11,43%,36%,29,47,66,69%,71%,70%,22.82,6.23,3.53,31.23%,24.95%,36.33%,184.6,70,8.0,41.1,93,7731,5.8,11.94,CO-01420,40.1885813,-105.5187397
Altona,Colorado,532,315,Boulder,328713,$250001,71.27%,53,$1000000,2183,$458,42,100.0%,$3501,45.67%,N/A,N/A,4.51%,4.8%,70.4%,Boulder County,70.30%,22.00%,0.0%,0.0%,89.85%,5.08%,5.64%,Mountain Standard Time,89,46,43,57,20,43%,36%,29,47,88,69%,71%,70%,21.13,5.88,2.96,23.48%,28.02%,17.78%,184.6,70,8.0,41.1,86,6441,5.8,1.69,CO-01740,40.1253782,-105.2923716
Bonanza Mountain Estates,Colorado,132,776,Boulder,328713,N/A,48.48%,58,$819000,1959,$418,51,100.0%,N/A,47.73%,N/A,N/A,0.0%,0.0%,91.67%,Boulder County,70.30%,22.00%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,68,28,40,43,11,43%,36%,29,47,66,69%,71%,70%,22.88,5.99,4.02,45.53%,42.2%,53.67%,95.6,26,8.0,41.1,92,7623,5.8,0.17,CO-07580,39.9768903,-105.4795771
Boulder,Colorado,106274,4036,Boulder,328713,$85364,76.85%,29,$988000,1767,$559,42,50.2%,$1924,69.07%,256,3026,21.8%,6.06%,63.93%,Boulder County,70.30%,22.00%,5.77%,1.07%,77.67%,11.21%,10.23%,Mountain Standard Time,89,46,43,57,20,43%,36%,29,47,88,69%,71%,70%,19.69,4.3,2.73,26.82%,34.51%,20.67%,89.3,32,8.0,41.1,74,4917,5.8,26.33,CO-07850,40.0248074,-105.2524179
Eldora,Colorado,440,106,Boulder,328713,N/A,48.7%,33,N/A,N/A,N/A,82,0.0%,N/A,91.14%,N/A,N/A,56.36%,0.0%,83.64%,Boulder County,70.30%,22.00%,0.0%,0.0%,78.64%,21.36%,0.0%,Mountain Standard Time,68,28,40,43,11,43%,36%,29,47,66,69%,71%,70%,30.84,5.07,8.45,36.66%,23.63%,44.56%,206.3,70,8.0,41.1,92,8871,5.8,4.16,CO-23575,39.9536023,-105.578031
Eldorado Springs,Colorado,355,138,Boulder,328713,$127742,90.4%,45,N/A,N/A,N/A,55,94.67%,N/A,56.98%,N/A,N/A,8.17%,3.79%,63.36%,Boulder County,70.30%,22.00%,0.0%,0.0%,98.03%,0.0%,4.23%,Mountain Standard Time,89,46,43,57,20,43%,36%,29,47,88,69%,71%,70%,20.86,4.85,2.9,24.85%,31.21%,19.33%,97.1,32,8.0,41.1,82,5046,5.8,2.58,CO-23630,39.9367201,-105.2624928
Erie,Colorado,31927,1617,Boulder,328713,$163644,66.45%,38,$695000,3145,$221,13,85.46%,$2775,32.92%,105,901,3.02%,3.61%,76.32%,Weld County,34.30%,56.60%,6.48%,0.13%,78.1%,10.35%,8.51%,Mountain Standard Time,88,44,44,60,16,43%,36%,29,47,87,69%,71%,70%,16.19,4.35,2.05,23.48%,27.47%,18.22%,67.5,28,8.0,41.1,66,4674,5.8,19.74,CO-24950,40.0402845,-105.0399105
Glendale CDP,Colorado,71,57,Boulder,328713,$194375,100.0%,40,N/A,N/A,N/A,27,39.45%,N/A,0.0%,945,17697,0.0%,0.0%,85.37%,Boulder County,70.30%,22.00%,0.0%,0.0%,42.25%,46.48%,0.0%,Mountain Standard Time,89,46,43,57,20,43%,36%,29,47,88,69%,71%,70%,21.13,5.88,2.96,38.41%,44.29%,35.78%,184.6,70,8.0,41.1,86,6441,5.8,1.25,CO-30350,40.0869111,-105.371546
Gold Hill,Colorado,288,138,Boulder,328713,N/A,84.17%,43,N/A,N/A,N/A,82,49.74%,$1603,51.67%,N/A,N/A,18.4%,0.0%,91.67%,Boulder County,70.30%,22.00%,0.0%,0.0%,98.96%,0.0%,10.07%,Mountain Standard Time,68,28,40,43,11,43%,36%,29,47,66,69%,71%,70%,21.13,5.88,2.96,38.41%,44.29%,35.78%,184.6,70,8.0,41.1,86,6441,5.8,2.08,CO-30945,40.0597332,-105.4189204
Gunbarrel,Colorado,10424,1668,Boulder,328713,$111506,69.9%,42,$455000,1034,$440,41,63.45%,$1924,52.3%,N/A,N/A,9.41%,5.58%,70.56%,Boulder County,70.30%,22.00%,3.84%,0.22%,84.03%,4.09%,8.05%,Mountain Standard Time,89,46,43,57,20,43%,36%,29,47,88,69%,71%,70%,16.71,4.1,2.25,23.48%,28.02%,17.78%,67.5,28,8.0,41.1,74,4821,5.8,6.25,CO-33502,40.0632345,-105.171285
