City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Alder,Washington,133,41,Seattle-Tacoma-Bellevue,3556610,77,45,32,52,172,139,6,51.5,43,N/A,8,25,29,N/A,$66450,0%,N/A,N/A,$396200,N/A,N/A,17,70.30%,9%,49%,26%,89,31 mins,5.60%,1.80%,-54.00%,Pierce County,47.90%,40.80%,10.56%,N/A,43.48%,N/A,6.7%,Pacific Standard Time,125,2.6,24.60%,0,N/A,N/A,19.7%,0.00,0,0,1445
Alderton,Washington,3303,622,Seattle-Tacoma-Bellevue,3556610,77,45,32,44,163,139,5,51.5,43,N/A,11,40,41,20.20%,$63125,7.9%,$1832,1050,$381900,N/A,N/A,34,76.90%,9%,51%,25%,54,34 mins,5.60%,1.80%,15.10%,Pierce County,47.90%,40.80%,1.76%,N/A,90.21%,10.90%,6.1%,Pacific Standard Time,125,2.6,38.90%,24,N/A,47,17.5%,0.00,0,0,957
Alderwood Manor,Washington,8817,4433,Seattle-Tacoma-Bellevue,3556610,75,45,30,40,168,162,4,51.7,42.7,4,12,42,37,32.48%,$67917,0.1%,$1508,815,$652000,1868,$349,34,64.10%,9%,55%,31%,31,30 mins,3.30%,2.60%,11.60%,Snohomish County,52.20%,36.20%,15.94%,6.28%,67.41%,6.70%,27.6%,Pacific Standard Time,125,2.7,43.90%,65,41,58,22.2%,0.00,0,0,1305
Algona,Washington,3171,2408,Seattle-Tacoma-Bellevue,3556610,76,44,32,46,165,151,5,52.2,43.5,4,7,31,32,15.05%,$57098,2.5%,$1782,959,$375000,1409,$266,33,75.00%,5%,55%,21%,31,31 mins,3.10%,2.60%,10.30%,King County,69.80%,21.00%,15.82%,7.13%,55.81%,19.20%,23.1%,Pacific Standard Time,125,2.6,53.00%,52,N/A,66,22.4%,6.64,0,0,1014
Ames Lake,Washington,1526,954,Seattle-Tacoma-Bellevue,3556610,77,45,32,50,174,153,6,52.2,43.5,4,9,28,42,48.38%,$108988,6.9%,N/A,N/A,$1200000,2580,$465,25,91.10%,5%,54%,34%,66,29 mins,3.10%,2.60%,10.30%,King County,69.80%,21.00%,4.63%,N/A,91.77%,3.60%,12.9%,Pacific Standard Time,125,2.6,39.00%,0,0,10,24.5%,0.00,0,0,981
Anderson Island,Washington,1292,166,Seattle-Tacoma-Bellevue,3556610,76,45,31,48,154,139,5,51.4,43,4,8,25,63,N/A,$45694,3.9%,N/A,N/A,$27500,99,$276,26,58.50%,9%,49%,25%,75,31 mins,5.60%,1.80%,42.50%,Pierce County,47.90%,40.80%,2.54%,1.69%,91.62%,2.80%,5.6%,Pacific Standard Time,125,2.6,32.60%,3,N/A,25,19.2%,23.47,0,0,621
Arlington,Washington,18884,1927,Seattle-Tacoma-Bellevue,3556610,75,45,30,42,174,160,5,51.5,42.2,4,12,69,38,19.01%,$61131,3.9%,$1811,920,$500000,1724,$290,23,59.90%,9%,50%,27%,55,29 mins,3.30%,2.60%,11.70%,Snohomish County,52.20%,36.20%,4.13%,1.50%,85.80%,8.70%,7.5%,Pacific Standard Time,125,2.7,44.10%,26,N/A,38,20.7%,21.94,0,0,612
Arlington Heights,Washington,2826,336,Seattle-Tacoma-Bellevue,3556610,75,45,30,42,174,162,5,51.7,42.7,N/A,8,25,41,N/A,$72893,1.4%,$1811,920,$660000,1907,$346,25,89.70%,8%,53%,32%,81,31 mins,3.30%,2.60%,35.70%,Snohomish County,52.20%,36.20%,N/A,N/A,95.02%,N/A,0.9%,Pacific Standard Time,125,2.7,39.10%,0,N/A,25,20.1%,0.00,0,0,586
Artondale,Washington,12937,966,Seattle-Tacoma-Bellevue,3556610,76,46,30,45,152,142,2,51.9,43.7,4,10,33,44,46.27%,$87850,4.1%,$1743,982,$725000,2416,$300,30,80.70%,9%,51%,27%,65,27 mins,5.60%,1.80%,14.00%,Pierce County,47.90%,40.80%,2.07%,N/A,89.82%,4.40%,5.2%,Pacific Standard Time,125,2.6,36.00%,5,N/A,5,19.1%,0.00,0,0,803
Ashford,Washington,162,80,Seattle-Tacoma-Bellevue,3556610,76,41,35,64,173,139,57,46.5,37.3,N/A,9,30,60,N/A,$37275,N/A,N/A,N/A,$149600,N/A,N/A,29,64.70%,9%,51%,26%,89,31 mins,5.60%,1.80%,-9.00%,Pierce County,47.90%,40.80%,N/A,N/A,100.00%,N/A,0%,Pacific Standard Time,125,2.6,64.80%,31,N/A,20,N/A,30.30,0,2,1503
