City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Ambridge,Pennsylvania,6959,4670,Pittsburgh,2366544,$46367,23.93%,40,$146000,1678,$87,N/A,51.24%,$795,64.55%,N/A,N/A,12.24%,5.84%,67.11%,Beaver County,38.50%,57.00%,0.3%,12.24%,78.47%,3.56%,1.71%,Eastern Standard Time,84,36,48,65,21,57%,54%,39,58,86,42%,52%,29%,39.86,12.22,8.64,43.29%,38.35%,53.67%,44.4,37,7.8,34.4,54,648,3.7,1.49,PA-02288,40.5921233,-80.2264966
Amwell,Pennsylvania,3706,83,Pittsburgh,2366544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Washington County,35.50%,60.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,38,46,61,19,57%,54%,39,58,86,42%,52%,29%,44.29,13.0,10.11,42.9%,40.55%,49.33%,12.4,11,7.8,34.4,69,861,3.6,44.65,PA-02384,40.0754868,-80.1934538
Apollo,Pennsylvania,1300,4194,Pittsburgh,2366544,$44464,12.39%,45,$223000,1253,$178,N/A,65.4%,$581,62.96%,N/A,N/A,8.88%,7.97%,65.36%,Armstrong County,22.50%,73.70%,2.23%,3.69%,84.62%,5.69%,1.31%,Eastern Standard Time,83,36,47,61,20,57%,54%,39,58,85,42%,52%,29%,48.65,15.26,10.47,49.12%,46.92%,56.11%,25.0,22,7.8,34.4,47,1014,3.6,0.31,PA-02720,40.5848397,-79.5647555
Applewold,Pennsylvania,363,7260,Pittsburgh,2366544,$46250,35.06%,42,N/A,N/A,N/A,74,59.17%,$739,61.39%,N/A,N/A,12.95%,4.49%,59.14%,Armstrong County,22.50%,73.70%,0.28%,0.0%,95.59%,1.65%,0.28%,Eastern Standard Time,85,36,49,60,18,57%,54%,39,58,87,42%,52%,29%,49.11,15.67,10.02,48.88%,44.29%,55.89%,25.0,22,7.8,34.4,74,852,3.6,0.05,PA-02752,40.8082265,-79.5220294
Arnold,Pennsylvania,4796,6570,Pittsburgh,2366544,$35688,17.21%,42,$97000,1702,$57,70,44.0%,$807,66.67%,N/A,N/A,25.91%,8.37%,59.64%,Westmoreland County,32.50%,63.50%,0.0%,25.77%,68.49%,3.02%,4.07%,Eastern Standard Time,84,37,47,64,21,57%,54%,39,58,86,42%,52%,29%,46.11,13.77,10.46,44.33%,39.56%,54.56%,25.0,22,7.8,34.4,53,696,3.5,0.73,PA-03088,40.5788364,-79.7655423
Arnold City,Pennsylvania,325,677,Pittsburgh,2366544,N/A,0.0%,50,$97000,1702,$57,65,73.89%,N/A,59.11%,N/A,N/A,58.46%,15.7%,44.98%,Fayette County,33.20%,63.90%,0.0%,19.69%,66.15%,0.0%,0.0%,Eastern Standard Time,84,39,45,63,20,57%,54%,39,58,86,42%,52%,29%,43.46,13.65,8.73,40.66%,37.91%,47.44%,30.5,14,7.8,34.4,60,696,3.6,0.48,PA-03096,40.1173136,-79.822597
Arona,Pennsylvania,229,440,Pittsburgh,2366544,$69583,20.43%,53,N/A,N/A,N/A,N/A,90.03%,$729,57.69%,N/A,N/A,4.8%,2.38%,80.77%,Westmoreland County,32.50%,63.50%,0.0%,0.0%,96.07%,1.31%,0.44%,Eastern Standard Time,86,38,48,64,22,57%,54%,39,58,89,42%,52%,29%,48.56,15.06,10.34,42.41%,42.09%,47.89%,25.0,22,7.8,34.4,66,939,3.5,0.52,PA-03120,40.2682454,-79.6578281
Aspinwall,Pennsylvania,2901,8289,Pittsburgh,2366544,$102765,76.19%,36,$266000,1520,$175,N/A,64.24%,$1133,46.13%,N/A,N/A,1.14%,4.7%,76.0%,Allegheny County,55.90%,39.50%,12.75%,3.96%,82.25%,0.97%,15.31%,Eastern Standard Time,84,36,48,63,19,57%,54%,39,58,86,42%,52%,29%,47.89,14.48,10.46,44.3%,43.52%,45.78%,25.0,22,7.8,34.4,39,684,3.4,0.35,PA-03320,40.4928488,-79.9037359
Atlasburg,Pennsylvania,595,888,Pittsburgh,2366544,$80694,32.13%,40,N/A,N/A,N/A,58,100.0%,N/A,66.46%,N/A,N/A,9.24%,0.0%,78.74%,Washington County,35.50%,60.00%,0.0%,0.0%,85.38%,0.0%,0.0%,Eastern Standard Time,83,37,46,64,21,57%,54%,39,58,85,42%,52%,29%,40.84,11.95,9.33,43.29%,38.35%,53.67%,44.4,37,7.8,34.4,68,1101,3.6,0.67,PA-03472,40.343541,-80.380339
Atwood,Pennsylvania,150,72,Pittsburgh,2366544,$61094,7.53%,39,N/A,N/A,N/A,40,72.88%,N/A,45.95%,N/A,N/A,24.0%,6.76%,66.67%,Armstrong County,22.50%,73.70%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,82,34,48,58,17,57%,54%,39,58,83,42%,52%,29%,47.42,14.08,10.83,48.88%,44.29%,55.89%,25.0,22,7.8,34.4,76,927,3.6,2.09,PA-03480,40.7500564,-79.2601259
