City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Antietam,Maryland,99,647,Hagerstown-Martinsburg,122370,$91923,N/A,63,N/A,N/A,N/A,25,100.0%,N/A,35.56%,N/A,N/A,0.0%,0.0%,28.89%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,87,42,45,44.86,115,32.6,7.2,72,366,3.9,0.15,MD-01750,39.4150817,-77.7364839,55%,61%,52%,53%,53%,26.6,43,63,63,22,12.33,9.28,33.84%,35.6%,31.67%,13
Bagtown,Maryland,276,505,Hagerstown-Martinsburg,122370,$107083,N/A,48,N/A,N/A,N/A,46,75.5%,$1163,22.87%,N/A,N/A,7.67%,10.05%,63.72%,Washington County,32.00%,62.10%,0.0%,0.0%,97.75%,0.0%,0.0%,Eastern Standard Time,85,39,46,44.98,119,35.0,7.2,70,612,3.9,0.55,MD-03514,39.5829818,-77.6138853,55%,61%,52%,53%,53%,26.6,43,63,63,22,11.8,9.84,34.08%,36.15%,31.78%,10
Beaver Creek,Maryland,359,551,Hagerstown-Martinsburg,122370,$192171,N/A,37,$600000,4380,$137,20,93.88%,N/A,41.0%,N/A,N/A,7.42%,4.27%,54.55%,Washington County,32.00%,62.10%,4.45%,15.21%,75.14%,5.19%,15.96%,Eastern Standard Time,87,40,47,44.98,119,35.0,7.2,70,486,3.9,1.15,MD-05250,39.5815453,-77.6513386,55%,61%,52%,53%,53%,26.6,43,63,67,23,11.8,9.84,34.08%,36.15%,31.78%,10
Big Pool,Maryland,47,435,Hagerstown-Martinsburg,122370,$0,N/A,55,N/A,N/A,N/A,62,67.06%,N/A,10.53%,N/A,N/A,0.0%,0.0%,100.0%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,88,42,46,43.89,115,25.4,7.2,74,447,3.9,0.11,MD-07375,39.6250938,-78.0161681,55%,61%,52%,53%,53%,30.2,41,62,64,23,12.46,9.15,37.42%,39.01%,35.67%,9
Big Spring,Maryland,104,748,Hagerstown-Martinsburg,122370,$76458,N/A,52,N/A,N/A,N/A,78,100.0%,N/A,100.0%,N/A,N/A,0.0%,33.33%,100.0%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,88,42,46,43.89,116,25.4,7.2,74,447,3.9,0.14,MD-07400,39.6259019,-77.9396325,55%,61%,52%,53%,53%,30.2,41,62,64,23,12.46,9.15,37.42%,39.01%,35.67%,9
Boonsboro,Maryland,3472,1135,Hagerstown-Martinsburg,122370,$82201,31.71%,40,$405000,2341,$173,39,73.5%,$1307,42.4%,27,444,11.58%,7.51%,71.47%,Washington County,32.00%,62.10%,0.0%,4.12%,86.84%,3.45%,0.47%,Eastern Standard Time,87,42,45,47.02,115,35.0,7.2,72,714,3.9,3.05,MD-08625,39.5079055,-77.6585842,55%,61%,52%,53%,53%,26.6,43,63,63,22,12.5,9.75,34.08%,36.15%,31.78%,10
Breathedsville,Maryland,149,401,Hagerstown-Martinsburg,122370,$62969,N/A,33,N/A,N/A,N/A,34,32.03%,N/A,61.59%,N/A,N/A,67.97%,0.0%,43.9%,Washington County,32.00%,62.10%,0.0%,67.97%,32.03%,0.0%,0.0%,Eastern Standard Time,87,40,47,44.98,115,35.0,7.2,66,486,3.9,0.37,MD-09400,39.5460095,-77.7245479,55%,61%,52%,53%,53%,26.6,43,63,67,23,11.8,9.84,37.42%,39.01%,35.67%,10
Cavetown,Maryland,1149,603,Hagerstown-Martinsburg,122370,$88535,19.12%,56,N/A,N/A,N/A,52,87.86%,$1219,23.79%,N/A,N/A,2.19%,1.75%,48.87%,Washington County,32.00%,62.10%,0.82%,2.17%,93.12%,2.17%,0.82%,Eastern Standard Time,85,39,46,44.98,116,35.0,7.2,73,612,3.9,1.9,MD-14225,39.6426573,-77.5932,55%,61%,52%,53%,53%,26.6,43,63,63,22,11.8,9.84,34.08%,36.15%,31.78%,10
Cearfoss,Maryland,139,692,Hagerstown-Martinsburg,122370,$2499,N/A,24,N/A,N/A,N/A,55,47.83%,N/A,58.26%,N/A,N/A,52.17%,0.0%,25.22%,Washington County,32.00%,62.10%,52.17%,0.0%,47.83%,0.0%,52.17%,Eastern Standard Time,88,41,47,35.87,119,25.4,7.2,69,639,3.9,0.2,MD-14300,39.6991328,-77.7763398,55%,61%,52%,53%,53%,30.2,41,62,68,25,10.21,7.3,34.08%,36.15%,31.78%,9
Charlton,Maryland,268,1644,Hagerstown-Martinsburg,122370,$133250,N/A,48,N/A,N/A,N/A,25,100.0%,N/A,45.0%,N/A,N/A,0.0%,0.0%,69.74%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,88,41,47,42.36,116,25.4,7.2,65,330,3.9,0.16,MD-15500,39.634401,-77.8943637,55%,61%,52%,53%,53%,30.2,41,62,68,25,11.72,8.78,37.42%,39.01%,35.67%,9
