City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Springfield township (Allen Cnty),Indiana,4504,128,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,32,53,62,18,61%,55%,40,60,88,60%,75%,47%,38.89,11.63,7.31,38.44%,36.15%,42.33%,35.3,28,7.6,36.1,80,648,3.6,35.19,IN-72116,41.2260585,-84.9037253
St. Joseph,Indiana,74854,2109,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,32,53,62,18,61%,55%,40,60,88,60%,75%,47%,40.67,11.84,8.03,38.44%,36.15%,42.33%,33.8,32,7.6,36.1,70,723,3.6,35.49,IN-66924,41.1364182,-85.0603139
Thorncreek,Indiana,4181,119,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Whitley County,21.40%,72.10%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,39.28,12.55,7.38,31.18%,31.65%,30.67%,47.3,38,N/A,36.1,81,762,3.4,35.13,IN-75590,41.2216903,-85.4817535
Tri-Lakes,Indiana,1070,313,Fort Wayne,415887,$113214,42.38%,50,$270000,2328,$116,35,100.0%,N/A,33.83%,N/A,N/A,5.23%,0.0%,63.03%,Whitley County,21.40%,72.10%,0.0%,0.0%,91.21%,0.0%,0.0%,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,38.75,10.75,7.45,38.11%,33.96%,41.89%,47.3,38,N/A,36.1,82,855,3.4,3.42,IN-76526,41.2507171,-85.4433202
Union township (Wells Cnty),Indiana,2401,1062,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wells County,19.50%,75.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,33,50,63,18,61%,55%,40,60,85,60%,75%,47%,42.38,13.19,7.69,37.78%,33.63%,41.56%,24.6,18,8.3,36.1,80,786,3.3,2.26,IN-77714,40.8736836,-85.2793558
Union township (Whitley Cnty),Indiana,2513,1112,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Whitley County,21.40%,72.10%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,40.97,12.88,7.82,31.18%,31.65%,30.67%,33.8,32,8.3,36.1,80,771,3.4,2.26,IN-77750,41.1340841,-85.3950917
Uniondale,Indiana,234,1114,Fort Wayne,415887,$73750,12.5%,41,N/A,N/A,N/A,82,78.55%,$1050,56.22%,N/A,N/A,8.55%,5.88%,67.66%,Wells County,19.50%,75.30%,0.0%,0.85%,96.15%,1.28%,1.71%,Eastern Standard Time,83,33,50,63,18,61%,55%,40,60,85,60%,75%,47%,42.38,13.19,7.69,37.78%,33.63%,41.56%,24.6,18,8.3,36.1,80,786,3.3,0.21,IN-77786,40.8300004,-85.2407533
Vera Cruz,Indiana,29,290,Fort Wayne,415887,$44583,5.56%,45,N/A,N/A,N/A,68,82.09%,$1188,64.29%,N/A,N/A,3.45%,0.0%,66.67%,Wells County,19.50%,75.30%,0.0%,0.0%,96.55%,0.0%,0.0%,Eastern Standard Time,84,33,51,64,18,61%,55%,40,60,86,60%,75%,47%,43.27,13.25,8.44,33.56%,32.53%,33.22%,27.0,12,8.3,36.1,82,756,3.3,0.1,IN-78776,40.7015386,-85.0795271
Washington township (Allen Cnty),Indiana,37448,5648,Fort Wayne,415887,N/A,N/A,N/A,$170000,1683,$101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,34,51,64,19,61%,55%,40,60,88,60%,75%,47%,40.14,12.66,7.77,38.44%,36.15%,42.33%,33.8,32,7.6,36.1,66,744,3.6,6.63,IN-80342,41.1364835,-85.1750038
Washington township (Whitley Cnty),Indiana,963,145,Fort Wayne,415887,N/A,N/A,N/A,$170000,1683,$101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Whitley County,21.40%,72.10%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,40.97,12.88,7.82,31.18%,31.65%,30.67%,25.4,14,8.3,36.1,80,771,3.4,6.63,IN-81152,41.046785,-85.5098774
Wayne township (Allen Cnty),Indiana,106939,2538,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,34,51,64,19,61%,55%,40,60,88,60%,75%,47%,40.71,12.56,7.76,37.59%,33.74%,42.44%,33.8,32,7.6,36.1,63,723,3.6,42.14,IN-81620,41.0506958,-85.164404
Woodburn,Indiana,1292,1346,Fort Wayne,415887,$60511,15.14%,33,$248000,1494,$166,44,88.42%,$943,51.75%,N/A,N/A,9.54%,3.51%,69.7%,Allen County,37.30%,56.50%,0.39%,0.39%,88.47%,3.1%,0.7%,Eastern Standard Time,85,32,53,62,18,61%,55%,40,60,88,60%,75%,47%,38.89,11.63,7.31,40.05%,37.03%,42.89%,24.6,19,7.6,36.1,77,648,3.6,0.96,IN-85184,41.1250011,-84.8527205
Zanesville,Indiana,573,690,Fort Wayne,415887,$62045,23.92%,45,$215000,1706,$126,48,82.72%,$1035,55.99%,N/A,N/A,14.56%,1.04%,59.96%,Wells County,19.50%,75.30%,0.0%,0.0%,98.25%,0.35%,0.35%,Eastern Standard Time,85,34,51,64,19,61%,55%,40,60,88,60%,75%,47%,40.71,12.56,7.76,37.59%,33.74%,42.44%,33.8,32,8.3,36.1,80,723,3.3,0.83,IN-86318,40.9154652,-85.2806793
