City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Larkfield-Wikiup,California,8080,1522,Santa Rosa,489819,84,58,26,37,78,258,0,51.1,45.8,N/A,20,34,39,28.93%,$82628,4.37%,$2005,837,$1175000,2521,$466,36,61.08%,5%,50%,60%,68,22 mins,3.06%,1.70%,6.30%,Sonoma County,68.80%,22.00%,2.2%,0.14%,60.59%,32.43%,11.29%,Pacific Standard Time,167,4.9,51.90%,32,N/A,N/A,19.9%,0.00,0,0,38243,N/A,N/A,CA-40426,5.31,66.41%
Monte Rio,California,1023,536,Santa Rosa,489819,82,56,26,45,74,256,0,51.1,45.8,8,27,53,57,33.02%,$41844,8.31%,$996,N/A,$518000,1199,$432,72,68.82%,6%,63%,61%,83,25 mins,13.42%,1.70%,-2.00%,Sonoma County,68.80%,22.00%,4.11%,0.0%,88.47%,4.79%,3.52%,Pacific Standard Time,167,4.9,75.20%,32,N/A,N/A,28.7%,17.08,0,0,37313,N/A,N/A,CA-48928,1.91,63.67%
Occidental,California,876,176,Santa Rosa,489819,80,57,23,45,76,262,0,51.1,45.8,5,16,31,63,63.95%,$66512,7.53%,N/A,N/A,N/A,N/A,N/A,64,71.35%,4%,51%,65%,82,25 mins,0.0%,1.70%,-27.00%,Sonoma County,68.80%,22.00%,0.0%,1.03%,87.21%,9.82%,7.19%,Pacific Standard Time,167,4.9,33.50%,41,N/A,11,19.7%,14.59,0,0,12927,N/A,N/A,CA-53266,4.97,63.71%
Penngrove,California,2368,588,Santa Rosa,489819,84,57,27,30,75,260,0,51.1,45.8,5,17,35,56,42.64%,$83289,6.3%,$1790,N/A,$1405000,2559,$549,45,73.4%,7%,52%,58%,72,26 mins,4.53%,1.70%,-2.10%,Sonoma County,68.80%,22.00%,7.39%,0.0%,62.04%,26.18%,9.5%,Pacific Standard Time,167,4.9,36.00%,47,N/A,30,24.8%,14.40,0,0,1534,N/A,N/A,CA-56476,4.03,60.32%
Petaluma,California,60865,4221,Santa Rosa,489819,84,57,27,30,75,260,0,51.1,45.8,6,25,28,43,40.48%,$92762,6.61%,$2027,943,$860000,1696,$507,38,65.27%,4%,47%,57%,71,30 mins,4.15%,1.70%,6.20%,Sonoma County,68.80%,22.00%,4.35%,1.27%,67.72%,21.75%,15.23%,Pacific Standard Time,167,4.9,45.70%,47,30,56,21.3%,9.93,0,0,1605,304,1263,CA-56784,14.42,64.92%
Rohnert Park,California,42559,5838,Santa Rosa,489819,83,58,25,32,75,255,0,51.1,45.8,5,30,29,35,29.9%,$77831,10.16%,$1823,841,$725000,1864,$389,37,52.56%,3%,46%,65%,67,26 mins,3.23%,1.70%,4.40%,Sonoma County,68.80%,22.00%,6.8%,2.15%,59.09%,27.14%,14.49%,Pacific Standard Time,167,4.9,57.90%,42,N/A,56,21.9%,13.87,0,0,3198,605,1781,CA-62546,7.29,70.81%
Roseland,California,5717,6082,Santa Rosa,489819,83,58,25,37,78,265,0,51.1,45.8,5,20,34,N/A,N/A,$53364,N/A,$1908,871,$577000,1220,$473,50,N/A,5%,50%,60%,54,25 mins,3.00%,1.70%,-11.40%,Sonoma County,68.80%,22.00%,5.8%,2.6%,30.1%,54.3%,N/A,Pacific Standard Time,167,4.9,52.20%,30,30,40,N/A,0.00,0,0,35597,N/A,N/A,CA-62868,0.94,N/A
Salmon Creek,California,20,18,Santa Rosa,489819,71,57,14,40,78,260,0,51.1,45.8,8,21,43,N/A,100.0%,$34783,0.0%,N/A,N/A,N/A,N/A,N/A,62,100.0%,5%,48%,60%,87,25 mins,0.0%,1.70%,-41.00%,Sonoma County,68.80%,22.00%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,167,4.9,63.30%,8,N/A,N/A,N/A,0.00,0,0,678,N/A,N/A,CA-64252,1.11,0.0%
Santa Rosa,California,178391,4194,Santa Rosa,489819,84,58,26,38,76,256,0,51.1,45.8,5,17,31,40,33.76%,$80472,9.99%,$1728,834,$685000,1526,$449,39,54.42%,4%,47%,61%,59,22 mins,5.24%,1.70%,7.10%,Sonoma County,68.80%,22.00%,6.03%,2.53%,54.29%,32.68%,20.91%,Pacific Standard Time,167,4.9,54.10%,44,27,51,22.1%,25.13,0,0,37945,481,1615,CA-70098,42.53,66.59%
Sea Ranch,California,1156,72,Santa Rosa,489819,83,57,26,43,76,260,0,51.1,45.8,N/A,17,35,68,71.18%,$78125,9.43%,$1378,N/A,$1750000,2427,$721,29,79.07%,5%,48%,60%,90,25 mins,4.03%,1.70%,42.00%,Sonoma County,68.80%,22.00%,0.69%,0.0%,82.53%,16.78%,15.31%,Pacific Standard Time,167,4.9,34.40%,0,N/A,N/A,19.2%,0.00,0,2,683,N/A,N/A,CA-70712,16.12,28.44%
Sebastopol,California,7664,4077,Santa Rosa,489819,83,58,25,37,77,261,0,51.1,45.8,5,17,28,49,47.28%,$83856,10.29%,$1547,N/A,$975000,1641,$594,43,55.62%,3%,47%,52%,65,26 mins,5.32%,1.70%,4.30%,Sonoma County,68.80%,22.00%,3.78%,1.74%,74.87%,12.67%,13.03%,Pacific Standard Time,167,4.9,56.30%,92,N/A,75,21.3%,43.18,0,0,23235,268,2264,CA-70770,1.88,63.45%
Sereno del Mar,California,57,77,Santa Rosa,489819,71,57,14,40,78,260,0,51.1,45.8,N/A,19,38,73,57.89%,$123611,19.3%,N/A,N/A,N/A,N/A,N/A,33,19.3%,5%,48%,57%,88,25 mins,0.0%,1.70%,-48.80%,Sonoma County,68.80%,22.00%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,167,4.9,36.50%,9,N/A,15,N/A,0.00,0,0,831,N/A,N/A,CA-71000,0.74,19.3%
Sonoma,California,11082,4045,Santa Rosa,489819,85,57,28,31,72,262,0,51.1,45.8,5,17,27,55,45.57%,$85509,8.89%,$1904,1109,$866000,1552,$558,38,63.12%,5%,46%,56%,71,26 mins,6.81%,1.70%,7.00%,Sonoma County,68.80%,22.00%,1.89%,1.42%,77.31%,17.69%,10.4%,Pacific Standard Time,167,4.9,49.40%,93,N/A,64,22.8%,29.24,0,0,1768,335,1077,CA-72646,2.74,56.92%
Temelec,California,1915,1204,Santa Rosa,489819,85,57,28,31,72,262,0,51.1,45.8,N/A,18,35,75,45.69%,$56691,2.4%,$2078,1109,$649000,1163,$558,40,94.62%,5%,50%,59%,81,25 mins,7.98%,1.70%,12.90%,Sonoma County,68.80%,22.00%,0.0%,0.0%,94.41%,0.0%,11.91%,Pacific Standard Time,167,4.9,50.40%,0,N/A,N/A,22.8%,0.00,0,0,1847,N/A,N/A,CA-78126,1.59,26.84%
Timber Cove,California,107,19,Santa Rosa,489819,78,56,22,52,71,260,0,51.1,45.8,N/A,20,40,66,62.77%,$78958,0.0%,N/A,N/A,$1464000,2150,$681,31,90.65%,5%,51%,59%,90,25 mins,12.73%,1.70%,-12.10%,Sonoma County,68.80%,22.00%,2.8%,0.0%,72.9%,21.5%,6.54%,Pacific Standard Time,167,4.9,50.40%,7,N/A,7,30.6%,0.00,0,0,3044,N/A,N/A,CA-78715,5.65,55.0%
Valley Ford,California,198,75,Santa Rosa,489819,79,56,23,39,76,260,0,51.1,45.8,5,31,51,N/A,N/A,$9312,0.0%,N/A,N/A,N/A,N/A,N/A,37,0.0%,5%,49%,56%,77,25 mins,0.0%,1.70%,130.20%,Sonoma County,68.80%,22.00%,0.0%,0.0%,0.0%,0.0%,0.0%,Pacific Standard Time,167,4.9,72.80%,26,N/A,26,N/A,147.06,0,0,841,N/A,N/A,CA-81778,2.64,0.0%
Windsor,California,27635,3714,Santa Rosa,489819,85,57,28,41,75,256,0,51.1,45.8,5,22,22,42,34.48%,$117533,4.6%,$2003,455,$698000,1485,$470,26,78.32%,5%,50%,65%,67,24 mins,3.21%,1.70%,6.50%,Sonoma County,68.80%,22.00%,3.13%,0.95%,57.92%,33.41%,15.5%,Pacific Standard Time,167,4.9,42.70%,37,N/A,48,22.5%,11.86,0,0,38186,207,918,CA-85922,7.44,70.0%
