City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Auburn,Maine,22941,387,Lewiston-Auburn,108547,79,28,51,48,135,199,75,55.6,34.8,7,9,51,39,28.49%,$45279,8.6%,$960,778,$156100,N/A,N/A,66,52.00%,4%,18%,11%,73,20 mins,2.40%,N/A,-1.50%,Androscoggin County,41.40%,50.80%,1.6%,1.0%,90.4%,1.5%,3.3%,Eastern Standard Time,340,2.8,52.30%,33,N/A,31,19.1%,16.08,22,0,20,146,2201,ME-02060
Durham,Maine,3910,102,Lewiston-Auburn,108547,79,29,50,48,130,200,67,N/A,N/A,7,6,20,42,41.42%,$66591,N/A,N/A,N/A,$266600,N/A,N/A,31,86.70%,5%,25%,23%,84,24 mins,2.50%,N/A,2.70%,Androscoggin County,41.40%,50.80%,0.7%,0.1%,95.3%,0.7%,N/A,Eastern Standard Time,340,2.8,35.60%,3,N/A,12,N/A,0.00,22,0,20,N/A,N/A,ME-19105
Greene,Maine,760,135,Lewiston-Auburn,108547,79,28,51,46,132,200,73,N/A,N/A,7,7,23,38,12.66%,$95568,N/A,N/A,N/A,$188100,N/A,N/A,38,78.10%,4%,23%,17%,87,28 mins,2.50%,N/A,0.20%,Androscoggin County,41.40%,50.80%,0.3%,0.0%,95.4%,2.7%,N/A,Eastern Standard Time,340,2.8,40.50%,11,N/A,36,N/A,0.00,21,0,25,N/A,N/A,ME-29220
Leeds,Maine,2300,57,Lewiston-Auburn,108547,79,28,51,45,134,200,68,N/A,N/A,7,7,23,40,N/A,$53988,N/A,N/A,N/A,$161900,N/A,N/A,30,71.60%,5%,24%,20%,88,31 mins,2.50%,N/A,11.40%,Androscoggin County,41.40%,50.80%,0.0%,0.0%,96.8%,1.3%,N/A,Eastern Standard Time,340,2.8,36.30%,7,N/A,19,N/A,0.00,N/A,0,27,N/A,N/A,ME-38565
Lewiston,Maine,36158,1060,Lewiston-Auburn,108547,79,28,51,48,132,197,74,55.8,35,7,13,35,40,20.2%,$42969,14.1%,N/A,N/A,$148300,N/A,N/A,63,46.70%,5%,22%,17%,67,20 mins,2.80%,N/A,-1.30%,Androscoggin County,41.40%,50.80%,1.1%,3.9%,86.5%,2.6%,6.1%,Eastern Standard Time,340,2.8,56.80%,45,N/A,42,20.3%,36.71,N/A,0,23,298,1996,ME-38740
Lisbon,Maine,2946,389,Lewiston-Auburn,108547,79,29,50,48,130,200,67,N/A,N/A,7,11,19,38,23.91%,$51838,N/A,N/A,N/A,$138500,N/A,N/A,44,69.20%,5%,24%,20%,81,26 mins,2.50%,N/A,-2.40%,Androscoggin County,41.40%,50.80%,0.4%,0.0%,94.8%,0.8%,N/A,Eastern Standard Time,340,2.8,51.30%,0,N/A,19,N/A,0.00,20,0,21,111,612,ME-40000
Lisbon Falls,Maine,4079,1115,Lewiston-Auburn,108547,79,29,50,48,130,199,67,55.6,34.8,7,8,27,38,22.5%,$58966,2.9%,N/A,N/A,$156200,N/A,N/A,48,67.40%,5%,24%,20%,80,26 mins,2.50%,N/A,-3.60%,Androscoggin County,41.40%,50.80%,0.9%,0.0%,95.5%,0.3%,1.3%,Eastern Standard Time,340,2.8,51.10%,13,N/A,29,18.7%,11.87,20,0,20,N/A,N/A,ME-40105
Livermore,Maine,2073,55,Lewiston-Auburn,108547,78,27,51,48,129,200,81,N/A,N/A,6,8,24,43,16.89%,$44031,N/A,N/A,N/A,$156600,N/A,N/A,43,66.10%,5%,22%,18%,89,36 mins,2.50%,N/A,-1.30%,Androscoggin County,41.40%,50.80%,0.0%,0.2%,96.8%,0.2%,N/A,Eastern Standard Time,340,2.8,38.00%,N/A,N/A,N/A,N/A,0.00,20,0,23,N/A,N/A,ME-40665
Livermore Falls,Maine,1688,159,Lewiston-Auburn,108547,79,27,52,47,135,200,82,N/A,N/A,7,9,31,39,11.89%,$37167,12.1%,N/A,N/A,$94400,N/A,N/A,62,44.80%,6%,20%,10%,87,29 mins,2.50%,N/A,-2.70%,Androscoggin County,41.40%,50.80%,0.0%,0.0%,94.4%,2.6%,0%,Eastern Standard Time,340,2.8,54.30%,51,N/A,N/A,23.9%,0.00,20,1,20,510,1021,ME-40735
Mechanic Falls,Maine,2118,272,Lewiston-Auburn,108547,79,28,51,48,135,200,75,N/A,N/A,6,8,21,40,14.33%,$50000,5.1%,N/A,N/A,$156400,N/A,N/A,45,66.60%,6%,26%,21%,88,26 mins,2.50%,N/A,-2.80%,Androscoggin County,41.40%,50.80%,0.0%,0.0%,96.6%,1.4%,3.6%,Eastern Standard Time,340,2.8,40.40%,48,N/A,28,17.0%,0.00,N/A,0,18,168,874,ME-44620
Minot,Maine,2589,88,Lewiston-Auburn,108547,78,27,51,48,135,200,73,N/A,N/A,6,6,20,43,22.30%,$65699,N/A,N/A,N/A,$194400,N/A,N/A,28,90.10%,7%,22%,19%,88,24 mins,2.50%,N/A,1.10%,Androscoggin County,41.40%,50.80%,0.6%,0.4%,94.2%,2.7%,N/A,Eastern Standard Time,340,2.8,30.40%,13,N/A,8,N/A,0.00,22,0,21,N/A,N/A,ME-46160
Poland,Maine,5522,131,Lewiston-Auburn,108547,79,28,51,48,136,200,76,N/A,N/A,6,8,25,45,20.47%,$61536,N/A,N/A,N/A,$228200,N/A,N/A,33,71.70%,6%,25%,20%,86,29 mins,2.50%,N/A,3.60%,Androscoggin County,41.40%,50.80%,0.0%,0.0%,95.4%,0.3%,N/A,Eastern Standard Time,340,2.8,45.70%,17,N/A,5,N/A,0.00,21,0,18,N/A,N/A,ME-60020
Sabattus,Maine,758,195,Lewiston-Auburn,108547,79,28,51,48,132,200,75,N/A,N/A,7,9,19,45,20.1%,$50476,N/A,N/A,N/A,$183100,N/A,N/A,32,78.10%,5%,30%,28%,85,29 mins,2.50%,N/A,3.20%,Androscoggin County,41.40%,50.80%,0.0%,0.4%,94.9%,0.0%,N/A,Eastern Standard Time,340,2.8,49.70%,35,N/A,25,N/A,0.00,20,0,22,19,276,ME-64535
Turner,Maine,594,97,Lewiston-Auburn,108547,78,27,51,48,128,200,70,N/A,N/A,6,7,22,44,21.81%,$87174,N/A,N/A,N/A,$197000,N/A,N/A,31,70.20%,5%,23%,19%,88,27 mins,2.50%,N/A,1.80%,Androscoggin County,41.40%,50.80%,0.4%,0.6%,94.6%,2.3%,N/A,Eastern Standard Time,340,2.8,38.50%,28,N/A,24,N/A,0.00,21,1,25,N/A,N/A,ME-77765
Wales,Maine,1665,104,Lewiston-Auburn,108547,79,28,51,48,132,200,75,N/A,N/A,7,7,22,40,19.18%,$64688,N/A,N/A,N/A,$185600,N/A,N/A,36,78.50%,7%,38%,39%,85,28 mins,2.50%,N/A,-8.40%,Androscoggin County,41.40%,50.80%,1.7%,0.0%,87.4%,3.5%,N/A,Eastern Standard Time,340,2.8,36.90%,3,N/A,26,N/A,0.00,20,0,25,N/A,N/A,ME-79585
