City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Arroyo Grande,California,17971,3027,San Luis Obispo-Paso Robles-Arroyo Grande,282249,74,62,12,20,50,286,0,50.8,45.7,5,17,31,47,34.15%,$63558,4.9%,$1259,602,$829000,1959,$423,38,61.30%,3%,34%,33%,80,21 mins,3.20%,1.30%,5.80%,San Luis Obispo County,48.90%,40.90%,4.24%,N/A,84.81%,16.60%,9.4%,Pacific Standard Time,238,5.3,41.50%,41,N/A,41,20.5%,20.83,1,1,420
Atascadero,California,29797,1142,San Luis Obispo-Paso Robles-Arroyo Grande,282249,88,60,28,21,49,290,0,50.8,45.7,5,18,26,38,31.78%,$66342,4.8%,$1695,888,$649000,1768,$367,37,60.30%,3%,35%,35%,76,22 mins,3.10%,1.30%,6.50%,San Luis Obispo County,48.90%,40.90%,1.75%,1.06%,90.07%,17.00%,6.2%,Pacific Standard Time,238,5.3,43.40%,26,N/A,29,21.2%,15.72,1,0,1896
Avilla Beach,California,1080,180,San Luis Obispo-Paso Robles-Arroyo Grande,282249,75,62,13,20,50,286,0,N/A,N/A,N/A,16,32,63,N/A,$73304,N/A,N/A,N/A,$1024100,N/A,N/A,26,52.00%,4%,37%,34%,87,21 mins,3.20%,1.30%,5.80%,San Luis Obispo County,48.90%,40.90%,N/A,N/A,N/A,N/A,N/A,Pacific Standard Time,238,5.3,44.40%,40,N/A,37,N/A,8.52,1,1,883
Blacklake,California,1041,996,San Luis Obispo-Paso Robles-Arroyo Grande,282249,78,64,14,17,49,286,0,50.8,45.7,N/A,11,23,68,54.65%,$71471,0%,N/A,N/A,$783700,N/A,N/A,22,62.60%,4%,37%,33%,85,21 mins,3.20%,1.30%,-12.90%,San Luis Obispo County,48.90%,40.90%,N/A,N/A,96.00%,N/A,4.5%,Pacific Standard Time,238,5.3,22.80%,0,N/A,18,24.0%,0.00,N/A,1,319
Callender,California,1679,734,San Luis Obispo-Paso Robles-Arroyo Grande,282249,74,62,12,20,50,286,0,50.8,45.7,N/A,25,49,46,28.58%,$75200,0%,$1259,602,$809600,N/A,N/A,33,46.40%,4%,37%,33%,85,21 mins,3.20%,1.30%,16.90%,San Luis Obispo County,48.90%,40.90%,2.55%,N/A,72.59%,24.60%,2.2%,Pacific Standard Time,238,5.3,49.20%,4,N/A,41,15.5%,0.00,1,1,317
Cambria,California,5934,697,San Luis Obispo-Paso Robles-Arroyo Grande,282249,75,64,11,20,50,286,0,50.8,45.7,7,17,29,61,40.91%,$62948,6.8%,N/A,N/A,$925000,1738,$532,35,49.30%,5%,35%,26%,86,20 mins,3.20%,1.30%,-6.90%,San Luis Obispo County,48.90%,40.90%,2.99%,N/A,87.44%,21.00%,10.4%,Pacific Standard Time,238,5.3,38.30%,43,N/A,40,24.0%,4.84,1,0,2061
Cayucos,California,2847,918,San Luis Obispo-Paso Robles-Arroyo Grande,282249,75,63,12,20,50,284,0,50.8,45.7,6,18,37,56,37.40%,$57863,13.1%,N/A,N/A,$1500000,1646,$911,43,31.50%,6%,39%,19%,85,21 mins,3.20%,1.30%,-0.40%,San Luis Obispo County,48.90%,40.90%,1.63%,N/A,95.13%,13.20%,2.6%,Pacific Standard Time,238,5.3,47.00%,43,N/A,24,18.1%,4.11,1,0,1875
Creston,California,52,92,San Luis Obispo-Paso Robles-Arroyo Grande,282249,89,60,29,24,49,286,0,50.8,45.7,5,13,25,65,N/A,$83523,0%,N/A,N/A,$572400,N/A,N/A,36,100.00%,4%,35%,34%,83,21 mins,3.20%,1.30%,-22.40%,San Luis Obispo County,48.90%,40.90%,N/A,N/A,66.67%,51.90%,23.3%,Pacific Standard Time,238,5.3,28.80%,19,N/A,32,N/A,549.45,1,0,1490
Edna,California,195,160,San Luis Obispo-Paso Robles-Arroyo Grande,282249,75,62,13,20,51,286,0,50.8,45.7,N/A,19,39,52,N/A,$75294,14.5%,$1592,655,$783800,N/A,N/A,40,47.60%,4%,36%,33%,85,21 mins,3.20%,1.30%,550.00%,San Luis Obispo County,48.90%,40.90%,8.14%,N/A,91.86%,6.20%,0%,Pacific Standard Time,238,5.3,37.20%,0,0,N/A,51.0%,0.00,1,1,867
Garden Farms,California,279,255,San Luis Obispo-Paso Robles-Arroyo Grande,282249,88,60,28,21,49,286,0,50.8,45.7,N/A,10,21,61,N/A,$102344,0%,$1695,888,$595300,N/A,N/A,78,82.00%,4%,37%,34%,86,21 mins,3.20%,1.30%,-38.10%,San Luis Obispo County,48.90%,40.90%,N/A,N/A,100.00%,20.40%,3.8%,Pacific Standard Time,238,5.3,0.00%,0,N/A,51,31.0%,0.00,1,0,1107
