City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible
Avon Park,Florida,10539,1040,Sebring,106639,$30574,10.25%,37,$150000,962,$156,41,55.46%,$733,60.83%,N/A,N/A,26.34%,17.12%,51.31%,Highlands County,32.50%,64.30%,0.85%,32.66%,34.66%,28.69%,13.45%,Eastern Standard Time,93,74,19,51,108,0,72.8,62.8,6,59,138,6.2,10.13,FL-02750,27.5897144,-81.5067293,69%,67%,65%
Lake Placid,Florida,2306,496,Sebring,106639,$33021,19.15%,37,N/A,N/A,N/A,37,47.35%,$722,60.08%,569,4270,36.6%,24.47%,40.28%,Highlands County,32.50%,64.30%,0.0%,6.76%,35.65%,56.46%,27.58%,Eastern Standard Time,92,73,19,51,111,0,72.9,63.1,6,70,138,6.2,4.65,FL-38625,27.30378,-81.3709011,69%,67%,65%
Sebring,Florida,10454,1033,Sebring,106639,$30655,14.6%,44,$155000,1140,$136,44,43.42%,$767,61.64%,517,4369,26.63%,17.08%,47.76%,Highlands County,32.50%,64.30%,0.46%,21.19%,52.09%,22.59%,11.67%,Eastern Standard Time,93,74,19,51,103,0,72.9,63.1,6,62,138,6.2,10.12,FL-64875,27.4769814,-81.4529836,69%,67%,65%
