City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Lake Monticello,Virginia,10457,1182,Charlottesville,220282,$80494,48.56%,43,$345000,1960,$176,25,88.97%,$1500,43.85%,N/A,N/A,4.2%,1.73%,58.02%,Fluvanna County,42.40%,51.70%,2.04%,10.22%,81.21%,4.63%,3.15%,Eastern Standard Time,87,46,41,66,24,53%,55%,46,66,91,62%,67%,56%,44.95,12.18,9.31,30.74%,31.76%,31.89%,17.0,6,7.7,34.6,66,375,4.4,8.85,VA-43424,37.9209738,-78.3294627
Lovingston,Virginia,584,145,Charlottesville,220282,$15474,1.88%,54,$210000,4118,$51,39,0.0%,N/A,92.68%,N/A,N/A,80.86%,0.0%,23.85%,Nelson County,44.40%,50.00%,0.0%,64.9%,35.1%,0.0%,0.0%,Eastern Standard Time,84,41,43,60,19,52%,56%,43,62,86,59%,64%,54%,47.22,12.69,10.36,30.96%,34.18%,28.89%,15.7,5,5.7,33.8,78,2439,4.2,4.03,VA-47224,37.7604971,-78.8688594
Nellysford,Virginia,1372,142,Charlottesville,220282,$104063,57.37%,67,$545000,2171,$251,23,96.36%,N/A,23.59%,N/A,N/A,7.22%,0.0%,30.69%,Nelson County,44.40%,50.00%,0.0%,2.92%,95.48%,1.6%,0.0%,Eastern Standard Time,86,44,42,63,23,52%,56%,43,62,90,59%,64%,54%,45.29,12.57,8.69,34.27%,42.97%,28.11%,17.8,5,5.7,33.8,82,1161,4.2,9.63,VA-55400,37.9131334,-78.8828343
Palmyra,Virginia,92,65,Charlottesville,220282,N/A,49.15%,55,N/A,N/A,N/A,N/A,100.0%,N/A,35.87%,N/A,N/A,0.0%,0.0%,100.0%,Fluvanna County,42.40%,51.70%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,87,46,41,66,24,53%,55%,46,66,91,62%,67%,56%,44.95,12.18,9.31,30.74%,31.76%,31.89%,17.0,6,7.7,34.6,70,375,4.4,1.42,VA-60392,37.865076,-78.2626927
Piney Mountain,Virginia,1834,1595,Charlottesville,220282,$78523,39.05%,33,$302000,1798,$168,27,89.8%,$1330,39.49%,N/A,N/A,0.72%,0.0%,76.51%,Albemarle County,58.80%,34.00%,0.0%,12.98%,74.48%,5.02%,7.96%,Eastern Standard Time,91,47,44,69,29,53%,55%,46,66,99,62%,67%,56%,41.04,11.65,7.61,32.16%,36.15%,28.89%,17.0,6,7.7,34.6,73,585,4.3,1.15,VA-62738,38.1591523,-78.4155472
Rivanna,Virginia,1864,685,Charlottesville,220282,$116563,73.36%,55,$885000,2990,$296,22,92.97%,N/A,20.85%,N/A,N/A,5.26%,9.71%,42.99%,Albemarle County,58.80%,34.00%,7.73%,3.76%,79.35%,0.91%,7.62%,Eastern Standard Time,86,44,42,66,27,53%,55%,46,66,89,62%,67%,56%,45.13,12.5,9.29,32.82%,34.73%,32.89%,17.0,6,7.7,34.6,67,693,4.3,2.72,VA-67331,37.9944853,-78.3788288
Ruckersville,Virginia,1236,448,Charlottesville,220282,$71375,30.06%,45,$420000,1721,$244,28,68.53%,$1115,47.6%,N/A,N/A,3.88%,4.1%,75.91%,Greene County,30.40%,61.90%,0.73%,14.0%,83.58%,0.0%,0.73%,Eastern Standard Time,88,45,43,66,24,53%,55%,46,66,93,62%,67%,56%,46.9,13.49,9.09,36.05%,40.55%,33.33%,17.0,6,7.7,34.6,72,504,4.6,2.76,VA-69360,38.2313538,-78.3755811
Schuyler,Virginia,349,227,Charlottesville,220282,N/A,0.0%,40,N/A,N/A,N/A,N/A,53.58%,N/A,29.57%,N/A,N/A,44.7%,0.0%,48.17%,Nelson County,44.40%,50.00%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,84,44,40,68,28,52%,56%,46,66,86,59%,64%,54%,48.83,12.37,10.2,32.82%,34.73%,32.89%,17.0,6,5.7,34.6,77,1077,4.2,1.54,VA-70704,37.7939783,-78.7002611
Scottsville,Virginia,559,368,Charlottesville,220282,$62083,34.56%,41,N/A,N/A,N/A,72,54.74%,$841,55.79%,N/A,N/A,11.52%,1.62%,61.14%,Albemarle County,58.80%,34.00%,0.0%,15.21%,82.83%,0.0%,2.86%,Eastern Standard Time,87,46,41,66,24,52%,56%,46,66,92,59%,64%,54%,44.95,12.18,9.31,30.74%,31.76%,31.89%,17.0,6,5.7,34.6,74,375,4.3,1.52,VA-70800,37.8064265,-78.4919227
Shipman,Virginia,250,93,Charlottesville,220282,$17850,14.03%,58,$229000,1055,$217,N/A,78.0%,$385,38.33%,N/A,N/A,20.8%,19.09%,45.83%,Nelson County,44.40%,50.00%,0.0%,0.0%,82.0%,18.0%,6.8%,Eastern Standard Time,84,41,43,60,19,52%,56%,43,62,86,59%,64%,54%,47.22,12.69,10.36,32.9%,34.18%,32.78%,11.5,3,5.7,33.8,77,690,4.2,2.69,VA-72080,37.7271922,-78.8423624
Stanardsville,Virginia,493,1369,Charlottesville,220282,$49000,29.31%,47,N/A,N/A,N/A,53,42.8%,$923,46.02%,N/A,N/A,11.56%,4.35%,59.38%,Greene County,30.40%,61.90%,0.0%,6.29%,73.63%,16.23%,6.29%,Eastern Standard Time,88,45,43,66,24,52%,56%,46,66,93,59%,64%,54%,47.43,13.59,9.24,36.05%,40.55%,33.33%,17.0,6,5.7,34.6,79,465,4.6,0.36,VA-75008,38.2990561,-78.4368257
Twin Lakes,Virginia,1522,1279,Charlottesville,220282,$56632,19.38%,39,$190000,1284,$148,25,87.45%,$981,46.39%,N/A,N/A,11.37%,1.95%,69.77%,Greene County,30.40%,61.90%,7.82%,10.12%,81.21%,0.0%,7.88%,Eastern Standard Time,91,47,44,69,29,52%,56%,46,66,100,59%,64%,54%,41.04,11.65,7.61,32.16%,36.15%,28.89%,17.0,6,5.7,34.6,75,585,4.6,1.19,VA-79768,38.24927,-78.44378
University of Virginia,Virginia,8426,4760,Charlottesville,220282,N/A,N/A,N/A,$525000,2206,$238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Albemarle County,58.80%,34.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,N/A,4.3,1.77,N/A,N/A,N/A
Yogaville,Virginia,140,23,Charlottesville,220282,$49000,72.26%,71,N/A,N/A,N/A,31,50.76%,$725,46.38%,N/A,N/A,25.36%,0.0%,13.04%,Buckingham County,42.90%,54.20%,0.0%,0.0%,87.86%,2.86%,1.43%,Eastern Standard Time,93,49,44,66,25,52%,56%,46,66,105,59%,64%,54%,46.94,12.21,9.78,32.9%,34.18%,32.78%,11.5,3,5.7,34.6,74,531,4.5,6.02,VA-88145,37.6688258,-78.6916637
