City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Baltic,Connecticut,1148,923,Norwich-New London,264999,83,36,47,50,117,204,32,59.3,39.7,8,11,23,37,7.22%,$46771,30.1%,N/A,N/A,$165100,N/A,N/A,78,28.60%,1%,10%,-8%,80,23 mins,3.50%,N/A,-20.20%,New London County,50.40%,43.80%,0.0%,3.7%,80.3%,3.6%,4.3%,Eastern Standard Time,7,3.3,56.80%,35,N/A,N/A,18.9%,0.00,36,0,17,N/A,N/A,CT-02550
Bozrah,Connecticut,2587,130,Norwich-New London,264999,83,36,47,52,117,199,32,N/A,N/A,8,7,13,47,28.75%,$76307,N/A,N/A,N/A,$218800,N/A,N/A,52,78.00%,0%,11%,-6%,81,22 mins,3.50%,N/A,-0.10%,New London County,50.40%,43.80%,1.0%,2.6%,90.8%,0.9%,N/A,Eastern Standard Time,7,3.3,44.50%,8,N/A,22,N/A,0.00,36,0,16,N/A,N/A,CT-06820
Colchester,Connecticut,5147,327,Norwich-New London,264999,83,36,47,51,118,190,35,N/A,N/A,7,6,19,40,32.38%,$66180,9.45%,$1446,898,$247900,N/A,N/A,33,71.20%,1%,9%,-7%,78,29 mins,2.90%,N/A,1.10%,New London County,50.40%,43.80%,0.29%,2.86%,86.73%,9.64%,4.0%,Eastern Standard Time,7,3.3,42.30%,58,N/A,46,20.6%,0.00,32,1,15,N/A,N/A,CT-15840
Conning Towers Nautilus Park,Connecticut,9910,1905,Norwich-New London,264999,80,38,42,48,118,204,27,59.3,39.7,N/A,9,19,22,18.64%,$65514,6.26%,$1361,855,$212600,N/A,N/A,27,17.90%,1%,10%,-8%,76,13 mins,3.50%,N/A,2.90%,New London County,50.40%,43.80%,2.34%,6.62%,68.14%,18.88%,3.83%,Eastern Standard Time,7,3.3,52.10%,33,N/A,31,26.0%,0.00,36,0,15,N/A,N/A,CT-16960
East Lyme,Connecticut,18883,555,Norwich-New London,264999,81,38,43,50,118,196,26,N/A,N/A,8,7,20,47,46.29%,$81711,N/A,$2018,1157,$320500,N/A,N/A,46,64.60%,0%,11%,-4%,80,23 mins,3.50%,N/A,-1.00%,New London County,50.40%,43.80%,4.7%,3.2%,81.7%,7.8%,N/A,Eastern Standard Time,7,3.3,46.40%,0,N/A,23,N/A,0.00,36,0,15,43,446,CT-23400
Franklin,Connecticut,1908,97,Norwich-New London,264999,83,36,47,52,117,204,32,N/A,N/A,8,6,12,48,28.85%,$93636,N/A,N/A,N/A,$229300,N/A,N/A,44,81.30%,4%,14%,-4%,81,28 mins,3.50%,N/A,-0.80%,New London County,50.40%,43.80%,0.4%,0.6%,94.4%,2.5%,N/A,Eastern Standard Time,7,3.3,37.10%,1,N/A,N/A,N/A,0.00,36,1,15,N/A,N/A,CT-29910
Griswold,Connecticut,11791,340,Norwich-New London,264999,83,36,47,51,117,204,32,N/A,N/A,8,8,22,37,17.76%,$59545,N/A,$1330,878,$198300,N/A,N/A,44,67.20%,1%,10%,-8%,78,27 mins,3.90%,N/A,0.10%,New London County,50.40%,43.80%,4.5%,1.6%,87.6%,2.8%,N/A,Eastern Standard Time,7,3.3,50.20%,22,N/A,40,N/A,0.00,36,0,15,N/A,N/A,CT-33900
Lebanon,Connecticut,7242,134,Norwich-New London,264999,81,35,46,51,117,190,34,N/A,N/A,8,6,14,46,32.49%,$90149,N/A,N/A,N/A,$233600,N/A,N/A,42,76.60%,3%,11%,-6%,82,31 mins,3.50%,N/A,-0.20%,New London County,50.40%,43.80%,0.4%,0.4%,95.2%,1.7%,N/A,Eastern Standard Time,7,3.3,41.50%,22,N/A,N/A,N/A,0.00,N/A,1,16,N/A,N/A,CT-42390
Ledyard,Connecticut,14926,391,Norwich-New London,264999,81,38,43,50,117,210,29,N/A,N/A,8,11,12,40,40.93%,$87101,N/A,$900,850,$226500,N/A,N/A,44,75.30%,0%,10%,-7%,81,22 mins,3.00%,N/A,-0.70%,New London County,50.40%,43.80%,2.3%,2.2%,81.5%,6.2%,N/A,Eastern Standard Time,7,3.3,42.50%,46,N/A,19,N/A,0.00,N/A,0,14,40,496,CT-42600
Lyme,Connecticut,2423,76,Norwich-New London,264999,80,38,42,48,118,204,26,N/A,N/A,9,6,13,55,60.36%,$77500,N/A,N/A,N/A,$405900,N/A,N/A,50,72.00%,1%,6%,-9%,82,30 mins,3.50%,N/A,4.30%,New London County,50.40%,43.80%,0.9%,0.0%,96.5%,2.4%,N/A,Eastern Standard Time,7,3.3,37.90%,2,N/A,1,N/A,0.00,N/A,0,15,N/A,N/A,CT-44210
