City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Airmont,New York,8869,1943,New York-Newark-Jersey City,19124359,81,34,47,51,119,200,30,60.2,40.8,N/A,8,20,36,38.25%,$89743,8.3%,$1631,916,$549900,2044,$269,46,71.70%,7%,17%,2%,62,29 mins,3.70%,N/A,5.30%,Rockland County,51.30%,45.10%,4.65%,3.03%,82.50%,9.10%,13.7%,Eastern Standard Time,87,3.8,37.60%,17,N/A,24,28.0%,1.16,24,1,59
Albertson,New York,5294,7797,New York-Newark-Jersey City,19124359,83,39,44,46,126,171,23,61.6,42.5,11,7,17,45,55.44%,$92891,0.6%,N/A,N/A,$693600,N/A,N/A,63,94.40%,9%,27%,23%,52,34 mins,3.50%,N/A,-7.40%,Nassau County,51.30%,45.10%,23.44%,1.22%,71.54%,9.20%,25%,Eastern Standard Time,87,3.6,42.70%,59,N/A,N/A,23.4%,0.00,30,1,27
Amagansett,New York,817,125,New York-Newark-Jersey City,19124359,80,38,42,47,114,206,26,61.6,42.3,14,6,16,56,46.78%,$81500,4%,N/A,N/A,$3290800,N/A,N/A,42,16.10%,7%,35%,50%,89,32 mins,3.80%,N/A,-8.60%,Suffolk County,44.60%,51.50%,N/A,N/A,98.65%,8.00%,15.9%,Eastern Standard Time,87,3.7,44.00%,42,N/A,45,27.6%,0.00,39,0,2
Amenia,New York,4314,100,New York-Newark-Jersey City,19124359,82,34,48,47,127,167,48,N/A,N/A,6,10,25,45,21.96%,$57862,5.8%,N/A,N/A,$216000,N/A,N/A,56,45.80%,7%,16%,2%,83,25 mins,3.60%,N/A,-2.00%,Dutchess County,47.50%,47.20%,N/A,2.90%,86.54%,5.40%,11.8%,Eastern Standard Time,87,3.6,47.40%,38,N/A,44,19.7%,0.00,24,1,4
Amityville,New York,9513,4636,New York-Newark-Jersey City,19124359,82,38,44,45,124,203,23,61.6,42.3,N/A,9,26,44,36.19%,$81135,10.1%,$2054,802,$339900,N/A,N/A,60,65.20%,2%,14%,1%,61,34 mins,3.80%,N/A,-0.30%,Suffolk County,44.60%,51.50%,N/A,14.11%,76.25%,23.00%,12.3%,Eastern Standard Time,87,3.7,49.20%,75,N/A,50,23.9%,13.65,34,1,7
Aquebogue,New York,1635,430,New York-Newark-Jersey City,19124359,82,38,44,47,113,207,29,61.3,41.9,13,7,17,48,N/A,$62109,0%,$2043,628,$456000,N/A,N/A,41,54.60%,7%,20%,10%,85,32 mins,3.80%,N/A,-27.70%,Suffolk County,44.60%,51.50%,N/A,6.42%,93.58%,7.50%,12.7%,Eastern Standard Time,87,3.7,51.50%,18,N/A,N/A,23.0%,4.85,37,0,3
Ardsley,New York,4557,3444,New York-Newark-Jersey City,19124359,81,34,47,51,120,200,28,60.6,41.1,7,7,16,47,65.69%,$135972,1.6%,N/A,N/A,$660300,N/A,N/A,60,78.30%,1%,14%,7%,48,33 mins,3.90%,N/A,3.80%,Westchester County,64.90%,31.20%,13.08%,3.68%,72.67%,9.10%,24.7%,Eastern Standard Time,87,3.6,41.30%,73,N/A,30,22.0%,0.00,26,1,49
Arlington,New York,3765,5586,New York-Newark-Jersey City,19124359,84,35,49,47,125,167,41,58.6,38.9,6,11,27,22,39.44%,$43327,23.6%,$1674,861,$193300,N/A,N/A,43,29.80%,7%,17%,2%,55,32 mins,3.60%,N/A,-11.30%,Dutchess County,47.50%,47.20%,7.51%,22.29%,53.62%,21.00%,19.5%,Eastern Standard Time,87,3.6,75.20%,78,N/A,58,20.2%,4.91,20,1,8
Armonk,New York,4537,761,New York-Newark-Jersey City,19124359,83,36,47,50,119,200,32,60.6,41.1,8,6,14,42,80.08%,$177821,0.8%,N/A,N/A,$993900,N/A,N/A,38,79.40%,4%,16%,6%,64,32 mins,3.90%,N/A,13.10%,Westchester County,64.90%,31.20%,5.54%,N/A,84.95%,8.20%,10.9%,Eastern Standard Time,87,3.6,33.00%,62,N/A,N/A,22.0%,0.00,25,1,36
Asharoken,New York,446,299,New York-Newark-Jersey City,19124359,83,38,45,46,111,210,25,61.6,42.3,11,6,10,55,68.34%,$118125,3.9%,N/A,N/A,$1236600,N/A,N/A,59,55.60%,6%,21%,10%,76,45 mins,3.80%,N/A,-34.10%,Suffolk County,44.60%,51.50%,1.82%,N/A,95.91%,1.10%,6.3%,Eastern Standard Time,87,3.7,30.40%,0,N/A,N/A,21.6%,0.00,29,1,15
