City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Batavia,Montana,373,207,Kalispell,105851,81,30,51,18,129,151,56,43.9,31.4,N/A,22,33,31,24.47%,$29583,15.1%,N/A,N/A,$288900,N/A,N/A,32,75.20%,12%,39%,26%,90,19 mins,3.30%,2.20%,3.60%,Flathead County,28.00%,63.70%,N/A,N/A,91.06%,6.40%,0%,N/A,N/A,3.2,61.30%,13,N/A,34,21.9%,0.00,0,0,133
Bigfork,Montana,4797,153,Kalispell,105851,80,31,49,23,121,151,55,44,32.5,N/A,15,32,49,38.06%,$54608,7.1%,N/A,N/A,$402200,N/A,N/A,25,48.70%,11%,37%,20%,88,18 mins,3.30%,2.20%,9.00%,Flathead County,28.00%,63.70%,N/A,N/A,92.20%,4.00%,5.3%,N/A,N/A,3.2,34.20%,53,N/A,31,17.1%,61.98,0,0,158
Columbia Falls,Montana,5054,2298,Kalispell,105851,81,30,51,18,127,152,57,44.4,31.8,4,12,38,45,26.82%,$45393,8.7%,N/A,N/A,$281800,N/A,N/A,40,69.60%,9%,39%,30%,79,18 mins,3.30%,2.20%,9.30%,Flathead County,28.00%,63.70%,N/A,N/A,97.37%,1.70%,1.3%,N/A,N/A,3.2,40.70%,61,N/A,66,20.6%,81.02,0,0,83
Coram,Montana,481,130,Kalispell,105851,81,30,51,27,139,151,81,44.1,31.5,4,19,29,48,N/A,$33523,0%,N/A,N/A,$206500,N/A,N/A,49,59.00%,12%,41%,26%,91,19 mins,3.30%,2.20%,16.50%,Flathead County,28.00%,63.70%,N/A,N/A,89.17%,N/A,2.3%,N/A,N/A,3.2,51.00%,15,N/A,62,9.0%,65.36,0,0,75
Evergreen,Montana,7552,883,Kalispell,105851,81,30,51,18,129,150,56,43.9,31.4,4,18,36,42,14.30%,$34951,3.7%,N/A,N/A,$202800,N/A,N/A,38,72.90%,13%,41%,26%,78,19 mins,3.30%,2.20%,1.40%,Flathead County,28.00%,63.70%,N/A,N/A,89.64%,9.90%,2.5%,N/A,N/A,3.2,45.30%,42,N/A,N/A,22.1%,0.00,0,0,116
Forest Hill Village,Montana,237,154,Kalispell,105851,81,30,51,18,129,151,56,43.9,31.4,N/A,23,37,52,N/A,$45096,0%,N/A,N/A,$160500,N/A,N/A,47,43.60%,12%,40%,26%,89,19 mins,3.30%,2.20%,16.20%,Flathead County,28.00%,63.70%,N/A,N/A,100.00%,N/A,0%,N/A,N/A,3.2,79.20%,9,N/A,23,27.1%,0.00,0,0,137
Helena Flats,Montana,981,116,Kalispell,105851,81,30,51,18,129,151,56,43.9,31.4,N/A,14,21,38,21.06%,$57778,6.4%,N/A,N/A,$349200,N/A,N/A,32,74.90%,12%,40%,27%,87,19 mins,3.30%,2.20%,-2.10%,Flathead County,28.00%,63.70%,N/A,N/A,87.11%,3.30%,3.5%,N/A,N/A,3.2,44.30%,1,N/A,33,18.3%,0.00,0,0,99
Hungry Horse,Montana,518,361,Kalispell,105851,81,30,51,23,138,151,74,42.6,30.4,4,20,30,52,25.18%,$20573,38.2%,N/A,N/A,$84800,N/A,N/A,37,38.20%,12%,39%,26%,91,19 mins,3.30%,2.20%,-43.60%,Flathead County,28.00%,63.70%,N/A,N/A,92.27%,N/A,0%,N/A,N/A,3.2,57.10%,34,N/A,53,40.8%,25.04,0,0,81
Kalispell,Montana,21992,1833,Kalispell,105851,81,30,51,18,129,151,56,44.9,33,4,19,69,34,30.02%,$40511,7.1%,N/A,N/A,$270600,N/A,N/A,37,56.60%,8%,36%,31%,68,15 mins,3.30%,2.20%,14.00%,Flathead County,28.00%,63.70%,1.40%,1.11%,93.50%,3.40%,1.9%,N/A,N/A,3.2,50.80%,41,N/A,48,19.5%,78.11,0,0,119
Kila,Montana,346,87,Kalispell,105851,80,30,50,18,128,151,56,44.2,32,4,13,21,57,25.18%,$41944,3.3%,N/A,N/A,$323200,N/A,N/A,33,80.30%,12%,39%,27%,90,19 mins,3.30%,2.20%,-19.20%,Flathead County,28.00%,63.70%,N/A,N/A,80.52%,N/A,0.6%,N/A,N/A,3.2,36.20%,12,N/A,46,17.7%,123.20,N/A,0,143
