City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Bel Air South,Maryland,48060,3069,Baltimore-Columbia-Towson,2414613,89,42,47,47,124,208,18,63,44.2,N/A,27,41,39,43.42%,$89053,3%,N/A,N/A,$315000,2019,$156,27,74.20%,4%,18%,2%,62,32 mins,4.00%,0.60%,5.00%,Harford County,35.20%,58.20%,3.90%,8.61%,82.90%,4.50%,7.3%,Eastern Standard Time,32,3.9,41.30%,21,13,24,18.5%,0.00,26,1,10
Bowleys Quarters,Maryland,6131,1949,Baltimore-Columbia-Towson,2414613,89,44,45,43,111,214,15,62.9,44.1,N/A,18,34,43,25.75%,$67380,3.4%,$1313,838,$249200,N/A,N/A,40,70.70%,4%,18%,2%,59,33 mins,4.10%,0.70%,-7.20%,Baltimore County,55.90%,38.30%,1.86%,12.99%,80.54%,1.00%,4.1%,Eastern Standard Time,32,4.1,45.10%,25,0,36,21.3%,0.00,24,2,12
Brooklyn Park,Maryland,14833,3522,Baltimore-Columbia-Towson,2414613,90,43,47,42,113,210,14,63.9,45.2,8,31,57,38,13.08%,$54966,8.9%,$1471,845,$187200,N/A,N/A,60,73.40%,4%,27%,0%,47,27 mins,3.50%,0.70%,4.60%,Anne Arundel County,47.50%,45.30%,2.55%,19.35%,63.55%,12.70%,7.9%,Eastern Standard Time,32,4,56.30%,N/A,34,N/A,20.6%,38.91,27,2,13
Cape St. Claire,Maryland,8769,4371,Baltimore-Columbia-Towson,2414613,87,43,44,44,113,214,13,65,46.2,N/A,15,28,40,N/A,$97719,1.7%,N/A,N/A,$397100,N/A,N/A,37,83.50%,2%,14%,4%,65,31 mins,3.50%,0.70%,1.10%,Anne Arundel County,47.50%,45.30%,N/A,N/A,N/A,5.00%,4.5%,Eastern Standard Time,32,4,42.50%,35,N/A,N/A,20.9%,0.00,N/A,1,12
Carney,Maryland,30178,4329,Baltimore-Columbia-Towson,2414613,88,42,46,45,121,209,20,62.7,43.9,N/A,34,53,40,37.68%,$61338,3.9%,$1216,814,$275300,1648,$167,35,55.00%,2%,15%,2%,51,28 mins,4.10%,0.70%,9.40%,Baltimore County,55.90%,38.30%,10.35%,19.31%,66.22%,3.60%,11.3%,Eastern Standard Time,32,4.1,52.60%,39,23,28,16.2%,2.69,N/A,2,14
Catonsville,Maryland,41440,2968,Baltimore-Columbia-Towson,2414613,87,42,45,45,114,209,18,62.6,43.9,8,28,43,39,50.60%,$77166,3.4%,$1311,849,$375000,1932,$194,59,69.70%,3%,15%,4%,50,26 mins,4.10%,0.70%,-1.00%,Baltimore County,55.90%,38.30%,6.46%,15.38%,74.77%,4.00%,9.6%,Eastern Standard Time,32,4.1,52.00%,39,38,38,17.5%,11.74,N/A,2,16
Centreville,Maryland,4635,1693,Baltimore-Columbia-Towson,2414613,87,41,46,46,112,210,13,64,45.3,8,12,22,41,32.87%,$94375,1%,N/A,N/A,$346500,N/A,N/A,30,69.30%,3%,12%,0%,77,35 mins,3.50%,0.80%,17.70%,Queen Anne's County,30.10%,64.10%,2.73%,10.73%,85.68%,6.00%,3.4%,Eastern Standard Time,32,4.1,42.30%,56,N/A,N/A,19.2%,9.40,32,1,0
Chester,Maryland,4904,936,Baltimore-Columbia-Towson,2414613,87,43,44,46,112,213,13,64.4,46.3,8,18,34,46,37.45%,$86149,2.7%,N/A,N/A,$321500,N/A,N/A,29,53.30%,2%,11%,1%,71,34 mins,3.50%,0.80%,18.40%,Queen Anne's County,30.10%,64.10%,N/A,6.16%,89.61%,3.90%,5.3%,Eastern Standard Time,32,4.1,43.20%,32,N/A,67,21.9%,7.22,31,1,1
Church Hill,Maryland,729,1015,Baltimore-Columbia-Towson,2414613,87,41,46,45,111,206,15,64,45.2,8,16,29,31,28.60%,$63333,7.8%,N/A,N/A,$252800,N/A,N/A,25,59.80%,2%,12%,1%,77,35 mins,3.50%,0.80%,32.30%,Queen Anne's County,30.10%,64.10%,N/A,17.06%,71.02%,14.40%,10%,Eastern Standard Time,32,4.1,41.10%,19,N/A,31,21.2%,0.00,33,1,0
Cockeysville,Maryland,20789,1826,Baltimore-Columbia-Towson,2414613,87,42,45,46,122,210,22,62.5,43.8,8,30,53,34,47.86%,$64473,6.1%,$1309,956,$475000,2540,$187,42,31.50%,2%,12%,3%,58,25 mins,4.10%,0.70%,4.80%,Baltimore County,55.90%,38.30%,11.69%,20.42%,62.37%,12.40%,21.2%,Eastern Standard Time,32,4.1,52.60%,33,23,26,17.4%,11.43,N/A,2,15
