City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Daytona Beach,Florida,68711,1048,Deltona-Daytona Beach-Ormond Beach,679948,$38686,22.58%,39,$267000,1248,$214,43,41.86%,$979,64.74%,1136,4056,20.54%,6.48%,54.71%,Volusia County,41.40%,54.30%,2.81%,35.04%,50.38%,9.05%,8.98%,Eastern Standard Time,N/A,N/A,N/A,N/A,119,N/A,7.0,67,31,6.4,65.59,FL-16525,29.1993802,-81.0984565,64%,65%,59%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Daytona Beach Shores,Florida,4552,5355,Deltona-Daytona Beach-Ormond Beach,679948,$53650,41.96%,65,$505000,1563,$323,33,67.51%,$1302,51.67%,196,2336,8.13%,7.69%,35.28%,Volusia County,41.40%,54.30%,3.36%,3.58%,86.64%,3.69%,10.85%,Eastern Standard Time,N/A,N/A,N/A,N/A,119,N/A,7.0,77,31,6.4,0.85,FL-16550,29.1703461,-80.9803334,64%,65%,59%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
De Leon Springs,Florida,2982,1121,Deltona-Daytona Beach-Ormond Beach,679948,$45903,15.36%,40,$245000,1065,$230,36,68.71%,$1133,41.65%,N/A,N/A,19.11%,0.0%,42.57%,Volusia County,41.40%,54.30%,0.5%,0.34%,39.1%,60.06%,12.11%,Eastern Standard Time,N/A,N/A,N/A,N/A,115,N/A,7.0,63,31,6.4,2.66,FL-16975,29.1172052,-81.351684,64%,65%,59%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
DeBary,Florida,21053,1111,Deltona-Daytona Beach-Ormond Beach,679948,$71554,26.24%,49,$385000,1869,$206,28,81.07%,$1123,44.44%,N/A,N/A,7.97%,3.23%,56.97%,Volusia County,41.40%,54.30%,2.47%,6.96%,74.95%,14.68%,6.55%,Eastern Standard Time,N/A,N/A,N/A,N/A,120,N/A,7.0,58,31,6.4,18.95,FL-16675,28.8814736,-81.3240206,69%,67%,65%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
DeLand,Florida,33620,1768,Deltona-Daytona Beach-Ormond Beach,679948,$54397,30.62%,41,$340000,1762,$193,28,63.95%,$1005,54.61%,574,3266,13.51%,4.93%,51.53%,Volusia County,41.40%,54.30%,2.34%,15.57%,64.72%,16.56%,8.32%,Eastern Standard Time,N/A,N/A,N/A,N/A,120,N/A,7.0,54,31,6.4,19.02,FL-16875,29.0225536,-81.2875111,64%,65%,59%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
DeLand Southwest,Florida,1372,2249,Deltona-Daytona Beach-Ormond Beach,679948,$35273,12.15%,31,$210000,1167,$180,50,35.06%,$854,63.35%,N/A,N/A,44.75%,0.0%,35.67%,Volusia County,41.40%,54.30%,5.69%,35.5%,27.41%,31.41%,13.05%,Eastern Standard Time,N/A,N/A,N/A,N/A,120,N/A,7.0,55,31,6.4,0.61,FL-16937,29.0077111,-81.3112646,64%,65%,59%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Deltona,Florida,91847,2461,Deltona-Daytona Beach-Ormond Beach,679948,$56760,16.46%,38,$324000,1645,$197,32,76.02%,$1189,49.81%,N/A,N/A,11.04%,4.78%,58.82%,Volusia County,41.40%,54.30%,1.67%,11.99%,48.96%,36.91%,9.15%,Eastern Standard Time,N/A,N/A,N/A,N/A,120,N/A,7.0,62,31,6.4,37.32,FL-17200,28.9049978,-81.2136693,69%,67%,65%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Edgewater,Florida,23710,963,Deltona-Daytona Beach-Ormond Beach,679948,$49487,18.63%,54,$315000,1624,$194,35,80.35%,$1054,50.55%,95,1574,10.07%,2.69%,52.79%,Volusia County,41.40%,54.30%,1.32%,2.46%,89.25%,4.44%,4.96%,Eastern Standard Time,N/A,N/A,N/A,N/A,116,N/A,7.0,71,31,6.4,24.61,FL-19825,28.9690837,-80.9819593,64%,65%,59%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Flagler Beach,Florida,5065,1415,Deltona-Daytona Beach-Ormond Beach,679948,$51913,34.63%,59,$640000,1538,$416,36,79.33%,$1260,38.4%,58,795,9.77%,1.02%,42.63%,Flagler County,38.00%,58.40%,0.38%,4.5%,87.9%,4.38%,5.07%,Eastern Standard Time,N/A,N/A,N/A,N/A,110,N/A,7.0,76,31,5.4,3.58,FL-22550,29.4718681,-81.130351,64%,65%,59%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Glencoe,Florida,1439,411,Deltona-Daytona Beach-Ormond Beach,679948,$68750,18.92%,53,$585000,1997,$293,38,90.9%,$1181,48.56%,N/A,N/A,13.46%,6.66%,61.81%,Volusia County,41.40%,54.30%,0.0%,0.0%,93.95%,6.05%,4.86%,Eastern Standard Time,N/A,N/A,N/A,N/A,119,N/A,7.0,72,31,6.4,3.5,FL-26000,28.9914646,-80.9603377,64%,65%,59%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
