City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Agua Fria,New Mexico,2997,1238,Santa Fe,110775,$50787,11.94%,47,N/A,N/A,N/A,27,65.27%,$1270,53.96%,N/A,N/A,16.38%,0.67%,61.75%,Santa Fe County,71.10%,20.10%,0.17%,0.43%,24.22%,72.51%,22.82%,Mountain Standard Time,86,42,44,13.09,29.9,N/A,69,6198,6.3,2.42,NM-01220,35.6615578,-106.0147876,76%,78%,73%,29%,25%,39.2,30,45,51,18,4.87,2.18,17.56%,27.25%,14.11%,16,84
Canada de los Alamos,New Mexico,287,78,Santa Fe,110775,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Santa Fe County,71.10%,20.10%,N/A,N/A,N/A,N/A,N/A,Mountain Standard Time,N/A,N/A,N/A,N/A,N/A,N/A,89,N/A,6.3,3.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cedar Grove,New Mexico,790,62,Santa Fe,110775,N/A,25.51%,68,N/A,N/A,N/A,33,94.94%,N/A,47.36%,N/A,N/A,15.19%,13.9%,29.42%,Santa Fe County,71.10%,20.10%,0.0%,0.0%,71.27%,28.73%,0.0%,Mountain Standard Time,88,43,45,15.46,12.3,N/A,89,6114,6.3,12.77,NM-13270,35.1787819,-106.1727392,76%,78%,73%,29%,25%,39.2,30,45,51,18,6.52,2.36,17.89%,25.71%,16.56%,7,85
Chupadero,New Mexico,256,141,Santa Fe,110775,$128364,56.59%,47,$1190000,4857,$245,34,90.23%,N/A,66.08%,N/A,N/A,7.03%,2.17%,81.06%,Santa Fe County,71.10%,20.10%,0.0%,4.3%,48.05%,47.66%,5.08%,Mountain Standard Time,86,42,44,12.83,29.9,N/A,90,5451,6.3,1.81,NM-15300,35.8144008,-105.9197426,76%,78%,73%,29%,25%,39.2,30,45,51,18,5.27,2.06,28.82%,33.52%,31.44%,16,84
Cuartelez,New Mexico,93,68,Santa Fe,110775,N/A,0.0%,N/A,N/A,N/A,N/A,52,20.43%,N/A,100.0%,N/A,N/A,79.57%,0.0%,20.43%,Santa Fe County,71.10%,20.10%,0.0%,0.0%,0.0%,100.0%,20.43%,Mountain Standard Time,89,44,45,9.93,13.1,N/A,85,5154,6.3,1.37,NM-19110,35.9928368,-106.0196814,76%,78%,73%,29%,25%,39.2,30,45,56,16,3.4,1.69,18.19%,27.47%,14.11%,4,86
Cundiyo,New Mexico,17,18,Santa Fe,110775,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,0.0%,0.0%,0.0%,Santa Fe County,71.10%,20.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,89,44,45,12.83,13.1,N/A,85,5451,6.3,0.95,NM-19500,35.9608384,-105.9008572,76%,78%,73%,29%,25%,39.2,30,45,56,16,5.27,2.06,18.19%,27.47%,14.11%,4,86
Cuyamungue,New Mexico,465,397,Santa Fe,110775,$61429,21.7%,42,N/A,N/A,N/A,38,78.92%,$967,48.39%,N/A,N/A,8.46%,1.0%,55.37%,Santa Fe County,71.10%,20.10%,0.0%,0.0%,19.78%,78.71%,4.73%,Mountain Standard Time,89,44,45,12.83,13.1,N/A,85,5451,6.3,1.17,NM-19640,35.8647842,-106.0096231,76%,78%,73%,29%,25%,39.2,30,45,56,16,5.27,2.06,18.19%,27.47%,14.11%,4,86
Cuyamungue Grant,New Mexico,267,105,Santa Fe,110775,$66250,18.1%,42,N/A,N/A,N/A,18,73.78%,$956,20.74%,N/A,N/A,4.49%,4.52%,71.43%,Santa Fe County,71.10%,20.10%,0.0%,0.0%,45.69%,53.18%,42.7%,Mountain Standard Time,86,42,44,12.83,13.1,N/A,88,5451,6.3,2.55,NM-19645,35.8464226,-105.994873,76%,78%,73%,29%,25%,39.2,30,45,51,18,5.27,2.06,15.89%,23.41%,13.0%,4,84
El Rancho,New Mexico,1406,670,Santa Fe,110775,$51607,24.76%,37,N/A,N/A,N/A,35,79.66%,$830,49.77%,N/A,N/A,19.89%,0.0%,56.29%,Santa Fe County,71.10%,20.10%,0.0%,0.85%,13.87%,65.5%,6.61%,Mountain Standard Time,83,40,43,12.83,35.2,N/A,84,5451,6.3,2.1,NM-23840,35.892761,-106.0856327,76%,78%,73%,29%,25%,39.2,30,45,57,20,5.27,2.06,18.19%,27.47%,14.11%,14,81
El Valle de Arroyo Seco,New Mexico,1807,352,Santa Fe,110775,$55815,13.51%,50,$300000,1235,$243,39,69.51%,$905,53.41%,N/A,N/A,17.38%,6.03%,57.15%,Santa Fe County,71.10%,20.10%,0.0%,0.0%,23.8%,76.2%,6.03%,Mountain Standard Time,89,44,45,9.93,13.1,N/A,85,5154,6.3,5.13,NM-24347,35.9526206,-106.0259568,76%,78%,73%,29%,25%,39.2,30,45,56,16,3.4,1.69,18.19%,27.47%,14.11%,4,86
Eldorado at Santa Fe,New Mexico,5510,265,Santa Fe,110775,$77576,70.03%,62,$670000,1831,$366,27,95.32%,$1645,34.68%,N/A,N/A,5.74%,2.84%,51.5%,Santa Fe County,71.10%,20.10%,1.36%,1.63%,80.54%,15.5%,7.6%,Mountain Standard Time,86,42,44,13.31,29.9,N/A,87,6108,6.3,20.78,NM-22625,35.5272459,-105.9339698,76%,78%,73%,29%,25%,39.2,30,45,58,20,5.59,2.13,20.25%,31.54%,17.78%,16,84
Galisteo,New Mexico,181,54,Santa Fe,110775,N/A,46.85%,53,N/A,N/A,N/A,N/A,86.74%,N/A,62.94%,N/A,N/A,13.26%,0.0%,59.44%,Santa Fe County,71.10%,20.10%,0.0%,0.0%,70.17%,18.23%,0.0%,Mountain Standard Time,86,42,44,13.31,29.9,N/A,89,6108,6.3,3.37,NM-27970,35.3983879,-105.9571826,76%,78%,73%,29%,25%,39.2,30,45,58,20,5.59,2.13,20.25%,31.54%,17.78%,16,84
Glorieta,New Mexico,772,101,Santa Fe,110775,N/A,54.17%,53,$585000,2427,$241,44,48.19%,$1792,37.3%,N/A,N/A,4.66%,28.33%,64.1%,Santa Fe County,71.10%,20.10%,0.0%,0.0%,77.07%,22.93%,1.17%,Mountain Standard Time,86,46,40,15.65,29.9,N/A,89,6288,6.3,7.65,NM-29860,35.5839627,-105.7628782,76%,78%,73%,29%,25%,39.2,30,45,49,18,6.21,2.62,24.74%,31.65%,24.56%,16,84
Golden,New Mexico,39,6,Santa Fe,110775,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,0.0%,N/A,N/A,0.0%,0.0%,0.0%,Santa Fe County,71.10%,20.10%,0.0%,0.0%,0.0%,0.0%,0.0%,Mountain Standard Time,91,46,45,13.56,5.4,N/A,89,6126,6.3,6.73,NM-30000,35.2636811,-106.222985,76%,78%,73%,29%,25%,39.2,30,45,58,23,5.57,2.47,17.89%,25.71%,16.56%,1,89
