City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
American Canyon,California,20341,3342,Napa,135965,84,56,28,24,66,265,0,50.5,44.5,6,14,36,36,29.81%,$81955,8.1%,$2558,1074,$685000,2127,$322,18,74.80%,5%,50%,40%,66,35 mins,3.00%,0.10%,15.00%,Napa County,63.90%,28.40%,36.91%,7.77%,38.13%,27.30%,34.5%,Pacific Standard Time,17,5.4,47.90%,30,N/A,49,20.8%,19.87,0,0,3054
Angwin,California,3463,717,Napa,135965,88,54,34,40,73,262,0,50.5,44.5,5,17,30,25,40.89%,$66765,3.5%,N/A,N/A,$895000,1724,$519,55,44.70%,5%,46%,48%,81,24 mins,3.00%,0.10%,-7.30%,Napa County,63.90%,28.40%,15.29%,9.15%,62.76%,25.80%,16.8%,Pacific Standard Time,17,5.4,66.70%,4,N/A,23,22.4%,6.19,0,0,N/A
Calistoga,California,5281,2049,Napa,135965,88,58,30,37,70,265,0,50.5,44.5,5,14,23,42,32.82%,$52131,2.4%,N/A,N/A,$1500000,1794,$836,45,54.90%,12%,48%,58%,75,24 mins,3.00%,0.10%,2.60%,Napa County,63.90%,28.40%,1.52%,N/A,87.40%,47.50%,29.4%,Pacific Standard Time,17,5.4,55.00%,84,N/A,80,21.2%,1.94,0,0,38410
Deer Park,California,1149,204,Napa,135965,89,58,31,37,70,267,0,50.5,44.5,5,20,40,64,46.15%,$97266,13%,N/A,N/A,$1300000,1668,$779,48,45.20%,6%,45%,50%,81,24 mins,3.00%,0.10%,9.60%,Napa County,63.90%,28.40%,7.02%,N/A,90.56%,4.60%,24.1%,Pacific Standard Time,17,5.4,44.80%,7,N/A,N/A,26.9%,0.00,0,0,37518
Moskowite Corner,California,155,55,Napa,135965,83,57,26,27,69,262,0,50.5,44.5,N/A,17,33,43,N/A,$49286,0%,$2200,901,$34800,N/A,N/A,41,76.80%,6%,46%,47%,81,24 mins,3.00%,0.10%,18.30%,Napa County,63.90%,28.40%,N/A,N/A,100.00%,4.50%,6.6%,Pacific Standard Time,17,5.4,26.10%,14,N/A,1,13.5%,0.00,0,0,1530
Napa,California,79722,4441,Napa,135965,83,57,26,27,69,260,0,50.5,44.5,5,24,27,38,34.23%,$64058,5.5%,$2275,906,$848900,1598,$531,43,54.10%,5%,40%,49%,64,21 mins,3.10%,0.10%,4.90%,Napa County,63.90%,28.40%,3.16%,N/A,77.22%,39.90%,21.7%,Pacific Standard Time,17,5.4,48.20%,42,N/A,60,21.1%,14.17,0,0,2338
Rutherford,California,77,46,Napa,135965,87,58,29,34,71,262,0,50.5,44.5,5,18,35,73,33.33%,$62024,0%,N/A,N/A,$851300,N/A,N/A,61,31.70%,6%,43%,48%,80,24 mins,3.00%,0.10%,-59.70%,Napa County,63.90%,28.40%,N/A,N/A,82.95%,22.10%,22.2%,Pacific Standard Time,17,5.4,48.10%,35,N/A,33,N/A,0.00,0,0,6377
Silverado Resort,California,976,516,Napa,135965,83,57,26,27,69,262,0,50.5,44.5,N/A,15,30,61,63.14%,$161739,0%,$2200,901,$1800000,2510,$717,38,32.70%,6%,44%,47%,76,24 mins,3.00%,0.10%,-21.50%,Napa County,63.90%,28.40%,N/A,1.28%,97.45%,1.80%,9.5%,Pacific Standard Time,17,5.4,27.00%,16,0,23,18.9%,0.00,0,0,1929
St. Helena,California,6056,1222,Napa,135965,89,58,31,37,71,263,0,50.5,44.5,N/A,11,23,48,N/A,$78421,7.1%,N/A,N/A,$1700000,1839,$924,44,48.60%,6%,44%,50%,76,24 mins,3.00%,0.10%,4.10%,Napa County,63.90%,28.40%,N/A,N/A,N/A,29.90%,21.2%,Pacific Standard Time,17,5.4,46.80%,83,N/A,91,19.8%,3.42,0,0,31326
Yountville,California,2978,2003,Napa,135965,86,57,29,31,69,266,0,50.5,44.5,5,8,24,64,41.75%,$65568,2.2%,N/A,N/A,$1200000,1405,$854,32,50.30%,4%,39%,49%,71,27 mins,3.00%,0.10%,1.30%,Napa County,63.90%,28.40%,3.18%,2.51%,84.57%,11.90%,10.6%,Pacific Standard Time,17,5.4,60.70%,67,N/A,68,20.0%,3.37,0,0,1828
