City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Belmont Estates,Virginia,1204,1824,Harrisonburg,135550,$83964,32.14%,63,$519000,1887,$275,31,100.0%,N/A,22.90%,N/A,N/A,1.33%,2.89%,38.37%,Rockingham County,25.00%,69.30%,0.0%,0.25%,74.75%,23.26%,15.12%,Eastern Standard Time,85,42,43,40,125,175,24,60.7,42.8,N/A,74,1352,4.2,0.66,VA-06336
Bridgewater,Virginia,6090,2417,Harrisonburg,135550,$62585,49.55%,31,$442000,3027,$146,38,70.67%,$942,50.60%,0,372,10.61%,4.93%,59.07%,Rockingham County,25.00%,69.30%,0.46%,5.16%,86.34%,4.11%,7.44%,Eastern Standard Time,85,42,43,40,121,174,20,61.8,43.6,5,67,1352,4.2,2.52,VA-09656
Broadway,Virginia,3925,1649,Harrisonburg,135550,$55265,24.63%,34,$228000,1365,$167,27,69.24%,$778,50.60%,0,327,8.0%,3.82%,75.51%,Rockingham County,25.00%,69.30%,0.41%,0.0%,89.25%,7.97%,6.01%,Eastern Standard Time,85,41,44,38,122,173,20,61.2,43.1,5,79,1352,4.2,2.38,VA-10040
Dayton,Virginia,1540,1495,Harrisonburg,135550,$60150,36.9%,36,$280000,1400,$200,56,69.48%,$858,48.00%,61,488,7.73%,2.72%,73.17%,Rockingham County,25.00%,69.30%,5.58%,2.08%,79.55%,11.56%,7.27%,Eastern Standard Time,85,42,43,39,125,179,24,61,43.1,5,74,1352,4.2,1.03,VA-21648
Elkton,Virginia,2872,909,Harrisonburg,135550,$56307,14.79%,41,$266000,1970,$135,42,75.77%,$728,46.40%,103,2448,7.42%,0.76%,68.69%,Rockingham County,25.00%,69.30%,0.0%,2.4%,97.21%,0.38%,1.11%,Eastern Standard Time,85,41,44,40,124,174,19,62.6,44.1,5,78,1352,4.2,3.16,VA-25408
Harrisonburg,Virginia,53558,3089,Harrisonburg,135550,$49117,35.24%,26,$241000,1516,$159,34,39.1%,$911,69.30%,205,1698,25.55%,4.74%,59.8%,Harrisonburg County,56.80%,34.80%,3.46%,7.79%,65.27%,20.0%,16.35%,Eastern Standard Time,85,42,43,40,125,169,24,61,42.9,5,52,1352,4.3,17.34,VA-35624
Massanetta Springs,Virginia,5819,1225,Harrisonburg,135550,$88598,55.74%,48,$327000,1749,$187,17,74.86%,$1378,32.80%,N/A,N/A,1.57%,1.74%,60.18%,Rockingham County,25.00%,69.30%,2.89%,5.43%,90.46%,0.65%,6.39%,Eastern Standard Time,85,42,43,40,125,175,23,61.8,43.5,N/A,77,1352,4.2,4.75,VA-50020
Massanutten,Virginia,2610,264,Harrisonburg,135550,$76875,44.77%,48,$383000,2364,$162,31,77.2%,$1060,41.90%,N/A,N/A,8.54%,3.45%,67.11%,Rockingham County,25.00%,69.30%,0.84%,3.3%,81.19%,11.88%,9.12%,Eastern Standard Time,85,42,43,41,124,178,23,60.7,42.7,5,80,1352,4.2,9.9,VA-50030
Mount Crawford,Virginia,514,1071,Harrisonburg,135550,$70208,29.33%,34,N/A,N/A,N/A,43,68.09%,$843,33.80%,N/A,N/A,14.4%,2.78%,76.42%,Rockingham County,25.00%,69.30%,1.36%,0.0%,83.66%,14.2%,18.68%,Eastern Standard Time,85,42,43,41,126,172,19,62.2,43.8,5,74,1352,4.2,0.48,VA-53864
Timberville,Virginia,2666,1990,Harrisonburg,135550,$49896,12.63%,33,$275000,1657,$166,45,65.42%,$865,51.80%,148,630,9.34%,2.4%,69.06%,Rockingham County,25.00%,69.30%,0.41%,1.05%,82.9%,13.13%,7.5%,Eastern Standard Time,85,41,44,37,122,177,24,61.3,43.2,5,78,1352,4.2,1.34,VA-78736
