zipCode,cityName,stateName,countyName,population,populationDensity,augHi,decHi,augHiMinusDecHi,numInchesOfRain,numDaysOfRain,numSunnyDays,numInchesOfSnow,numviolentCrime,propertyCrime,medianAge,medianIncome,medianHomePrice,%Asian,%Black,%White,%Hispanic
32639,gulf_hammock,florida,Levy County,83,1,90,68,22,54,113,243,0,23.5,51.7,55.6,0,113500,N/A,N/A,94,N/A
32356,salem,florida,Taylor County,122,3,90,68,22,53,106,231,0,21.9,21.1,61.3,24492,94800,N/A,N/A,100,N/A
33960,venus,florida,Highlands County,738,3,92,75,17,51,110,266,0,18.2,35.5,56,33272,175500,N/A,N/A,86.7,11.4
33944,palmdale,florida,Glades County,264,5,91,76,15,52,105,266,0,12.5,20.8,41.6,34205,133600,N/A,N/A,100,N/A
32359,steinhatchee,florida,Taylor County,1240,8,90,68,22,55,110,232,0,31.9,39.7,63.7,33750,126000,2.4,N/A,97.6,N/A
33930,felda,florida,Hendry County,999,9,92,77,15,51,105,266,0,69,79.8,22.8,27825,152900,N/A,N/A,28.4,71.6
33857,lorida,florida,Highlands County,1892,10,92,75,17,51,110,250,0,21.6,39.9,49.1,29129,140200,N/A,N/A,60.3,39.2
32430,clarksville,florida,Calhoun County,899,11,91,64,27,61,110,240,0,23.4,35.9,50.5,39688,97800,N/A,N/A,88.3,5.9
32449,wewahitchka,florida,Calhoun County,595,12,90,65,25,63,105,241,0,15.9,26.6,36.4,37125,91200,N/A,N/A,100,N/A
32334,hosford,florida,Liberty County,2094,13,92,66,26,62,108,233,0,29.4,36.4,37.7,44545,88600,N/A,N/A,97.5,N/A
32709,christmas,florida,Orange County,1742,15,91,72,19,53,116,236,0,30.7,35.7,52,43869,273600,N/A,N/A,93,7
34251,myakka_city,florida,Manatee County,5223,18,91,74,17,57,105,251,0,15.7,20.1,43.6,65964,350500,1.4,N/A,88.7,7.7
32625,cedar_key,florida,Levy County,1564,18,90,68,22,56,111,244,0,35.6,40.8,49.9,45625,220200,N/A,N/A,99.2,N/A
32061,lulu,florida,Columbia County,443,20,91,67,24,52,113,225,0,45.3,64.1,37.4,66250,229700,N/A,N/A,100,N/A
32531,baker,florida,Okaloosa County,5546,26,91,64,27,67,117,228,0,17.9,29.2,42.1,59121,183000,N/A,N/A,92.7,N/A
32564,holt,florida,Okaloosa County,2569,28,91,64,27,66,118,228,0,17.9,25.5,43.5,36636,152900,N/A,N/A,96.1,N/A
32134,fort_mc_coy,florida,Marion County,7242,30,92,71,21,52,107,230,0,35.2,44.3,51.7,37005,61000,N/A,N/A,92.9,5.1
32071,o_brien,florida,Suwannee County,3172,30,92,68,24,53,99,225,0,34.3,42.8,35.3,33056,118500,N/A,N/A,88.4,5.1
32102,astor,florida,Lake County,2178,35,91,70,21,52,114,229,0,40.5,47,60.1,30000,178800,N/A,N/A,84.8,12.8
32180,pierson,florida,Volusia County,3825,36,90,70,20,52,113,229,0,30.3,36.7,35.8,37061,169500,N/A,N/A,64.4,34
32461,rosemary_beach,florida,Walton County,22,37,90,64,26,60,109,232,0,19.9,33.2,6.9,0,935200,N/A,N/A,100,N/A
32668,morriston,florida,Levy County,4619,38,91,70,21,54,114,237,0,27.4,33.6,55.6,43658,222700,N/A,N/A,84.2,13.7
32619,bell,florida,Gilchrist County,4475,38,90,67,23,54,114,225,0,37.1,44.3,41.5,39278,128300,N/A,N/A,98.1,1.2
32421,altha,florida,Calhoun County,5344,39,91,64,27,59,111,237,0,25.2,28.8,37.8,36042,90900,N/A,N/A,93.8,2.4
32147,hollister,florida,Putnam County,668,39,91,69,22,51,111,225,0,63.6,74.6,26,20147,25800,N/A,N/A,100,N/A
33538,lake_panasoffkee,florida,Sumter County,4435,46,92,72,20,51,112,239,0,40.1,46.9,53.2,32387,139100,N/A,N/A,96,3.2
32692,suwannee,florida,Dixie County,246,47,90,68,22,55,111,244,0,19.1,35.4,61.2,57454,90000,N/A,N/A,100,N/A
32767,lake_kathryn,florida,Lake County,3057,48,91,71,20,54,120,229,0,44.9,51.9,46.4,35191,129900,N/A,N/A,99.3,N/A
34137,copeland,florida,Collier County,485,49,91,77,14,56,123,261,0,22.6,26.6,32.3,20897,111300,N/A,N/A,89.5,10.5
33849,kathleen,florida,Polk County,1121,50,91,74,17,54,113,244,0,15.3,24.8,44.1,57260,246500,9.1,N/A,78.3,8.3
32323,lanark_village,florida,Franklin County,400,52,91,65,26,59,103,240,0,63.9,71.2,37.8,21458,54900,N/A,N/A,96.8,N/A
32346,panacea,florida,Wakulla County,1803,55,92,65,27,59,104,231,0,31.3,38.5,48.5,36989,252800,N/A,N/A,99.6,N/A
32355,st._marks,florida,Wakulla County,203,59,92,65,27,58,112,231,0,25.4,32.1,55.3,51719,142900,N/A,N/A,89.2,8.4
32438,fountain,florida,Bay County,3783,60,91,64,27,62,110,239,0,35.3,54.5,47.4,39037,112700,N/A,N/A,95.8,1.2
34661,nobleton,florida,Hernando County,180,67,92,72,20,52,112,243,0,30.9,39.7,17,56806,49300,N/A,N/A,100,N/A
33122,miami,florida,Miami-Dade County,402,68,90,77,13,66,138,249,0,48.2,63.1,28.2,0,435300,10.4,N/A,10.2,68.2
32732,geneva,florida,Seminole County,4559,81,92,72,20,53,119,234,0,17,22.2,51.2,45850,320400,1.3,N/A,94.1,N/A
