zipCode,cityName,stateName,countyName,population,populationDensity,augHi,decHi,augHiMinusDecHi,numInchesOfRain,numDaysOfRain,numSunnyDays,numInchesOfSnow,numviolentCrime,propertyCrime,medianAge,medianIncome,medianHomePrice,%Asian,%Black,%White,%Hispanic
97001,antelope,oregon,Wasco County,371,1,85,40,45,14,85,199,13,40.5,49.2,41.8,67723,418000,5.4,N/A,79.2,14.6
97014,cascade_locks,oregon,Hood River County,1376,38,81,43,38,67,166,142,13,35.0,42.5,51.1,34405,241700,3.9,N/A,86.5,8.1
97024,fairview,oregon,Multnomah County,10456,2986,81,45,36,45,156,142,3,33.0,41.6,39.8,51633,332900,3.7,3.9,70.7,16.6
97035,lake_oswego,oregon,Clackamas County,25466,4226,82,47,35,42,147,142,2,19.0,25.8,44,73330,576700,7.6,N/A,81.2,5.2
97050,rufus,oregon,Sherman County,190,25,88,41,47,13,87,201,9,34.7,42.3,59.7,28500,141600,N/A,N/A,82.6,17.4
97063,pine_hollow,oregon,Wasco County,925,7,85,39,46,20,109,153,30,32.6,39.3,63.7,39911,224600,N/A,N/A,89.6,6.6
97101,amity,oregon,Yamhill County,4003,72,83,45,38,43,138,157,4,25.0,30.3,38.4,55536,273300,1.4,N/A,80.3,12.4
97113,cornelius,oregon,Washington County,14764,415,82,45,37,42,157,143,3,27.4,33.3,31.7,56651,298600,1.2,N/A,49.0,46.4
97124,hillsboro,oregon,Washington County,53582,1241,82,47,35,39,157,142,3,24.6,32.4,34.2,72387,388600,12.8,1.1,61.9,18.3
97136,rockaway_beach,oregon,Tillamook County,1683,82,68,50,18,96,186,126,5,41.5,53.2,59.3,37847,290800,N/A,N/A,89.6,4.6
97149,neskowin,oregon,Tillamook County,774,30,74,48,26,77,172,143,3,13.4,20.3,62.2,49063,454100,6.8,N/A,79.8,3.7
97211,portland,oregon,Multnomah County,34856,4801,80,45,35,40,159,142,3,20.2,72.2,35.8,62938,465100,3.2,14.4,69.2,7.1
97221,portland,oregon,Multnomah County,12363,2886,81,47,34,41,152,142,2,17.3,55.1,44.5,92174,606900,4.4,1.2,85.4,4.1
97233,portland,oregon,Multnomah County,42001,9290,81,45,36,44,156,142,3,54.8,82.7,31,39150,299000,9.4,11.3,50.7,21.2
97306,salem,oregon,Marion County,29530,887,81,46,35,46,159,157,4,25.7,37.4,39.1,57426,315100,2.6,N/A,85.0,7.5
