VRTPX,Vanguard Real Estate II Index,13.97
PLD,Prologis Inc,6.46
AMT,American Tower Corp,5.41
WELL,Welltower Inc,5.27
EQIX,Equinix Inc,4.78
SPG,Simon Property Group Inc,3.42
DLR,Digital Realty Trust Inc,2.92
O,Realty Income Corp,2.81
PSA,Public Storage,2.69
CBRE,CBRE Group Inc Class A,2.44
CCI,Crown Castle Inc,2.3
EXR,Extra Space Storage Inc,1.82
AVB,AvalonBay Communities Inc,1.81
CSGP,CoStar Group Inc,1.76
VICI,VICI Properties Inc Ordinary Shares,1.76
VTR,Ventas Inc,1.63
IRM,Iron Mountain Inc,1.54
EQR,Equity Residential,1.43
SBAC,SBA Communications Corp Class A,1.32
WY,Weyerhaeuser Co,1.23
ESS,Essex Property Trust Inc,1.13
INVH,Invitation Homes Inc,1.11
MAA,Mid-America Apartment Communities Inc,1.11
SUI,Sun Communities Inc,0.98
ARE,Alexandria Real Estate Equities Inc,0.91
KIM,Kimco Realty Corp,0.84
DOC,Healthpeak Properties Inc,0.81
UDR,UDR Inc,0.8
WPC,W.P. Carey Inc,0.79
GLPI,Gaming and Leisure Properties Inc,0.77
CPT,Camden Property Trust,0.74
REG,Regency Centers Corp,0.74
JLL,Jones Lang LaSalle Inc,0.73
ELS,Equity Lifestyle Properties Inc,0.7
Z,Zillow Group Inc Class C,0.69
AMH,American Homes 4 Rent Class A,0.69
HST,Host Hotels & Resorts Inc,0.63
LAMR,Lamar Advertising Co Class A,0.61
BXP,BXP Inc,0.6
OHI,Omega Healthcare Investors Inc,0.56
CUBE,CubeSmart,0.53
REXR,Rexford Industrial Realty Inc,0.52
EGP,EastGroup Properties Inc,0.51
BRX,Brixmor Property Group Inc,0.48
FRT,Federal Realty Investment Trust,0.45
NNN,NNN REIT Inc,0.45
FR,First Industrial Realty Trust Inc,0.43
ADC,Agree Realty Corp,0.43
VNO,Vornado Realty Trust,0.38
TRNO,Terreno Realty Corp,0.38
STAG,Stag Industrial Inc,0.37
COLD,Americold Realty Trust Inc,0.35
,Mktliq 12/31/2049,0.34
HR,Healthcare Realty Trust Inc,0.32
EPRT,Essential Properties Realty Trust Inc,0.32
RHP,Ryman Hospitality Properties Inc,0.32
CUZ,Cousins Properties Inc,0.29
KRG,Kite Realty Group Trust,0.28
IRT,Independence Realty Trust Inc,0.28
CTRE,CareTrust REIT Inc,0.27
SLG,SL Green Realty Corp,0.26
AHR,American Healthcare REIT Inc Ordinary Shares,0.26
PECO,Phillips Edison & Co Inc,0.26
MAC,Macerich Co,0.25
,Slcmt1142,0.24
ZG,Zillow Group Inc Class A,0.23
COMP,Compass Inc Class A,0.23
EPR,EPR Properties,0.23
KRC,Kilroy Realty Corp,0.23
LINE,Lineage Inc REIT,0.23
SBRA,Sabra Health Care REIT Inc,0.22
SKT,Tanger Inc,0.22
RYN,Rayonier Inc,0.21
PCH,PotlatchDeltic Corp,0.21
APLE,Apple Hospitality REIT Inc,0.19
NHI,National Health Investors Inc,0.18
MPW,Medical Properties Trust Inc,0.18
BNL,Broadstone Net Lease Inc Ordinary Shares,0.18
HIW,Highwoods Properties Inc,0.17
CDP,COPT Defense Properties,0.17
DEI,Douglas Emmett Inc,0.16
NSA,National Storage Affiliates Trust,0.16
FCPT,Four Corners Property Trust Inc,0.16
AKR,Acadia Realty Trust,0.16
CWK,Cushman & Wakefield PLC,0.15
HHH,Howard Hughes Holdings Inc,0.15
,Millrose Properties Inc Class A,0.15
LXP,LXP Industrial Trust,0.15
UE,Urban Edge Properties,0.14
OUT,Outfront Media Inc,0.14
PK,Park Hotels & Resorts Inc,0.14
CURB,Curbline Properties Corp,0.13
IVT,InvenTrust Properties Corp,0.13
NMRK,Newmark Group Inc Class A,0.12
JOE,The St. Joe Co,0.11
IIPR,Innovative Industrial Properties Inc,0.11
SHO,Sunstone Hotel Investors Inc,0.11
DRH,Diamondrock Hospitality Co,0.1
ELME,Elme Communities,0.09
GNL,Global Net Lease Inc,0.09
LTC,LTC Properties Inc,0.09
GTY,Getty Realty Corp,0.09
XHR,Xenia Hotels & Resorts Inc,0.08
UNIT,Uniti Group Inc,0.08
SILA,Sila Realty Trust Inc,0.08
RLJ,RLJ Lodging Trust Registered Shs of Benef Interest,0.08
UMH,UMH Properties Inc,0.08
VRE,Veris Residential Inc,0.08
PEB,Pebblebrook Hotel Trust,0.08
AIV,Apartment Investment & Management Co Ordinary Shares - Class A,0.07
NTST,Netstreit Corp Ordinary Shares,0.07
JBGS,JBG SMITH Properties,0.07
ALEX,Alexander & Baldwin Inc,0.07
ESRT,Empire State Realty Trust Inc Class A,0.07
LB,LandBridge Co LLC Class A shares,0.06
KW,Kennedy-Wilson Holdings Inc,0.06
NXRT,NexPoint Residential Trust Inc,0.06
AAT,American Assets Trust Inc,0.06
CSR,Centerspace,0.06
DEA,Easterly Government Properties Inc,0.06
OPEN,Opendoor Technologies Inc Ordinary Shares - Class A,0.05
MMI,Marcus & Millichap Inc,0.05
SAFE,Safehold Inc,0.05
BDN,Brandywine Realty Trust,0.05
PDM,Piedmont Office Realty Trust Inc Class A,0.05
RDFN,Redfin Corp,0.04
EXPI,eXp World Holdings Inc,0.04
SITC,SITE Centers Corp,0.04
INN,Summit Hotel Properties Inc,0.04
GOOD,Gladstone Commercial Corp,0.04
PLYM,Plymouth Industrial REIT Inc,0.04
AHH,Armada Hoffler Properties Inc,0.04
PGRE,Paramount Group Inc,0.04
FOR,Forestar Group Inc,0.03
