JPM,JPMorgan Chase & Co,8.97
BRK.B,Berkshire Hathaway Inc Class B,8.23
MA,Mastercard Inc Class A,5.69
V,Visa Inc Class A,4.67
BAC,Bank of America Corp,3.8
WFC,Wells Fargo & Co,3.1
,Mktliq 12/31/2049,2.46
GS,The Goldman Sachs Group Inc,2.35
SPGI,S&P Global Inc,2.04
AXP,American Express Co,2.04
PGR,Progressive Corp,1.99
MS,Morgan Stanley,1.94
C,Citigroup Inc,1.82
BLK,BlackRock Inc,1.73
SCHW,Charles Schwab Corp,1.65
FI,Fiserv Inc,1.61
MMC,Marsh & McLennan Companies Inc,1.41
BX,Blackstone Inc,1.4
CB,Chubb Ltd,1.32
ICE,Intercontinental Exchange Inc,1.2
CME,CME Group Inc Class A,1.1
AJG,Arthur J. Gallagher & Co,1.02
KKR,KKR & Co Inc Ordinary Shares,1.01
MCO,Moodys Corp,0.99
AON,Aon PLC Class A,0.96
PNC,PNC Financial Services Group Inc,0.92
COF,Capital One Financial Corp,0.92
USB,U.S. Bancorp,0.88
PYPL,PayPal Holdings Inc,0.81
BK,Bank of New York Mellon Corp,0.77
TFC,Truist Financial Corp,0.74
TRV,The Travelers Companies Inc,0.71
APO,Apollo Global Management Inc Class A,0.71
AFL,Aflac Inc,0.7
AMP,Ameriprise Financial Inc,0.63
ALL,Allstate Corp,0.63
AIG,American International Group Inc,0.62
MET,MetLife Inc,0.61
DFS,Discover Financial Services,0.59
MSCI,MSCI Inc,0.56
COIN,Coinbase Global Inc Ordinary Shares - Class A,0.51
PRU,Prudential Financial Inc,0.49
FIS,Fidelity National Information Services Inc,0.46
XYZ,Block Inc Class A,0.44
NDAQ,Nasdaq Inc,0.43
ACGL,Arch Capital Group Ltd,0.42
WTW,Willis Towers Watson PLC,0.41
HIG,Hartford Insurance Group Inc,0.41
ARES,Ares Management Corp Ordinary Shares - Class A,0.39
MTB,M&T Bank Corp,0.38
HOOD,Robinhood Markets Inc Class A,0.37
RJF,Raymond James Financial Inc,0.36
BRO,Brown & Brown Inc,0.35
STT,State Street Corp,0.35
FITB,Fifth Third Bancorp,0.35
LPLA,LPL Financial Holdings Inc,0.33
GPN,Global Payments Inc,0.32
MKL,Markel Group Inc,0.3
HBAN,Huntington Bancshares Inc,0.29
CPAY,Corpay Inc,0.29
CINF,Cincinnati Financial Corp,0.28
