LIN,Linde PLC,16.36
SHW,Sherwin-Williams Co,6.34
APD,Air Products & Chemicals Inc,5.17
CRH,CRH PLC,5.16
ECL,Ecolab Inc,5.09
FCX,Freeport-McMoRan Inc,4
NEM,Newmont Corp,3.59
CTVA,Corteva Inc,3.24
DD,DuPont de Nemours Inc,2.52
VMC,Vulcan Materials Co,2.41
NUE,Nucor Corp,2.38
MLM,Martin Marietta Materials Inc,2.19
IP,International Paper Co,2.09
DOW,Dow Inc,2.01
SW,Smurfit WestRock PLC,2
PPG,PPG Industries Inc,1.97
IFF,International Flavors & Fragrances Inc,1.54
LYB,LyondellBasell Industries NV Class A,1.47
STLD,Steel Dynamics Inc,1.46
PKG,Packaging Corp of America,1.41
RS,Reliance Inc,1.21
BALL,Ball Corp,1.18
RPM,RPM International Inc,1.17
AVY,Avery Dennison Corp,1.11
AMCR,Amcor PLC Ordinary Shares,1.08
CF,CF Industries Holdings Inc,1.07
EMN,Eastman Chemical Co,0.84
CCK,Crown Holdings Inc,0.79
ATR,AptarGroup Inc,0.72
RGLD,Royal Gold Inc,0.71
CRS,Carpenter Technology Corp,0.7
ALB,Albemarle Corp,0.69
X,United States Steel Corp,0.65
AA,Alcoa Corp,0.64
BERY,Berry Global Group Inc,0.61
MOS,The Mosaic Co,0.6
GPK,Graphic Packaging Holding Co,0.59
AXTA,Axalta Coating Systems Ltd,0.58
EXP,Eagle Materials Inc,0.56
ATI,ATI Inc,0.53
ALTM,Arcadium Lithium PLC,0.47
LPX,Louisiana-Pacific Corp,0.47
ESI,Element Solutions Inc,0.44
BCPC,Balchem Corp,0.42
CMC,Commercial Metals Co,0.42
CE,Celanese Corp Class A,0.41
CLF,Cleveland-Cliffs Inc,0.39
KNF,Knife River Holding Co,0.37
CBT,Cabot Corp,0.35
FMC,FMC Corp,0.35
SON,Sonoco Products Co,0.34
SLGN,Silgan Holdings Inc,0.34
NEU,NewMarket Corp,0.34
SEE,Sealed Air Corp,0.33
WLK,Westlake Corp,0.32
AVNT,Avient Corp,0.29
CDE,Coeur Mining Inc,0.24
HL,Hecla Mining Co,0.23
FUL,H.B. Fuller Co,0.23
MP,MP Materials Corp Ordinary Shares - Class A,0.22
OLN,Olin Corp,0.22
ASH,Ashland Inc,0.21
HUN,Huntsman Corp,0.21
SMG,The Scotts Miracle Gro Co Class A,0.19
IOSP,Innospec Inc,0.19
HCC,Warrior Met Coal Inc,0.19
SLVM,Sylvamo Corp Ordinary Shares When Issued,0.18
SXT,Sensient Technologies Corp,0.18
CC,The Chemours Co,0.17
MTX,Minerals Technologies Inc,0.16
KWR,Quaker Houghton,0.15
HWKN,Hawkins Inc,0.15
MTRN,Materion Corp,0.14
NGVT,Ingevity Corp,0.13
OI,O-I Glass Inc,0.13
AMR,Alpha Metallurgical Resources Inc,0.12
PRM,Perimeter Solutions Inc,0.11
GEF,Greif Inc Class A,0.1
SCL,Stepan Co,0.1
,Xab Materials Mar25 Xcme 20250321,0.1
KALU,Kaiser Aluminum Corp,0.09
USLM,United States Lime & Minerals Inc,0.08
CENX,Century Aluminum Co,0.08
PCT,PureCycle Technologies Inc Ordinary Shares,0.08
WS,Worthington Steel Inc,0.07
TROX,Tronox Holdings PLC Shs Class A,0.07
SXC,SunCoke Energy Inc,0.06
ECVT,Ecovyst Inc,0.06
PTVE,Pactiv Evergreen Inc Ordinary Shares,0.06
OEC,Orion SA,0.06
RYI,Ryerson Holding Corp,0.06
ASIX,AdvanSix Inc,0.06
MAGN,Magnera Corp,0.05
TRS,TriMas Corp,0.05
MTUS,Metallus Inc,0.05
,Ss Inst Treas Plus Mm Fund Tru Ss Inst Treas Plus Mm Fund Tru,0.05
KOP,Koppers Holdings Inc,0.04
ASPN,Aspen Aerogels Inc,0.04
IE,Ivanhoe Electric Inc,0.03
CLW,Clearwater Paper Corp,0.03
CMP,Compass Minerals International Inc,0.03
MATV,Mativ Holdings Inc,0.03
LXU,LSB Industries Inc,0.03
RDUS,Radius Recycling Inc Ordinary Shares - Class A,0.03
MYE,Myers Industries Inc,0.03
MERC,Mercer International Inc,0.03
ZEUS,Olympic Steel Inc,0.03
PACK,Ranpak Holdings Corp Ordinary Shares - Class A,0.02
METC,Ramaco Resources Inc Class A,0.02
GEF.B,Greif Inc Class B,0.02
DNA,Ginkgo Bioworks Holdings Inc,0.02
,Us Dollar,0.01
KRO,Kronos Worldwide Inc,0.01
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,
