Basket Holdings: 34AS OF 02/28/2025,,
All Basket Holdings,,
Symbol,Company,Weight
NEE,NextEra Energy Inc,11.93
SO,Southern Co,8.13
DUK,Duke Energy Corp,7.5
CEG,Constellation Energy Corp,6.48
AEP,American Electric Power Co Inc,4.67
D,Dominion Energy Inc,3.93
VST,Vistra Corp,3.76
SRE,Sempra,3.75
EXC,Exelon Corp,3.67
XEL,Xcel Energy Inc,3.42
PEG,Public Service Enterprise Group Inc,3.34
ETR,Entergy Corp,3.1
PCG,PG&E Corp,2.95
ED,Consolidated Edison Inc,2.91
WEC,WEC Energy Group Inc,2.79
DTE,DTE Energy Co,2.29
AEE,Ameren Corp,2.24
AWK,American Water Works Co Inc,2.19
PPL,PPL Corp,2.15
ATO,Atmos Energy Corp,1.95
ES,Eversource Energy,1.91
CNP,CenterPoint Energy Inc,1.85
CMS,CMS Energy Corp,1.8
NRG,NRG Energy Inc,1.77
EIX,Edison International,1.74
FE,FirstEnergy Corp,1.64
NI,NiSource Inc,1.58
LNT,Alliant Energy Corp,1.37
EVRG,Evergy Inc,1.31
PNW,Pinnacle West Capital Corp,0.87
AES,The AES Corp,0.68
,Xau Utilities Mar25 Xcme 20250321,0.21
,Ssi Us Gov Money Market Class State Street Inst Us Gov,0.08
,Usd,0.01
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,
