NVIDIA CORP,NVDA,11.858800
MICROSOFT CORP,MSFT,6.222512
APPLE INC,AAPL,6.205225
META PLATFORMS INC CLASS A,META,5.371893
AMAZON.COM INC,AMZN,4.415978
ALPHABET INC CL A,GOOGL,3.935363
BROADCOM INC,AVGO,3.696023
ALPHABET INC CL C,GOOG,3.233416
TESLA INC,TSLA,2.863345
ELI LILLY + CO,LLY,2.715097
VISA INC CLASS A SHARES,V,2.379861
BERKSHIRE HATHAWAY INC CL B,BRK.B,1.928492
MASTERCARD INC   A,MA,1.794847
NETFLIX INC,NFLX,1.689955
COSTCO WHOLESALE CORP,COST,1.660530
JPMORGAN CHASE + CO,JPM,1.584364
SALESFORCE INC,CRM,1.104857
WALMART INC,WMT,1.028111
ORACLE CORP,ORCL,1.015988
INTL BUSINESS MACHINES CORP,IBM,0.927702
PALANTIR TECHNOLOGIES INC A,PLTR,0.767080
INTUITIVE SURGICAL INC,ISRG,0.722645
SERVICENOW INC,NOW,0.701523
INTUIT INC,INTU,0.695617
CATERPILLAR INC,CAT,0.660232
PROGRESSIVE CORP,PGR,0.657618
UBER TECHNOLOGIES INC,UBER,0.651800
ABBVIE INC,ABBV,0.640614
HOME DEPOT INC,HD,0.631434
BOOKING HOLDINGS INC,BKNG,0.628712
AMERICAN EXPRESS CO,AXP,0.617664
BOSTON SCIENTIFIC CORP,BSX,0.610532
VERTEX PHARMACEUTICALS INC,VRTX,0.531612
PHILIP MORRIS INTERNATIONAL,PM,0.523257
FISERV INC,FI,0.510460
PALO ALTO NETWORKS INC,PANW,0.496629
EATON CORP PLC,ETN,0.480354
RTX CORP,RTX,0.413508
NEXTERA ENERGY INC,NEE,0.401775
KLA CORP,KLAC,0.386248
GE VERNOVA INC,GEV,0.378972
GENERAL ELECTRIC,GE,0.369560
CROWDSTRIKE HOLDINGS INC   A,CRWD,0.367073
ARISTA NETWORKS INC,ANET,0.353293
AMPHENOL CORP CL A,APH,0.331328
PARKER HANNIFIN CORP,PH,0.329560
TRANE TECHNOLOGIES PLC,TT,0.320326
TJX COMPANIES INC,TJX,0.316856
O REILLY AUTOMOTIVE INC,ORLY,0.316678
TRANSDIGM GROUP INC,TDG,0.310606
S+P GLOBAL INC,SPGI,0.303255
AMGEN INC,AMGN,0.300348
ADOBE INC,ADBE,0.291290
MOTOROLA SOLUTIONS INC,MSI,0.290635
CONSTELLATION ENERGY,CEG,0.286342
AUTOMATIC DATA PROCESSING,ADP,0.281774
STRYKER CORP,SYK,0.277895
MORGAN STANLEY,MS,0.275221
CHIPOTLE MEXICAN GRILL INC,CMG,0.270603
CINTAS CORP,CTAS,0.269777
T MOBILE US INC,TMUS,0.267509
DOORDASH INC   A,DASH,0.266024
APOLLO GLOBAL MANAGEMENT INC,APO,0.263728
FORTINET INC,FTNT,0.258188
AUTOZONE INC,AZO,0.248997
AUTODESK INC,ADSK,0.236391
AIRBNB INC CLASS A,ABNB,0.229380
HILTON WORLDWIDE HOLDINGS IN,HLT,0.227003
MARRIOTT INTERNATIONAL  CL A,MAR,0.223577
ROYAL CARIBBEAN CRUISES LTD,RCL,0.219508
HOWMET AEROSPACE INC,HWM,0.218036
DEERE + CO,DE,0.216609
INTERCONTINENTAL EXCHANGE IN,ICE,0.214358
APPLIED MATERIALS INC,AMAT,0.213621
MARSH + MCLENNAN COS,MMC,0.206535
SIMON PROPERTY GROUP INC,SPG,0.204533
WELLTOWER INC,WELL,0.198315
AMERIPRISE FINANCIAL INC,AMP,0.194976
REPUBLIC SERVICES INC,RSG,0.194863
COPART INC,CPRT,0.193459
PAYPAL HOLDINGS INC,PYPL,0.191394
PUBLIC STORAGE,PSA,0.188768
FAIR ISAAC CORP,FICO,0.186176
ALTRIA GROUP INC,MO,0.184747
VISTRA CORP,VST,0.182776
CUMMINS INC,CMI,0.182183
SHERWIN WILLIAMS CO/THE,SHW,0.181703
MSCI INC,MSCI,0.179719
WASTE MANAGEMENT INC,WM,0.179119
EMERSON ELECTRIC CO,EMR,0.178438
HESS CORP,HES,0.178045
WW GRAINGER INC,GWW,0.177420
AON PLC CLASS A,AON,0.177129
TARGA RESOURCES CORP,TRGP,0.177094
DISCOVER FINANCIAL SERVICES,DFS,0.170211
UNITED RENTALS INC,URI,0.168773
AXON ENTERPRISE INC,AXON,0.166899
QUANTA SERVICES INC,PWR,0.162888
CADENCE DESIGN SYS INC,CDNS,0.162856
CBRE GROUP INC   A,CBRE,0.157819
ARTHUR J GALLAGHER + CO,AJG,0.156239
