Basket Holdings: 25AS OF 02/28/2025,,
All Basket Holdings,,
Symbol,Company,Weight
META,Meta Platforms Inc Class A,20.09
GOOGL,Alphabet Inc Class A,9.11
GOOG,Alphabet Inc Class C,7.5
NFLX,Netflix Inc,7.07
T,AT&T Inc,5.23
TMUS,T-Mobile US Inc,5.16
TTWO,Take-Two Interactive Software Inc,4.99
VZ,Verizon Communications Inc,4.6
DIS,The Walt Disney Co,4.45
CHTR,Charter Communications Inc Class A,4.3
WBD,Warner Bros. Discovery Inc Ordinary Shares - Class A,4.05
CMCSA,Comcast Corp Class A,4.05
LYV,Live Nation Entertainment Inc,3.56
EA,Electronic Arts Inc,3.53
OMC,Omnicom Group Inc,2.55
FOXA,Fox Corp Class A,2.02
NWSA,News Corp Class A,1.72
IPG,The Interpublic Group of Companies Inc,1.61
MTCH,Match Group Inc,1.26
FOX,Fox Corp Class B,1.13
PARA,Paramount Global Class B,1.07
NWS,News Corp Class B,0.57
,Ssi Us Gov Money Market Class State Street Inst Us Gov,0.2
,Future on S&P 500 Mar25,0.18
,Us Dollar,0.01
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,
