Basket Holdings: 40AS OF 02/28/2025,,
All Basket Holdings,,
Symbol,Company,Weight
COST,Costco Wholesale Corp,10.73
WMT,Walmart Inc,9.89
PG,Procter & Gamble Co,9.46
KO,Coca-Cola Co,6.38
PM,Philip Morris International Inc,5.58
PEP,PepsiCo Inc,4.86
MO,Altria Group Inc,4.51
MDLZ,Mondelez International Inc Class A,4.49
CL,Colgate-Palmolive Co,4.3
TGT,Target Corp,3.31
KMB,Kimberly-Clark Corp,2.74
KVUE,Kenvue Inc,2.61
KR,The Kroger Co,2.49
KDP,Keurig Dr Pepper Inc,2.31
MNST,Monster Beverage Corp,2.21
SYY,Sysco Corp,2.14
GIS,General Mills Inc,1.94
STZ,Constellation Brands Inc Class A,1.58
KHC,The Kraft Heinz Co,1.57
CHD,Church & Dwight Co Inc,1.57
HSY,The Hershey Co,1.47
ADM,Archer-Daniels Midland Co,1.3
K,Kellanova Co,1.29
MKC,McCormick & Co Inc Registered Shs Non Vtg,1.2
CLX,Clorox Co,1.12
TSN,Tyson Foods Inc Class A,1.01
EL,The Estee Lauder Companies Inc Class A,0.97
DG,Dollar General Corp,0.94
DLTR,Dollar Tree Inc,0.85
CAG,Conagra Brands Inc,0.7
SJM,JM Smucker Co,0.68
TAP,Molson Coors Beverage Co Shs -B- Non-Voting,0.62
BG,Bunge Global SA,0.6
HRL,Hormel Foods Corp,0.48
CPB,The Campbell`s Co,0.45
WBA,Walgreens Boots Alliance Inc,0.44
LW,Lamb Weston Holdings Inc,0.43
BF.B,Brown-Forman Corp Registered Shs -B- Non Vtg,0.35
,Xap Cons Staples Mar25 Xcme 20250321,0.2
,Ssi Us Gov Money Market Class State Street Inst Us Gov,0.19
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,
