Basket Holdings: 25AS OF 02/28/2025,,
All Basket Holdings,,
Symbol,Company,Weight
XOM,Exxon Mobil Corp,22.42
CVX,Chevron Corp,15.75
COP,ConocoPhillips,7.62
WMB,Williams Companies Inc,4.63
EOG,EOG Resources Inc,4.39
OKE,ONEOK Inc,4.31
SLB,Schlumberger Ltd,4.07
PSX,Phillips 66,3.71
KMI,Kinder Morgan Inc Class P,3.63
MPC,Marathon Petroleum Corp,3.34
BKR,Baker Hughes Co Class A,3.05
TRGP,Targa Resources Corp,3.04
VLO,Valero Energy Corp,2.86
HES,Hess Corp,2.85
OXY,Occidental Petroleum Corp,2.28
FANG,Diamondback Energy Inc,2.06
EQT,EQT Corp,1.99
TPL,Texas Pacific Land Corp,1.86
DVN,Devon Energy Corp,1.65
HAL,Halliburton Co,1.6
CTRA,Coterra Energy Inc Ordinary Shares,1.38
,Xae Energy Mar25 Xcme 20250321,0.75
APA,APA Corp,0.53
,Ssi Us Gov Money Market Class State Street Inst Us Gov,0.16
,Usd,0.05
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,
