city,state,population,number of job postings,job postings per 100k people
Menlo Park,California,33661,755,2242
Palo Alto,California,67082,1492,2224
Mountain View,California,80076,1649,2059
Santa Clara,California,124635,2067,1658
Sunnyvale,California,151565,2280,1504
East Palo Alto,California,29646,295,995
Redwood City,California,84368,688,815
Pleasanton,California,79341,611,770
Burlingame,California,30401,162,532
San Francisco,California,864263,4418,511
Foster City,California,33529,166,495
Cupertino,California,60687,287,472
Newark,California,45554,210,460
San Mateo,California,103500,462,446
San Carlos,California,29954,131,437
Fremont,California,230964,755,326
San Bruno,California,43105,139,322
South San Francisco,California,67120,183,272
Los Altos,California,30527,70,229
San Jose,California,1023031,2323,227
Milpitas,California,75498,165,218
Castro Valley,California,63625,132,207
Campbell,California,41164,78,189
Los Gatos,California,30709,54,175
San Ramon,California,75048,121,161
Alameda,California,78246,90,115
Belmont,California,27110,29,106
Livermore,California,88232,94,106
Dublin,California,57022,58,101
Berkeley,California,120179,115,95
Oakland,California,417442,392,93
Walnut Creek,California,68516,49,71
Concord,California,128160,64,49
San Rafael,California,59180,28,47
Union City,California,74354,29,39
Hayward,California,156917,53,33
Novato,California,55378,14,25
Richmond,California,108853,28,25
Martinez,California,37902,8,21
San Leandro,California,89910,17,18
Hercules,California,25260,4,15
Morgan Hill,California,43136,6,13
Gilroy,California,54159,6,11
Pleasant Hill,California,34662,4,11
Saratoga,California,31013,3,9
Daly City,California,106480,9,8
Lafayette,California,25792,2,7
San Pablo,California,30720,2,6
Oakley,California,39950,2,5
Pittsburg,California,69449,4,5
Ashland,California,24477,1,4
Brentwood,California,58828,2,3
Antioch,California,110026,3,2
Danville,California,44205,1,2
Hollister,California,37182,1,2
Bay Point,California,23708,0,0
El Cerrito,California,24982,0,0
Millbrae,California,22738,0,0
Pacifica,California,39141,0,0
San Lorenzo,California,25101,0,0
,,,,
,,5937463,20811,285.30407
