city,state,population,number of job postings,job postings per 100k people
Alpharetta,Georgia,63929,816,1276.0
Atlanta,Georgia,465230,4801,1031.0
Duluth,Georgia,28988,150,517.0
Kennesaw,Georgia,33433,82,245.0
Lawrenceville,Georgia,29287,60,204.0
Marietta,Georgia,60203,98,162.0
Johns Creek,Georgia,83397,112,134.0
Peachtree Corners,Georgia,41907,52,124.0
Peachtree City,Georgia,34988,42,120.0
Decatur,Georgia,22022,24,108.0
McDonough,Georgia,23504,15,63.0
Canton,Georgia,25806,16,62.0
Tucker,Georgia,35418,22,62.0
Carrollton,Georgia,26054,13,49.0
Union City,Georgia,20793,10,48.0
Roswell,Georgia,94239,32,33.0
Dunwoody,Georgia,48857,13,26.0
Newnan,Georgia,36792,9,24.0
Stockbridge,Georgia,28117,7,24.0
Sandy Springs,Georgia,103703,16,15.0
Chamblee,Georgia,28433,4,14.0
Smyrna,Georgia,55467,8,14.0
Acworth,Georgia,22163,3,13.0
Woodstock,Georgia,29227,4,13.0
East Point,Georgia,35380,4,11.0
Sugar Hill,Georgia,21644,2,9.0
Milton,Georgia,37556,3,7.0
Douglasville,Georgia,32768,2,6.0
Griffin,Georgia,22710,1,4.0
Redan,Georgia,31111,1,3.0
Mableton,Georgia,39745,1,2.0
Candler-McAfee,Georgia,24204,0,0.0
