city,state,population,number of job postings,job postings per 100k people
St. Louis,Missouri,314867,766,243.28
Richmond,Virginia,220892,522,236.31
Cincinnati,Ohio,298957,658,220.1
Atlanta,Georgia,465230,967,207.85
Tacoma,Washington,207280,378,182.36
Rochester,New York,209463,354,169
Orlando,Florida,269414,437,162.2
Birmingham,Alabama,212265,332,156.41
Pittsburgh,Pennsylvania,305012,452,148.19
Baltimore,Maryland,619796,827,133.43
Miami,Florida,443007,591,133.41
Tucson,Arizona,530905,652,122.81
Sacramento,California,489650,584,119.27
Portland,Oregon,630331,729,115.65
Boise,Idaho,220859,255,115.46
Modesto,California,210166,231,109.91
Durham,North Carolina,257232,271,105.35
New Orleans,Louisiana,388182,400,103.04
Tampa,Florida,368087,370,100.52
Fort Wayne,Indiana,262450,255,97.16
Lincoln,Nebraska,277315,266,95.92
Austin,Texas,916906,878,95.76
Norfolk,Virginia,245752,234,95.22
Denver,Colorado,678467,645,95.07
Washington,DC,692683,654,94.41
Colorado Springs,Colorado,450000,423,94
Spokane,Washington,212982,199,93.44
Scottsdale,Arizona,239283,223,93.2
Kansas City,Missouri,476974,439,92.04
Louisville,Kentucky,615478,564,91.64
Glendale,Arizona,241543,221,91.5
Cleveland,Ohio,388812,353,90.79
Indianapolis,Indiana,853431,744,87.18
Baton Rouge,Louisiana,227549,195,85.7
Aurora,Colorado,357323,305,85.36
Minneapolis,Minnesota,411452,333,80.93
Madison,Wisconsin,248856,201,80.77
Oklahoma City,Oklahoma,629191,504,80.1
Winston-Salem,North Carolina,240193,189,78.69
St. Petersburg,Florida,256031,201,78.51
San Bernardino,California,215252,166,77.12
Aurora,Illinois,200946,149,74.15
Philadelphia,Pennsylvania,1569657,1156,73.65
Las Vegas,Nevada,621662,449,72.23
Albuquerque,New Mexico,556718,391,70.23
Fresno,California,519037,361,69.55
Gilbert,Arizona,232176,161,69.34
Omaha,Nebraska,463081,308,66.51
Des Moines,Iowa,214778,140,65.18
Phoenix,Arizona,1574421,1022,64.91
Columbus,Ohio,852144,549,64.43
Bakersfield,California,372680,240,64.4
Greensboro,North Carolina,284816,180,63.2
Seattle,Washington,688245,434,63.06
Plano,Texas,281566,176,62.51
Long Beach,California,470489,293,62.28
Honolulu,Hawaii,350788,215,61.29
Milwaukee,Wisconsin,599086,361,60.26
Arlington,Virginia,229534,137,59.69
Buffalo,New York,259574,153,58.94
San Antonio,Texas,1461623,857,58.63
Fayetteville,North Carolina,210324,123,58.48
Tulsa,Oklahoma,401352,232,57.8
Irvine,California,256877,148,57.62
Oakland,California,417442,240,57.49
Charlotte,North Carolina,826060,473,57.26
Oxnard,California,206732,117,56.6
Virginia Beach,Virginia,450057,252,55.99
Arlington,Texas,388225,212,54.61
Raleigh,North Carolina,449477,245,54.51
Mesa,Arizona,479317,261,54.45
Fremont,California,230964,125,54.12
Irving,Texas,235648,125,53.05
Anchorage,Alaska,298225,152,50.97
Jacksonville,Florida,867313,433,49.92
San Francisco,California,864263,431,49.87
San Diego,California,1390966,689,49.53
Riverside,California,321570,159,49.44
Yonkers,New York,200999,97,48.26
Boston,Massachusetts,669158,320,47.82
Reno,Nevada,239732,114,47.55
Dallas,Texas,1300122,615,47.3
Corpus Christi,Texas,322726,152,47.1
Anaheim,California,349007,164,46.99
Detroit,Michigan,679865,315,46.33
Lubbock,Texas,247323,114,46.09
Montgomery,Alabama,200761,91,45.33
Chandler,Arizona,245160,111,45.28
Fort Worth,Texas,835129,377,45.14
Jersey City,New Jersey,265932,116,43.62
Stockton,California,304358,129,42.38
Houston,Texas,2267336,910,40.14
Chesapeake,Virginia,235410,93,39.51
Santa Clarita,California,209489,82,39.14
Chicago,Illinois,2722586,1053,38.68
San Jose,California,1023031,386,37.73
Newark,New Jersey,282803,106,37.48
El Paso,Texas,678266,253,37.3
Huntington Beach,California,200415,73,36.42
Chula Vista,California,264101,95,35.97
Wichita,Kansas,389054,131,33.67
Los Angeles,California,3949776,1287,32.58
Fontana,California,207086,63,30.42
Memphis,Tennessee,654723,197,30.09
Henderson,Nevada,284817,78,27.39
Laredo,Texas,255305,68,26.63
Staten Island,New York,475948,124,26.05
Hialeah,Florida,237523,60,25.26
Santa Ana,California,334493,80,23.92
Garland,Texas,235965,56,23.73
Brooklyn,New York,2635121,609,23.11
Huntington,New York,204011,41,20.1
The Bronx,New York,1455846,280,19.23
Moreno Valley,California,203691,39,19.15
Babylon,New York,213199,26,12.2
New York,New York,8560072,926,10.82
Queens,New York,2339280,211,9.02
Manhattan,New York,1653877,91,5.5
North Las Vegas,Nevada,234389,11,4.69
Hempstead,New York,772296,16,2.07
Brookhaven,New York,487731,9,1.85
Oyster Bay,New York,298655,3,1
Islip,New York,335302,2,0.6
Nashville-Davidson,Tennessee,654187,1,0.15
Lexington-Fayette,Kentucky,315109,0,0
North Hempstead,New York,231085,0,0
Paradise,Nevada,231858,0,0
