city,state,population,number of job postings,job postings per 100k people
Washington DC,DC,692683,181,26.13
Richmond,Virginia,220892,44,19.92
Orlando,Florida,269414,46,17.07
Raleigh,North Carolina,449477,72,16.02
Irvine,California,256877,41,15.96
Atlanta,Georgia,465230,62,13.33
Tampa,Florida,368087,38,10.32
Kansas City,Missouri,476974,49,10.27
Denver,Colorado,678467,68,10.02
Austin,Texas,916906,90,9.82
Pittsburgh,Pennsylvania,305012,28,9.18
Boise,Idaho,220859,20,9.06
Portland,Oregon,630331,55,8.73
Cincinnati,Ohio,298957,24,8.03
Sacramento,California,489650,39,7.96
St. Louis,Missouri,314867,25,7.94
Baton Rouge,Louisiana,227549,18,7.91
Miami,Florida,443007,35,7.9
Seattle,Washington,688245,52,7.56
Charlotte,North Carolina,826060,61,7.38
Minneapolis,Minnesota,411452,27,6.56
Reno,Nevada,239732,15,6.26
Phoenix,Arizona,1574421,91,5.78
Columbus,Ohio,852144,49,5.75
Dallas,Texas,1300122,74,5.69
Madison,Wisconsin,248856,14,5.63
Anchorage,Alaska,298225,16,5.37
Arlington,Virginia,229534,12,5.23
Spokane,Washington,212982,11,5.16
Buffalo,New York,259574,13,5.01
Rochester,New York,209463,10,4.77
Tucson,Arizona,530905,25,4.71
San Antonio,Texas,1461623,67,4.58
Santa Ana,California,334493,15,4.48
Oklahoma City,Oklahoma,629191,28,4.45
Tacoma,Washington,207280,9,4.34
Omaha,Nebraska,463081,20,4.32
Oakland,California,417442,18,4.31
San Diego,California,1390966,59,4.24
Birmingham,Alabama,212265,9,4.24
Virginia Beach,Virginia,450057,19,4.22
Scottsdale,Arizona,239283,10,4.18
Chandler,Arizona,245160,10,4.08
Riverside,California,321570,13,4.04
Albuquerque,New Mexico,556718,22,3.95
Boston,Massachusetts,669158,26,3.89
Baltimore,Maryland,619796,24,3.87
Las Vegas,Nevada,621662,24,3.86
Lincoln,Nebraska,277315,10,3.61
Cleveland,Ohio,388812,14,3.6
Honolulu,Hawaii,350788,12,3.42
Indianapolis,Indiana,853431,29,3.4
Chicago,Illinois,2722586,91,3.34
Winston-Salem,North Carolina,240193,8,3.33
Norfolk,Virginia,245752,8,3.26
Des Moines,Iowa,214778,7,3.26
Plano,Texas,281566,9,3.2
Fort Worth,Texas,835129,25,2.99
Tulsa,Oklahoma,401352,12,2.99
Houston,Texas,2267336,67,2.96
Jacksonville,Florida,867313,24,2.77
Durham,North Carolina,257232,7,2.72
Louisville,Kentucky,615478,16,2.6
Milwaukee,Wisconsin,599086,15,2.5
San Francisco,California,864263,20,2.31
Colorado Springs,Colorado,450000,10,2.22
Glendale,Arizona,241543,5,2.07
Philadelphia,Pennsylvania,1569657,32,2.04
Stockton,California,304358,6,1.97
St. Petersburg,Florida,256031,5,1.95
Detroit,Michigan,679865,13,1.91
Modesto,California,210166,4,1.9
San Bernardino,California,215252,4,1.86
Newark,New Jersey,282803,5,1.77
Los Angeles,California,3949776,69,1.75
Lubbock,Texas,247323,4,1.62
New Orleans,Louisiana,388182,6,1.55
Corpus Christi,Texas,322726,5,1.55
Wichita,Kansas,389054,6,1.54
Fort Wayne,Indiana,262450,4,1.52
Huntington Beach,California,200415,3,1.5
Oxnard,California,206732,3,1.45
Gilbert,Arizona,232176,3,1.29
Irving,Texas,235648,3,1.27
Laredo,Texas,255305,3,1.18
San Jose,California,1023031,12,1.17
Fresno,California,519037,6,1.16
Anaheim,California,349007,4,1.15
Memphis,Tennessee,654723,7,1.07
Henderson,Nevada,284817,3,1.05
Arlington,Texas,388225,4,1.03
Aurora,Illinois,200946,2,1
Montgomery,Alabama,200761,2,1
Santa Clarita,California,209489,2,0.95
Long Beach,California,470489,4,0.85
Mesa,Arizona,479317,4,0.83
Chula Vista,California,264101,2,0.76
Bakersfield,California,372680,2,0.54
Yonkers,New York,200999,1,0.5
Fayetteville,North Carolina,210324,1,0.48
Fontana,California,207086,1,0.48
New York,New York,8560072,40,0.47
El Paso,Texas,678266,3,0.44
Garland,Texas,235965,1,0.42
Greensboro,North Carolina,284816,1,0.35
Aurora,Colorado,357323,1,0.28
Manhattan,New York,1653877,1,0.06
Queens,New York,2339280,1,0.04
Brooklyn,New York,2635121,0,0
The Bronx,New York,1455846,0,0
Hempstead,New York,772296,0,0
Nashville-Davidson,Tennessee,654187,0,0
Brookhaven,New York,487731,0,0
Staten Island,New York,475948,0,0
Islip,New York,335302,0,0
Lexington-Fayette,Kentucky,315109,0,0
Oyster Bay,New York,298655,0,0
Jersey City,New Jersey,265932,0,0
Hialeah,Florida,237523,0,0
Chesapeake,Virginia,235410,0,0
North Las Vegas,Nevada,234389,0,0
Paradise,Nevada,231858,0,0
North Hempstead,New York,231085,0,0
Fremont,California,230964,0,0
Babylon,New York,213199,0,0
Huntington,New York,204011,0,0
Moreno Valley,California,203691,0,0
